
[00:00:00.000 --> 00:00:02.340]  總之加上頂住暴動的頂住
[00:00:02.340 --> 00:00:03.680]  我們是一夥的
[00:00:03.680 --> 00:00:05.020]  一夥做甚麼
[00:00:05.020 --> 00:00:07.020]  我們一起突破重圍
[00:00:07.020 --> 00:00:08.320]  我們一起祈禱
[00:00:08.320 --> 00:00:09.920]  因為當我們打開神的說話的時候
[00:00:09.920 --> 00:00:11.020]  發出亮光
[00:00:11.020 --> 00:00:12.460]  主啊 當我們打開祢的說話
[00:00:12.460 --> 00:00:14.920]  我們何等感恩
[00:00:14.920 --> 00:00:16.460]  有機會怎樣聆聽
[00:00:16.460 --> 00:00:18.460]  因為我們很需要
[00:00:18.460 --> 00:00:20.760]  求主祢真是在當中
[00:00:20.760 --> 00:00:22.660]  給我們真正的感動
[00:00:22.660 --> 00:00:24.000]  讓祢的說話
[00:00:24.000 --> 00:00:26.000]  令我們生命有更新
[00:00:26.000 --> 00:00:26.600]  多謝祢
[00:00:26.600 --> 00:00:27.700]  聽我們祈禱
[00:00:27.700 --> 00:00:29.700]  奉靠主耶穌名祈求
[00:00:29.700 --> 00:00:31.600]  阿門
[00:00:31.600 --> 00:00:35.400]  曾經看過《使徒傳》十五章的舉手
[00:00:35.400 --> 00:00:36.500]  多謝祢
[00:00:36.500 --> 00:00:38.300]  證明我這樣講的時候
[00:00:38.300 --> 00:00:40.400]  可以不用這麼詳細解釋
[00:00:40.400 --> 00:00:44.800]  不過這個十五章是卡在這裡的
[00:00:44.800 --> 00:00:46.300]  轉捩點來的
[00:00:46.300 --> 00:00:49.600]  都似似地整卷書的中間
[00:00:49.600 --> 00:00:50.600]  差不多
[00:00:50.600 --> 00:00:53.700]  但這個真是很重要的轉捩點來的
[00:00:53.700 --> 00:00:54.900]  我今天會講
[00:00:54.900 --> 00:00:59.400]  首先我們講一下現在的環境
[00:00:59.400 --> 00:01:02.700]  有沒有覺得現在生活得很艱難的
[00:01:02.700 --> 00:01:05.600]  比兩三年前
[00:01:05.600 --> 00:01:10.800]  感覺上好像很透不過氣
[00:01:10.800 --> 00:01:15.400]  因為很多事情改變
[00:01:15.400 --> 00:01:17.600]  我們從娛樂圈那裡
[00:01:17.600 --> 00:01:22.100]  我看下去其實我們應該是同一輩的
[00:01:22.100 --> 00:01:25.300]  你不要不承認你不認識四大天王的
[00:01:25.300 --> 00:01:27.400]  四大天王回家照顧兒子了
[00:01:27.400 --> 00:01:30.600]  現在兒子的年紀那些人做得最多紅了
[00:01:30.600 --> 00:01:34.300]  大家知不知道你是誰
[00:01:34.300 --> 00:01:35.700]  有人英文名字
[00:01:35.700 --> 00:01:36.800]  姜濤
[00:01:36.800 --> 00:01:40.000]  姜濤加上他自己的團隊就叫MIRROR
[00:01:40.000 --> 00:01:43.500]  你們沒有ERROR
[00:01:43.500 --> 00:01:44.200]  大台
[00:01:44.200 --> 00:01:46.100]  你也是看大台的
[00:01:46.100 --> 00:01:47.800]  如果你問你年輕人的大台
[00:01:47.800 --> 00:01:49.400]  他不是叫無線的
[00:01:49.400 --> 00:01:51.100]  你也知道的
[00:01:51.100 --> 00:01:52.500]  很久以前
[00:01:52.500 --> 00:01:53.700]  ViuTV是什麼來的
[00:01:53.700 --> 00:01:55.400]  我嗨都沒有嗨過
[00:01:55.400 --> 00:01:56.800]  你一講這個名字我就不知道是什麼來的
[00:01:56.800 --> 00:01:58.200]  但現在我有看
[00:01:58.200 --> 00:02:02.900]  當然我什麼台都看的
[00:02:02.900 --> 00:02:04.200]  我選來看
[00:02:04.200 --> 00:02:06.300]  接著教會又怎樣
[00:02:06.300 --> 00:02:07.700]  剛才說娛樂圈
[00:02:07.700 --> 00:02:09.500]  娛樂圈又是教會
[00:02:09.500 --> 00:02:12.500]  教會我選的是大佬
[00:02:12.500 --> 00:02:15.200]  香港也有大佬
[00:02:15.200 --> 00:02:16.900]  鍾小瑩也是這樣說
[00:02:16.900 --> 00:02:20.200]  另外韓國也有很多大佬教會
[00:02:20.200 --> 00:02:21.900]  也是鍾小瑩這樣說
[00:02:21.900 --> 00:02:23.600]  是一致的
[00:02:23.600 --> 00:02:25.400]  你知道我想說什麼嗎
[00:02:25.400 --> 00:02:26.200]  三類型
[00:02:26.200 --> 00:02:28.600]  時間關係我不可以舉一百類型
[00:02:28.600 --> 00:02:31.000]  其實都是一樣的
[00:02:31.000 --> 00:02:32.500]  兩個字
[00:02:32.500 --> 00:02:34.100]  下滑
[00:02:34.100 --> 00:02:35.200]  有些目者在另一個國家
[00:02:35.200 --> 00:02:36.000]  應該是韓國的
[00:02:36.000 --> 00:02:39.300]  他說教會曾經最高峰的時候
[00:02:39.300 --> 00:02:40.700]  在這幾年
[00:02:40.700 --> 00:02:43.300]  下滑80%
[00:02:43.300 --> 00:02:43.800]  恐怖
[00:02:43.800 --> 00:02:46.300]  那你現在教會怎麼聚會的
[00:02:46.300 --> 00:02:48.100]  我馬上感覺
[00:02:48.100 --> 00:02:50.000]  留下來的那些等於沒有慘
[00:02:50.000 --> 00:02:51.800]  那些滋味
[00:02:51.800 --> 00:02:53.100]  現在我們移民潮
[00:02:53.100 --> 00:02:54.000]  現在的環境
[00:02:54.000 --> 00:02:57.700]  我們也感受到那種下滑的感覺
[00:02:57.700 --> 00:02:59.400]  幸好我看到這裡
[00:02:59.400 --> 00:03:00.200]  因為我上次來
[00:03:00.200 --> 00:03:02.500]  看到不是很明顯
[00:03:02.500 --> 00:03:04.500]  要不然只剩下兩個人坐在前面
[00:03:04.500 --> 00:03:05.800]  那我就很淒涼
[00:03:05.800 --> 00:03:06.500]  現在不是
[00:03:06.500 --> 00:03:07.600]  只有兩群眼熟面
[00:03:07.600 --> 00:03:10.200]  剛才我問過眼熟面
[00:03:10.200 --> 00:03:11.800]  好了
[00:03:11.800 --> 00:03:13.100]  剛才娛樂
[00:03:13.100 --> 00:03:14.000]  宗教
[00:03:14.000 --> 00:03:15.800]  企業
[00:03:15.800 --> 00:03:17.500]  都很大變化
[00:03:17.500 --> 00:03:19.000]  就是我只能舉兩個
[00:03:19.000 --> 00:03:21.500]  Felix出名
[00:03:21.500 --> 00:03:23.900]  現在其實他輸了
[00:03:23.900 --> 00:03:26.000]  因為公司比他快
[00:03:26.000 --> 00:03:27.400]  JCPenney
[00:03:27.400 --> 00:03:29.400]  美國其實有點像70天
[00:03:29.400 --> 00:03:31.300]  現在850間
[00:03:31.300 --> 00:03:32.900]  倒閉了
[00:03:32.900 --> 00:03:35.100]  還在倒閉
[00:03:35.100 --> 00:03:37.200]  真的慘了
[00:03:37.200 --> 00:03:39.000]  整個世界好像
[00:03:39.000 --> 00:03:40.500]  翻轉了
[00:03:40.500 --> 00:03:43.900]  很多下滑的東西
[00:03:43.900 --> 00:03:45.600]  但這個世界
[00:03:45.600 --> 00:03:50.500]  總會有些東西會上升的
[00:03:50.500 --> 00:03:52.700]  又是這個新的東西出來
[00:03:52.700 --> 00:03:54.500]  不是所有東西都是下滑的
[00:03:54.500 --> 00:03:55.700]  變得很厲害
[00:03:55.700 --> 00:03:57.900]  就是很多雲端的生活
[00:03:57.900 --> 00:03:59.300]  今天
[00:03:59.300 --> 00:04:01.100]  應該有電影節目在家
[00:04:01.100 --> 00:04:02.100]  現在有的
[00:04:02.100 --> 00:04:03.100]  他們正在看
[00:04:03.100 --> 00:04:06.200]  我視像的樣子
[00:04:06.200 --> 00:04:06.600]  好了
[00:04:06.600 --> 00:04:09.500]  汽車原來是這樣的
[00:04:09.500 --> 00:04:11.300]  當然泊車的人很擔心
[00:04:11.300 --> 00:04:13.100]  你的汽車下來泊車的時候
[00:04:13.100 --> 00:04:13.800]  大哥
[00:04:13.800 --> 00:04:15.900]  你刮花了很多東西
[00:04:15.900 --> 00:04:17.600]  是汽車
[00:04:17.600 --> 00:04:18.500]  我們從來沒有想過
[00:04:18.500 --> 00:04:20.700]  汽車可以接受這樣的
[00:04:20.700 --> 00:04:23.100]  是真的
[00:04:23.100 --> 00:04:25.100]  想說什麼呢
[00:04:25.100 --> 00:04:28.100]  整個世界翻轉了
[00:04:28.100 --> 00:04:29.600]  但我們的人
[00:04:29.600 --> 00:04:30.600]  繼續兩腳走路
[00:04:30.600 --> 00:04:32.600]  沒有反過來走
