
[00:00:00.000 --> 00:00:05.740]  很歡迎大家參與星期三晚的柴京聚會
[00:00:05.740 --> 00:00:11.520]  由5月開始我們會開始去查考聖靈果子
[00:00:11.520 --> 00:00:15.540]  今晚是第一堂會有一個悼論
[00:00:15.540 --> 00:00:17.540]  就是講果實累累
[00:00:17.540 --> 00:00:24.300]  讓我想起一首歌是我少年時候唱的時候給自己一個很大的提醒
[00:00:24.300 --> 00:00:29.500]  就是說主耶穌很想尋找一些果子
[00:00:29.500 --> 00:00:32.500]  希望他們可以被建立
[00:00:32.500 --> 00:00:36.820]  但原來後來發覺只有葉子
[00:00:36.820 --> 00:00:39.700]  後來主奏作那棵樹
[00:00:39.700 --> 00:00:41.700]  後來那棵樹就死了
[00:00:41.700 --> 00:00:45.420]  有這首歌叫做《只有葉子》
[00:00:45.420 --> 00:00:47.420]  原來有兩個版本的
[00:00:47.420 --> 00:00:50.380]  現在先播第一個版本給大家聽
[00:00:50.380 --> 00:00:54.140]  這個版本就是我少年時代聽的版本
[00:00:54.140 --> 00:00:57.700]  麻煩二汪幫我們播這個版本
[00:00:57.700 --> 00:00:59.700]  然後我們再借會來一個柴京
[00:01:27.700 --> 00:01:31.380]  那生命未果
[00:01:31.380 --> 00:01:37.460]  盼覓聖靈果子長滿肢
[00:01:37.460 --> 00:01:43.100]  守所 所謂見證恩主
[00:01:43.100 --> 00:01:49.380]  我沒有可獻證恩主
[00:01:49.380 --> 00:01:54.100]  無他的心可相比
[00:01:54.100 --> 00:02:00.540]  我仲只放上樹葉在主前
[00:02:00.540 --> 00:02:05.700]  卻沒什麼果子擺上
[00:02:05.700 --> 00:02:20.700]  神證明那忠心跟隨者
[00:02:20.700 --> 00:02:26.500]  反照著舊主那形象
[00:02:26.500 --> 00:02:32.220]  盼覓熱誠的心算舊恩
[00:02:32.220 --> 00:02:38.500]  所領託父子死終生
[00:02:38.500 --> 00:02:44.260]  我沒有可獻證恩主
[00:02:44.260 --> 00:02:49.540]  無他的心可相比
[00:02:49.540 --> 00:02:55.340]  我仲只放上樹葉在主前
[00:02:55.340 --> 00:03:01.620]  卻沒什麼果子擺上
[00:03:01.620 --> 00:03:18.420]  神盼道你可遠近全開
[00:03:18.420 --> 00:03:24.180]  真理來魂生命神聖
[00:03:24.180 --> 00:03:29.980]  期待屬靈心將肯闖開
[00:03:29.980 --> 00:03:36.180]  傾傾聖道已多將開
[00:03:36.180 --> 00:03:41.980]  我沒有可獻證恩主
[00:03:41.980 --> 00:03:47.180]  無他的心可相比
[00:03:47.180 --> 00:03:53.180]  我仲只放上樹葉在主前
[00:03:53.180 --> 00:03:59.180]  卻沒什麼果子擺上
[00:03:59.180 --> 00:04:05.180]  我沒有可獻證恩主
[00:04:05.180 --> 00:04:10.180]  無他的心可相比
[00:04:10.180 --> 00:04:20.180]  我仲只放上樹葉在主前
[00:04:20.180 --> 00:04:30.180]  卻沒什麼果子擺上
[00:04:40.180 --> 00:04:46.180]  我沒有可獻證恩主
[00:04:46.180 --> 00:04:52.180]  無他的心可相比
[00:04:52.180 --> 00:04:58.180]  我仲只放上樹葉在主前
[00:04:58.180 --> 00:05:04.180]  卻沒什麼果子擺上
[00:05:04.180 --> 00:05:10.180]  我沒有可獻證恩主
[00:05:10.180 --> 00:05:16.180]  無他的心可相比
[00:05:16.180 --> 00:05:22.180]  我仲只放上樹葉在主前
[00:05:22.180 --> 00:05:28.180]  卻沒什麼果子擺上
[00:05:28.180 --> 00:05:34.180]  我沒有可獻證恩主
[00:05:34.180 --> 00:05:40.180]  無他的心可相比
[00:05:40.180 --> 00:05:46.180]  我仲只放上樹葉在主前
[00:05:46.180 --> 00:05:52.180]  卻沒什麼果子擺上
[00:05:52.180 --> 00:05:58.180]  我沒有可獻證恩主
[00:05:58.180 --> 00:06:04.180]  無他的心可相比
[00:06:04.180 --> 00:06:10.180]  我仲只放上樹葉在主前
[00:06:10.180 --> 00:06:16.180]  卻沒什麼果子擺上
[00:06:16.180 --> 00:06:22.180]  我沒有可獻證恩主
[00:06:22.180 --> 00:06:28.180]  無他的心可相比
[00:06:28.180 --> 00:06:34.180]  我仲只放上樹葉在主前
[00:06:34.180 --> 00:06:40.180]  卻沒什麼果子擺上
[00:06:40.180 --> 00:06:46.180]  我沒有可獻證恩主
[00:06:46.180 --> 00:06:52.180]  無他的心可相比
[00:06:52.180 --> 00:06:58.180]  我仲只放上樹葉在主前
[00:06:58.180 --> 00:07:04.180]  卻沒什麼果子擺上
[00:07:04.180 --> 00:07:10.180]  我沒有可獻證恩主
[00:07:10.180 --> 00:07:16.180]  無他的心可相比
[00:07:16.180 --> 00:07:22.180]  我仲只放上樹葉在主前
[00:07:22.180 --> 00:07:28.180]  卻沒什麼果子擺上
[00:07:28.180 --> 00:07:34.180]  我沒有可獻證恩主
[00:07:34.180 --> 00:07:40.180]  無他的心可相比
[00:07:40.180 --> 00:07:46.180]  我仲只放上樹葉在主前
[00:07:46.180 --> 00:07:52.180]  卻沒什麼果子擺上
[00:07:52.180 --> 00:07:58.180]  我沒有可獻證恩主
[00:07:58.180 --> 00:08:04.180]  無他的心可相比
[00:08:04.180 --> 00:08:10.180]  我仲只放上樹葉在主前
[00:08:10.180 --> 00:08:16.180]  卻沒什麼果子擺上
[00:08:16.180 --> 00:08:22.180]  我沒有可獻證恩主
