
[00:00:00.000 --> 00:00:02.380]  事實上說到門徒訓練這件事
[00:00:02.380 --> 00:00:05.160]  今天跟大家說的題目
[00:00:05.160 --> 00:00:08.160]  是福音的傳人嗎?
[00:00:08.160 --> 00:00:09.340]  好像不是說題目
[00:00:09.340 --> 00:00:12.340]  無論如何
[00:00:12.340 --> 00:00:14.340]  是關於門訓的報導
[00:00:14.340 --> 00:00:16.960]  這是我要說的題目
[00:00:16.960 --> 00:00:18.960]  其實說到門徒訓練
[00:00:18.960 --> 00:00:20.960]  關於discipleship making
[00:00:20.960 --> 00:00:22.740]  discipleship的時候
[00:00:22.740 --> 00:00:25.380]  其實是今天普遍教會
[00:00:25.380 --> 00:00:26.800]  開始aware到的問題
[00:00:26.800 --> 00:00:28.680]  但是一般來說
[00:00:28.680 --> 00:00:30.680]  都是很缺乏的一件事情
[00:00:30.680 --> 00:00:33.540]  特別是福音派的教會
[00:00:33.540 --> 00:00:35.540]  我們都說我們是福音派
[00:00:35.540 --> 00:00:37.040]  什麼叫做福音派呢?
[00:00:37.040 --> 00:00:39.040]  以傳福音為主
[00:00:39.040 --> 00:00:41.040]  傳福音是很重要的
[00:00:41.040 --> 00:00:43.040]  所以這些教會很有意識地
[00:00:43.040 --> 00:00:45.040]  每一年都會想很多方法
[00:00:45.040 --> 00:00:47.040]  怎樣去傳福音
[00:00:47.040 --> 00:00:49.040]  怎樣去帶人信耶穌
[00:00:49.040 --> 00:00:51.040]  所以為之福音派
[00:00:51.040 --> 00:00:53.040]  因為他們很積極地
[00:00:53.040 --> 00:00:55.040]  很著意地去傳福音
[00:00:55.040 --> 00:00:57.040]  但是其實
[00:00:57.040 --> 00:00:59.040]  這個與此同時
[00:00:59.040 --> 00:01:01.040]  也造成一個福音派的教會
[00:01:01.040 --> 00:01:03.040]  造成一個很大的問題
[00:01:03.040 --> 00:01:05.040]  因為當我們的注意力放在太多
[00:01:05.040 --> 00:01:07.040]  傳福音傳福音傳福音
[00:01:07.040 --> 00:01:09.040]  有人信耶穌,開心嗎?
[00:01:09.040 --> 00:01:11.040]  開心,感謝大美主
[00:01:11.040 --> 00:01:13.040]  於是就想,你信耶穌了,基督徒了
[00:01:13.040 --> 00:01:15.040]  星期天有崇拜,有主教參加主教學
[00:01:15.040 --> 00:01:17.040]  沒有主教參加茶經班
[00:01:17.040 --> 00:01:19.040]  教你怎樣做個人靈修,禱告
[00:01:19.040 --> 00:01:21.040]  然後呢?
[00:01:21.040 --> 00:01:23.040]  你按了ON
[00:01:23.040 --> 00:01:25.040]  你返教團契,返教會
[00:01:25.040 --> 00:01:27.040]  assume你OK
[00:01:27.040 --> 00:01:29.040]  其實呢,我們不知不覺地
[00:01:29.040 --> 00:01:31.040]  是讓很多
[00:01:31.040 --> 00:01:33.040]  剛剛信耶穌的基督徒
[00:01:33.040 --> 00:01:35.040]  在教會裡自生自滅
[00:01:35.040 --> 00:01:37.040]  我不知道
[00:01:37.040 --> 00:01:39.040]  我用這句話會不會太過嚴重
[00:01:39.040 --> 00:01:41.040]  不過
[00:01:41.040 --> 00:01:43.040]  你看看現實環境
[00:01:43.040 --> 00:01:45.040]  剛剛信耶穌的時候,人們很熱心,很積極,很開心
[00:01:45.040 --> 00:01:47.040]  幫你這樣,幫你那樣
[00:01:47.040 --> 00:01:49.040]  然後呢,返小組,返團契
[00:01:49.040 --> 00:01:51.040]  我們覺得,你就在裡面
[00:01:51.040 --> 00:01:53.040]  自己會大
[00:01:53.040 --> 00:01:55.040]  門徒訓練這個意識
