
[00:00:00.000 --> 00:00:02.660]  在靜悟之前我們同心祈禱
[00:00:30.000 --> 00:00:32.000]  被主來勸醒
[00:00:32.000 --> 00:00:33.680]  讓我們的新心靈
[00:00:33.680 --> 00:00:36.840]  都能夠再一次來復醒
[00:00:36.840 --> 00:00:39.320]  願主帶領我們以下的環節
[00:00:39.320 --> 00:00:42.400]  祈禱 賴奉耶穌基督 聖名祈求
[00:00:42.400 --> 00:00:43.400]  阿們
[00:00:43.400 --> 00:00:46.640]  今天講題是「愛的考問」
[00:00:46.640 --> 00:00:51.520]  在福音二十一章
[00:00:51.520 --> 00:00:53.720]  耶穌復活以後
[00:00:53.720 --> 00:00:55.600]  我們可以說
[00:00:55.600 --> 00:00:59.680]  這已經是進入教棚的環節
[00:01:00.280 --> 00:01:02.080]  耶穌復活之後
[00:01:02.080 --> 00:01:06.520]  試圖要接續福音的工作
[00:01:06.520 --> 00:01:10.760]  祂要來承接在地上
[00:01:10.760 --> 00:01:14.240]  建立信徒群體的使命
[00:01:14.240 --> 00:01:16.840]  好像教棚一樣
[00:01:16.840 --> 00:01:18.560]  在教棚之前
[00:01:18.560 --> 00:01:20.600]  耶穌來到再一次
[00:01:20.600 --> 00:01:23.280]  來和祂的入室大弟子
[00:01:23.280 --> 00:01:25.400]  其中之一彼得
[00:01:25.400 --> 00:01:31.280]  也就是日後彼得來在神傳裡面
[00:01:31.280 --> 00:01:34.480]  作為試圖的代表
[00:01:34.480 --> 00:01:38.080]  怎樣來帶領建立教會
[00:01:38.080 --> 00:01:40.800]  在這個環節裡面
[00:01:40.800 --> 00:01:41.960]  在這個時刻
[00:01:41.960 --> 00:01:44.600]  就好像博士論文
[00:01:44.600 --> 00:01:46.600]  我們經常看到
[00:01:46.600 --> 00:01:49.680]  當一個學生要交博士論文
[00:01:49.680 --> 00:01:51.920]  他要畢業之前
[00:01:51.920 --> 00:01:54.480]  在大學裡面
[00:01:54.480 --> 00:01:57.120]  面對一群老師
[00:01:57.120 --> 00:01:59.240]  甚至有時候可能同學
[00:01:59.240 --> 00:02:01.120]  一起來辯論
[00:02:01.120 --> 00:02:05.840]  到底這篇論文寫成怎樣
[00:02:05.840 --> 00:02:13.320]  學生就要為了這篇論文來辯護
[00:02:13.320 --> 00:02:19.560]  今天彼得也來作出澄清
[00:02:20.800 --> 00:02:24.800]  到底他能不能夠承擔這個使命
[00:02:24.800 --> 00:02:27.520]  今天開始的時間
[00:02:27.520 --> 00:02:29.840]  在一個場景就是打雨
[00:02:29.840 --> 00:02:31.840]  我記得似曾相識
[00:02:31.840 --> 00:02:33.320]  就是為了我們去講
[00:02:33.320 --> 00:02:35.200]  在《路加福音》第五章
[00:02:35.200 --> 00:02:41.040]  來到基述彼得和他最先的幾個使徒
[00:02:41.040 --> 00:02:45.760]  是在打雨之後的時間
[00:02:45.760 --> 00:02:47.080]  在早上
[00:02:47.080 --> 00:02:48.640]  《路加福音》第五章說到
[00:02:48.640 --> 00:02:52.920]  彼得在洗網的時候
[00:02:52.920 --> 00:02:56.920]  耶穌就叫他洗一條船過來
[00:02:56.920 --> 00:03:01.240]  在船上來講論神覺的事情
