
[00:00:00.000 --> 00:00:05.920]  好,我們讀一段聖經,在恬伯代後書第二章,第一節到第七節由我來唸。
[00:00:05.920 --> 00:00:09.880]  這裏說:「我兒啊,你要在基督耶穌的恩典上剛強起來。
[00:00:09.880 --> 00:00:15.800]  你在許多見證人面前聽見我所教訓的,也要交託那忠心能教導別人的人。
[00:00:15.800 --> 00:00:19.160]  你要和我同受苦難,好像基督耶穌的精兵。
[00:00:19.160 --> 00:00:24.640]  凡在軍中當兵的,不將事物纏身,好將那招他當兵的人喜悅。
[00:00:24.640 --> 00:00:31.080]  人若在場上比我非按規矩,就不能得冠冕;努力的農夫,理當先得糧食。
[00:00:31.080 --> 00:00:35.360]  我所說的話,你要思想,因爲凡事主必給你聰明。」
[00:00:35.360 --> 00:00:37.640]  我們就讀到這裏。
[00:00:37.640 --> 00:00:40.920]  禮拜五晚上,我剛從非洲回來。
[00:00:40.920 --> 00:00:48.600]  每年的二月,我們一定都會輪流在不同的國家,我們舉辦非洲的牧者領導會。
[00:00:48.600 --> 00:00:55.040]  我們從2001年在多哥的首都羅梅成立了第一間分堂開始,直到如今,
[00:00:55.040 --> 00:00:59.560]  我們已經在12個國家一同建立了70多間分堂。
[00:00:59.560 --> 00:01:06.360]  在上個禮拜,我們的牧者領導會當中,我們將近有100位的牧者聚集在一起。
[00:01:06.360 --> 00:01:11.360]  我們有訓練的時間,我們有彼此分享的時間,當然也有喫喝快樂的時間。
[00:01:11.360 --> 00:01:16.280]  我們看這張照片,我想你一眼就看見我在哪裏了。
[00:01:16.280 --> 00:01:20.040]  那個最白的就是我了。
[00:01:20.040 --> 00:01:23.200]  感謝神在這次牧者領導會里面,
[00:01:23.200 --> 00:01:27.680]  我們也拆派了貝南的一位牧師叫做Benoit,
[00:01:27.680 --> 00:01:32.760]  要前往西非的尼日這個國家開始建立分堂。
[00:01:32.760 --> 00:01:37.360]  尼日是一個回教國家,95%都是回教徒。
[00:01:37.360 --> 00:01:43.600]  傳福音是非常的不容易,而且很多綁架基督徒的事件發生。
[00:01:43.600 --> 00:01:46.680]  我們看這張照片,我們特別拆派他出去。
[00:01:46.680 --> 00:01:51.800]  我記得當我跟他在談到要出去開拓的事情的時候,
[00:01:51.800 --> 00:01:55.960]  我就一直問他爲什麼要選擇到尼日這個國家,
[00:01:55.960 --> 00:02:02.040]  要不要先去到一些別的國家,比較容易開拓的國家開始呢?
[00:02:02.040 --> 00:02:06.480]  他對我說,神給他的呼召就是去尼日。
[00:02:06.480 --> 00:02:10.680]  他說只要我們用主的愛去愛那些回教徒,
[00:02:10.680 --> 00:02:14.160]  有一天主的愛一定能夠改變他們的生命。
[00:02:14.160 --> 00:02:15.960]  我聽了很受感動,
[00:02:15.960 --> 00:02:18.600]  我看見他的信心比我的信心還大。
[00:02:18.600 --> 00:02:21.120]  我還說可不可以換換別的地方。
[00:02:21.120 --> 00:02:24.280]  他說No,他說神就是拆我到尼日。
[00:02:24.280 --> 00:02:27.400]  那天的拆派典禮真的非常感人。
[00:02:27.400 --> 00:02:32.240]  大家抱着他,在那真的感動得掉眼淚。
[00:02:32.240 --> 00:02:36.680]  因爲我看見他真是神手中的一個器皿。
[00:02:36.680 --> 00:02:40.840]  不但是一個器皿,而且是個成熟的器皿,
[00:02:40.840 --> 00:02:44.520]  準備好被神所使用。
[00:02:44.520 --> 00:02:48.400]  我就想到今天在這樣一個充滿危機的世代當中,
[00:02:48.400 --> 00:02:51.760]  神的國也需要器皿。
[00:02:51.760 --> 00:02:54.040]  神的國不但需要器皿,
[00:02:54.040 --> 00:02:57.680]  神的國也需要成熟的器皿。
[00:02:57.680 --> 00:03:01.040]  那怎麼樣能夠成爲一個成熟的器皿呢?
[00:03:01.040 --> 00:03:03.280]  在剛纔我們所讀的這本聖經當中,
[00:03:03.280 --> 00:03:06.480]  我們看見保羅就勸勉提摩泰,
[00:03:06.480 --> 00:03:12.360]  從三方面要預備自己成爲神成熟的器皿。
[00:03:12.360 --> 00:03:15.840]  第一個,他說在主的恩典上要剛強。
[00:03:15.840 --> 00:03:20.400]  跟你們說,在主的恩典上要剛強。
[00:03:20.400 --> 00:03:22.440]  在第一節保羅就對提摩泰說,
[00:03:22.440 --> 00:03:27.360]  你要在基督耶穌的恩典上要剛強起來。
[00:03:27.360 --> 00:03:30.120]  要注意保羅並沒有對提摩泰說,
[00:03:30.120 --> 00:03:32.240]  提摩泰,你要剛強。
[00:03:32.240 --> 00:03:34.560]  因爲按照提摩泰的個性,
[00:03:34.560 --> 00:03:37.600]  他本來就不是剛強的人。
[00:03:37.600 --> 00:03:41.280]  你要知道保羅跟提摩泰是截然兩個不同的人。
[00:03:41.280 --> 00:03:44.280]  我們看見保羅是個剛烈型的人,
