
[00:00:00.000 --> 00:00:02.140]  (主席) 各位主媒不知不覺間
[00:00:02.140 --> 00:00:05.000]  (主席) 就去到羅馬書的第八章
[00:00:05.000 --> 00:00:10.200]  (主席) 羅馬書的第八章大約去到中間的位置
[00:00:10.200 --> 00:00:13.800]  (主席) 不知道大家對於羅馬書掌握多少
[00:00:13.800 --> 00:00:18.200]  (主席) 以及有些經文會不會本身都是熟悉的
[00:00:18.200 --> 00:00:19.700]  (主席) 即是都認識的
[00:00:19.700 --> 00:00:21.500]  (主席) 想做一下統計
[00:00:21.500 --> 00:00:23.900]  (主席) 看看大家要舉手的
[00:00:23.900 --> 00:00:27.100]  (主席) 你覺得你對這段經文都熟悉的
[00:00:27.100 --> 00:00:29.400]  (主席) 那你就舉手啦
[00:00:29.400 --> 00:00:33.000]  (主席) 之後我告訴你那麼多堂的統計如何
[00:00:33.000 --> 00:00:35.500]  (主席) 首先第一段
[00:00:35.500 --> 00:00:36.700]  (主席) 我不以福音為恥
[00:00:36.700 --> 00:00:38.300]  (主席) 且福音本是神的大人
[00:00:38.300 --> 00:00:41.200]  (主席) 要救一切相送的
[00:00:41.200 --> 00:00:45.000]  (主席) 又說熟悉的請舉手
[00:00:45.000 --> 00:00:47.700]  (主席) OK 請放下手
[00:00:47.700 --> 00:00:49.100]  (主席) 接著第三章就是
[00:00:49.100 --> 00:00:51.000]  (主席) 因為世人都犯了罪
[00:00:51.000 --> 00:00:52.700]  (主席) 規決了神的榮耀
[00:00:52.700 --> 00:00:54.800]  (主席) 如今卻蒙神的恩典
[00:00:54.800 --> 00:00:57.600]  (主席) 因耶穌基督的救贖八八清二
[00:00:57.600 --> 00:00:59.300]  (主席) 請舉手
[00:00:59.300 --> 00:01:01.100]  (主席) 嘩 也很多
[00:01:01.100 --> 00:01:02.800]  (主席) 接著就是第五章
[00:01:02.800 --> 00:01:04.300]  (主席) 為二人死是所有的
[00:01:04.300 --> 00:01:06.600]  (主席) 為人人死或者有感作的
[00:01:06.600 --> 00:01:08.800]  (主席) 唯有基督在我們還作罪人的時候
[00:01:08.800 --> 00:01:12.300]  (主席) 為我們死神的愛就是這樣向我們顯明的
[00:01:12.300 --> 00:01:13.600]  (主席) 請舉手
[00:01:13.600 --> 00:01:15.800]  (主席) 嘩 這個很多
[00:01:15.800 --> 00:01:16.700]  (主席) 接著
[00:01:16.700 --> 00:01:18.800]  (主席) 我們曉得萬事都互相效力
[00:01:18.800 --> 00:01:19.600]  (主席) 叫愛神的人
[00:01:19.600 --> 00:01:20.400]  (主席) 第幾處
[00:01:20.400 --> 00:01:24.900]  (主席) 就是按他只要被指的人
[00:01:24.900 --> 00:01:27.100]  (主席) 這個 相對少了
[00:01:27.100 --> 00:01:30.300]  (主席) 正常來說 剛剛說完就到了
[00:01:30.300 --> 00:01:32.900]  (主席) 整個課程
[00:01:32.900 --> 00:01:33.600]  (主席) OK
[00:01:33.600 --> 00:01:35.600]  (主席) 接著就是十二章
[00:01:35.600 --> 00:01:36.800]  (主席) 所以弟兄們
[00:01:36.800 --> 00:01:38.200]  (主席) 我以神的慈悲
