
[00:00:00.000 --> 00:00:02.440]  我跟各位拜個晚年
[00:00:02.440 --> 00:00:05.280]  今天是大年初二
[00:00:05.280 --> 00:00:06.920]  恭喜恭喜
[00:00:06.920 --> 00:00:08.240]  恭喜恭喜
[00:00:08.240 --> 00:00:10.240]  我記得我們以前小時候
[00:00:10.240 --> 00:00:12.320]  過年是最興奮的
[00:00:12.320 --> 00:00:15.120]  然後三十晚上就要拿什麼
[00:00:15.120 --> 00:00:16.400]  壓歲錢
[00:00:16.400 --> 00:00:17.640]  是吧
[00:00:17.640 --> 00:00:21.240]  那麼我一向是從小
[00:00:21.240 --> 00:00:23.200]  就沒有賭運
[00:00:23.200 --> 00:00:24.600]  玩十點半也好
[00:00:24.600 --> 00:00:26.520]  玩說話也好
[00:00:26.520 --> 00:00:30.200]  這個紅包拿了
[00:00:30.200 --> 00:00:35.440]  十一點不到全部光光了
[00:00:35.440 --> 00:00:37.200]  我們新的一年
[00:00:37.200 --> 00:00:40.080]  我們說數不盡的財富
[00:00:40.080 --> 00:00:41.280]  數不盡的恩典
[00:00:41.280 --> 00:00:42.680]  數不盡的祝福
[00:00:42.680 --> 00:00:44.520]  數不盡的健康
[00:00:44.520 --> 00:00:45.720]  數不盡的快樂
[00:00:45.720 --> 00:00:49.360]  數不盡的幸福的時候
[00:00:49.360 --> 00:00:51.880]  我們要來想
[00:00:51.880 --> 00:00:53.240]  來思想
[00:00:53.240 --> 00:00:55.160]  耶穌跟我們說
[00:00:55.160 --> 00:00:57.760]  你要積財寶在天上
[00:00:57.760 --> 00:00:58.680]  是的
[00:00:58.680 --> 00:01:00.560]  所以我們要為我們自己
[00:01:00.560 --> 00:01:02.360]  今天要來跟各位分享
[00:01:02.360 --> 00:01:03.240]  為我們自己
[00:01:03.240 --> 00:01:05.440]  還有我們的子孫後代
[00:01:05.440 --> 00:01:07.200]  在天上
[00:01:07.200 --> 00:01:11.320]  我們要為他們來掙生命的遺產
[00:01:11.320 --> 00:01:14.880]  還有積信心的傳承
[00:01:14.880 --> 00:01:18.040]  以及我們要結勝利的果實
[00:01:18.040 --> 00:01:21.560]  並且我們要設立天上的銀行的帳戶
[00:01:21.560 --> 00:01:24.240]  為他們存足夠的錢
[00:01:24.240 --> 00:01:28.080]  最後我就跟各位來一個結論是
[00:01:28.080 --> 00:01:32.240]  當因為你活出的日子
[00:01:32.240 --> 00:01:35.280]  神會尊榮你的後代
[00:01:35.280 --> 00:01:37.240]  神會尊榮你
[00:01:37.240 --> 00:01:40.280]  好我們下一頁
[00:01:40.280 --> 00:01:42.760]  好的我們剛才說這個福字
[00:01:42.760 --> 00:01:45.200]  我們祝福來祝福去
[00:01:45.200 --> 00:01:48.520]  我們古代這個福字就好像那邊
[00:01:48.520 --> 00:01:50.560]  那個象形字一樣
[00:01:50.560 --> 00:01:53.160]  你看它像什麼
[00:01:53.160 --> 00:01:55.000]  有一個酒壇子嘛
[00:01:55.000 --> 00:01:56.280]  對不對
[00:01:56.280 --> 00:01:58.920]  旁邊的是一個繩子邊嘛
[00:01:58.920 --> 00:02:00.120]  是不是
[00:02:00.120 --> 00:02:02.920]  然後下面是什麼
[00:02:02.920 --> 00:02:05.240]  兩隻手
[00:02:05.240 --> 00:02:08.040]  所以祝福的古代的意思是說
[00:02:08.040 --> 00:02:12.840]  雙手虔誠地捧著酒壇子
[00:02:12.840 --> 00:02:15.960]  然後敬拜神
[00:02:15.960 --> 00:02:18.800]  那麼戰國時代有一個哲學家叫做韓非子
[00:02:18.800 --> 00:02:20.080]  他說
[00:02:20.080 --> 00:02:23.480]  全受富貴為之福
[00:02:23.480 --> 00:02:25.720]  就是我們中國人講的五福
[00:02:25.720 --> 00:02:26.800]  哪五福啊
[00:02:26.800 --> 00:02:31.760]  長壽富裕康齡好品德好周命
[00:02:31.760 --> 00:02:38.120]  就是所謂的五福齊備
[00:02:38.120 --> 00:02:41.440]  那麼福字到了現在呢
[00:02:41.440 --> 00:02:44.640]  是寫作是一口甜
[00:02:44.640 --> 00:02:48.240]  神所賜的一口甜
[00:02:48.240 --> 00:02:50.520]  請注意那不是一字邊
[00:02:50.520 --> 00:02:52.720]  那是繩子邊
[00:02:52.720 --> 00:02:57.680]  所以這是我們的祝福的福字
[00:02:57.680 --> 00:03:01.520]  好了下一頁
[00:03:01.520 --> 00:03:02.920]  那麼剛才我們念的
[00:03:02.920 --> 00:03:04.400]  我們一起再來念一遍
[00:03:04.400 --> 00:03:06.560]  這是今天我的論文的重點
[00:03:06.560 --> 00:03:09.480]  馬太福音六章十九二十一節
[00:03:09.480 --> 00:03:14.640]  請不要為自己積攢財寶在地上
[00:03:14.640 --> 00:03:18.120]  地上有蟲子養能秀壞
[00:03:18.120 --> 00:03:21.080]  也有賊挖窟窿來偷
[00:03:21.080 --> 00:03:23.920]  只要積財寶在天上
[00:03:23.920 --> 00:03:27.680]  天上沒有蟲子養不能秀壞
[00:03:27.680 --> 00:03:30.800]  也沒有賊挖窟窿來偷
[00:03:30.800 --> 00:03:33.560]  因為你的財寶在哪裡
[00:03:33.560 --> 00:03:36.840]  你的心也在哪裡
[00:03:36.840 --> 00:03:38.920]  感謝主啊
[00:03:38.920 --> 00:03:42.320]  我相信我們的心都在天上
[00:03:42.320 --> 00:03:46.640]  所以我們的財寶也都在那裡
[00:03:46.640 --> 00:03:49.320]  那麼最近呢
[00:03:49.320 --> 00:03:50.680]  我不知道為什麼
[00:03:50.680 --> 00:03:52.200]  可能你上了六十歲
[00:03:52.200 --> 00:03:55.040]  或者是六十五或七十歲
[00:03:55.040 --> 00:03:57.920]  那個詐騙電話就越來越多
