
[00:00:00.000 --> 00:00:02.000]  天命問候 靜姐妹平安
[00:00:02.000 --> 00:00:04.000]  鳳姐問候 靜姐妹平安
[00:00:04.000 --> 00:00:09.000]  今日應該教會的日程是中節節
[00:00:09.000 --> 00:00:10.500]  應該是中節節
[00:00:10.500 --> 00:00:14.000]  因為下個禮拜是復活節
[00:00:14.000 --> 00:00:16.000]  下個禮拜是復活節
[00:00:16.000 --> 00:00:18.800]  所以復活節前一個禮拜就是中節節
[00:00:18.800 --> 00:00:21.400]  復活節前一個禮拜是中節節
[00:00:21.400 --> 00:00:24.000]  今日是教會的節期 我提一提而已
[00:00:24.000 --> 00:00:25.300]  不是我講到資料
[00:00:25.300 --> 00:00:27.300]  今天是教會的節期
[00:00:27.300 --> 00:00:28.700]  我只是在這裡提一提
[00:00:28.700 --> 00:00:33.000]  中節節是一個迎接耶穌的作王
[00:00:33.000 --> 00:00:36.800]  中節節是迎接耶穌作王
[00:00:36.800 --> 00:00:43.300]  但是當地人在禮拜一的時候迎接耶穌
[00:00:43.300 --> 00:00:47.500]  當地人禮拜天迎接耶穌
[00:00:47.500 --> 00:00:50.000]  耶路撒冷的人
[00:00:50.000 --> 00:00:53.300]  禮拜四就要釘十字架
[00:00:53.300 --> 00:00:55.300]  禮拜四就要釘十字架
[00:00:55.300 --> 00:00:59.000]  反轉之道 就是這個反轉之快
[00:00:59.000 --> 00:01:01.800]  就是不要聽這個說話
[00:01:01.800 --> 00:01:06.800]  你看人其實是很可怕的
[00:01:06.800 --> 00:01:11.200]  如果說信人的話讓人多麼害怕
[00:01:11.200 --> 00:01:13.000]  所以聖經有時候給我們看到一樣
[00:01:13.000 --> 00:01:16.500]  是指我們上帝是多麼容忍我們
[00:01:16.500 --> 00:01:19.000]  從聖經裡面可以看到
[00:01:19.000 --> 00:01:21.000]  我們上帝是多麼容忍我們
[00:01:21.000 --> 00:01:22.300]  人是虛偽的
[00:01:22.300 --> 00:01:23.500]  人是虛偽的
[00:01:23.500 --> 00:01:26.600]  禮拜一就說 奉主來明是應當稱頌的
[00:01:26.600 --> 00:01:30.000]  就是說禮拜天說奉主的名是應當稱頌的
[00:01:30.000 --> 00:01:31.700]  禮拜四就要釘十字架
[00:01:31.700 --> 00:01:33.500]  禮拜四就要釘十字架
[00:01:33.500 --> 00:01:34.300]  所以各位兄弟姐妹
[00:01:34.300 --> 00:01:36.500]  我們要認識到自己是什麼人
[00:01:36.500 --> 00:01:38.500]  我們要認識到我們自己是什麼人
[00:01:38.500 --> 00:01:40.000]  我們常常需要主耶穌
[00:01:40.000 --> 00:01:42.000]  看到祂的恩典在我們身上
[00:01:42.000 --> 00:01:44.000]  要記住祂 那就不會犯罪
[00:01:44.000 --> 00:01:46.700]  我們要常常有主耶穌的恩典在我們身上
[00:01:46.700 --> 00:01:49.000]  我們要記住祂 我們就不會犯罪
[00:01:49.000 --> 00:01:53.500]  我和大家要分享的訊息是
[00:01:53.500 --> 00:01:57.000]  繼續在《列王記》下第十一章一到十二節
[00:01:57.000 --> 00:01:59.000]  今天要和大家分享的訊息是
[00:01:59.000 --> 00:02:03.500]  《列王記》下第十一章一到十二節
[00:02:03.500 --> 00:02:06.500]  各位兄弟姐妹 你知不知道《列王記》
[00:02:06.500 --> 00:02:08.500]  大家知不知道《列王記》
[00:02:08.500 --> 00:02:10.000]  是不容易讀的
