
[00:00:00.000 --> 00:00:02.240]  我昨天去看了一套電影
[00:00:02.240 --> 00:00:04.240]  就是《破地獄》這套電影
[00:00:04.240 --> 00:00:07.200]  看完之後有很大的負擔
[00:00:07.200 --> 00:00:11.040]  希望能夠講一套這套電影的回應
[00:00:11.040 --> 00:00:13.600]  我叫這個回應的訊息
[00:00:13.600 --> 00:00:17.200]  叫它做《破地獄 破迷津》
[00:00:17.200 --> 00:00:19.920]  你說為什麼會破迷津呢?
[00:00:19.920 --> 00:00:24.160]  因為很多人對地獄 對死亡都不是很認識
[00:00:24.160 --> 00:00:26.080]  就好像一個謎一樣
[00:00:26.080 --> 00:00:28.480]  希望透過這個訊息
[00:00:28.480 --> 00:00:31.200]  可以讓大家更加認識地獄
[00:00:31.200 --> 00:00:33.200]  更加認識死亡
[00:00:33.200 --> 00:00:34.880]  《破地獄》這套電影
[00:00:34.880 --> 00:00:38.720]  希望尋求的就是人生的意義
[00:00:38.720 --> 00:00:43.520]  也希望這個訊息能夠讓大家看到
[00:00:43.520 --> 00:00:47.200]  究竟人生的意義是什麼呢?
[00:00:47.200 --> 00:00:50.240]  可能在美國不是很多人看過這套電影
[00:00:50.240 --> 00:00:54.880]  所以我們不妨先來看這套電影的正式預告片
[00:00:54.880 --> 00:00:56.880]  我們一起來欣賞一下
[00:00:58.480 --> 00:01:01.360]  《紅磡》
[00:01:01.360 --> 00:01:08.080]  紅磡是一個很特別的地方
[00:01:08.080 --> 00:01:09.360]  一街之隔
[00:01:09.360 --> 00:01:12.080]  那邊紅館每晚都在這裡開演唱會
[00:01:12.080 --> 00:01:16.560]  這邊殯儀館又是每晚都在這裡開演唱會
[00:01:16.560 --> 00:01:19.280]  眼淚不要滴到先人
[00:01:19.280 --> 00:01:21.280]  先人會捨不得的
[00:01:29.440 --> 00:01:33.200]  生人的感受才是最重要的
[00:01:33.200 --> 00:01:35.760]  就像外人和韓老人的分別
[00:01:35.760 --> 00:01:38.480]  你的心也不在殯儀
[00:01:38.480 --> 00:01:52.160]  做藍窩全男全女是傳統
[00:01:52.160 --> 00:01:54.720]  可以的話我已經做了
