
[00:00:00.000 --> 00:00:06.680]  在2005年,當時我還在國內的河北工作的時候
[00:00:06.680 --> 00:00:12.440]  聽到一首歌,我一聽就喜歡了這首歌
[00:00:12.440 --> 00:00:15.240]  這首歌叫做《天路》
[00:00:15.240 --> 00:00:18.120]  據說是2001年的時候
[00:00:18.120 --> 00:00:23.800]  有一位北京的曲作家和一位詞作家
[00:00:23.800 --> 00:00:28.320]  他們去到青藏鐵路施工的現場
[00:00:28.320 --> 00:00:33.120]  他們想收集一些地方的文歌、文謠
[00:00:33.120 --> 00:00:39.200]  他們發現鐵路工人和藏族群眾
[00:00:39.200 --> 00:00:46.440]  都喜歡將青藏鐵路很形象化地形容為天路
[00:00:46.440 --> 00:00:51.720]  於是《天路》這首歌曲就因為這樣創作出來
[00:00:51.720 --> 00:00:56.520]  2005年就由內地的歌手韓紅來原唱
[00:00:56.520 --> 00:01:01.280]  之後無數的人都演繹過這首歌曲
[00:01:01.280 --> 00:01:03.360]  包括一位小女孩
[00:01:03.360 --> 00:01:06.080]  今天我想給大家聽一小段
[00:01:06.080 --> 00:01:09.160]  聽這位小女孩唱出其中一段
[00:01:26.520 --> 00:01:39.000]  (唱歌)
[00:01:39.000 --> 00:01:44.200]  吊吓大家嘅胃口,聽住咁多
[00:01:44.200 --> 00:01:48.800]  不過你在網上一搜尋,你就可以聽到這首歌
[00:01:48.800 --> 00:01:51.840]  其實它裏面的歌詞都很豐富
[00:01:51.840 --> 00:01:54.640]  令人看到都很嚮往
[00:01:54.640 --> 00:02:01.800]  其中講到這條天路能夠為藏家的兒女帶來吉祥
[00:02:01.800 --> 00:02:05.080]  為雪域高原送來安康
[00:02:05.080 --> 00:02:08.160]  能將人間的溫暖送到邊疆
[00:02:08.160 --> 00:02:11.000]  讓各族兒女歡聚一堂
[00:02:11.000 --> 00:02:13.600]  那是一條神奇的天路
[00:02:13.600 --> 00:02:17.640]  能帶我們走進人間的天堂
[00:02:17.640 --> 00:02:23.320]  當我們看到這首歌詞想到想像的景象時
[00:02:23.320 --> 00:02:28.400]  相信很多人都很嚮往這條天路
[00:02:28.400 --> 00:02:30.680]  不過還有一條天路
[00:02:30.680 --> 00:02:35.280]  更加值得世界上每一個人嚮往尋求
[00:02:35.280 --> 00:02:39.800]  更加值得每一個跟隨耶穌的人竭力奔往
[00:02:39.800 --> 00:02:42.400]  像剛才慧紅說的那條向高處行
[00:02:42.400 --> 00:02:45.840]  那條路我們真的要快跑地跟隨
[00:02:45.840 --> 00:02:49.240]  今天我希望透過「肥辣比書」這段經文
[00:02:49.240 --> 00:02:53.560]  讓我們一起來認識這條天路是怎樣來的
[00:02:53.560 --> 00:02:55.800]  這條天路是怎樣的呢?
[00:02:55.800 --> 00:02:58.520]  我們應該怎樣走呢?
[00:02:58.520 --> 00:02:59.560]  開始之前
[00:02:59.560 --> 00:03:03.440]  我也想跟大家講少少「肥辣比書」這卷書
[00:03:03.440 --> 00:03:08.760]  這卷書其實是保羅在主後61至62年間
[00:03:08.760 --> 00:03:10.360]  他在羅馬的監獄
[00:03:10.360 --> 00:03:17.080]  寫給「肥辣比教會」的聖徒監督和執事
[00:03:17.080 --> 00:03:21.000]  保羅和這間教會有甚麼關係呢?
[00:03:21.000 --> 00:03:25.080]  「肥辣比」這個城市
[00:03:25.080 --> 00:03:26.320]  大家看到嗎?
[00:03:26.320 --> 00:03:29.120]  它其實是當年羅馬帝國
[00:03:29.120 --> 00:03:34.160]  馬其頓行省的其中一個重要的城市
[00:03:34.160 --> 00:03:37.960]  在今天的希臘這個地區
[00:03:37.960 --> 00:03:40.840]  「肥辣比」的位置很獨特
[00:03:40.840 --> 00:03:43.040]  它是羅馬的殖民地
[00:03:43.040 --> 00:03:46.520]  它享有跟羅馬一樣的行政權利
[00:03:46.520 --> 00:03:53.160]  以及它的居民可以擁有羅馬的公民權
[00:03:53.160 --> 00:03:57.880]  保羅大約在主後49至50年這段期間
[00:03:57.880 --> 00:04:00.800]  在他第二次宣教旅程的時候
[00:04:00.800 --> 00:04:04.120]  建立了「肥辣比」的教會
[00:04:04.120 --> 00:04:08.040]  這間教會是歐洲的第一個教會
[00:04:08.040 --> 00:04:11.640]  保羅他去「肥辣比」這個地方之前
[00:04:11.640 --> 00:04:16.360]  他當時在亞西亞這個地區傳道
[00:04:16.360 --> 00:04:21.080]  不過當他以為要去另一些地方傳道的時候
[00:04:21.080 --> 00:04:23.360]  他聽到一個呼聲
[00:04:23.360 --> 00:04:25.800]  他領受了一個異象
[00:04:25.800 --> 00:04:30.560]  我們今天經常說的就是馬其頓的呼聲
[00:04:30.560 --> 00:04:34.040]  他在異象當中聽到
[00:04:34.040 --> 00:04:38.280]  有個人請求他去到馬其頓傳福音
[00:04:38.280 --> 00:04:41.240]  保羅就順從了這個異象
[00:04:41.240 --> 00:04:45.000]  所以他就坐船一直去到馬其頓
[00:04:45.000 --> 00:04:48.280]  在尼亞波利這個地方上岸之後
[00:04:48.280 --> 00:04:51.560]  他跟著一路走到位於
[00:04:51.560 --> 00:04:57.240]  尼亞波利西北十里外的「肥辣比」城
[00:04:57.240 --> 00:04:59.040]  如果大家想看回這段歷史
[00:04:59.040 --> 00:05:04.480]  你可以去「使徒行傳十六章」那裏
[00:05:04.480 --> 00:05:08.680]  在「使徒行傳十六章」12到40節這一大段裏面
[00:05:08.680 --> 00:05:11.880]  其實你還看到很多保羅當時在「肥辣比」
[00:05:11.880 --> 00:05:13.920]  所遭遇的事情
[00:05:13.920 --> 00:05:16.960]  其中一個就是
[00:05:16.960 --> 00:05:22.640]  他在那裏得著歐洲的第一個信徒
[00:05:22.640 --> 00:05:25.240]  這個信徒是一個女士
[00:05:25.240 --> 00:05:26.520]  她是做生意的
[00:05:26.520 --> 00:05:29.240]  是賣紫色布的商人
[00:05:29.240 --> 00:05:33.800]  她的名字叫做呂底亞
[00:05:33.800 --> 00:05:36.120]  還有如果大家再看多一點的話
[00:05:36.120 --> 00:05:39.040]  你會看到保羅在「肥辣比」這個地方
[00:05:39.040 --> 00:05:43.360]  他將污鬼從一個侍女身上趕出來
[00:05:43.360 --> 00:05:45.200]  趕了這個污鬼之後
[00:05:45.200 --> 00:05:48.280]  就斷了這個侍女的主人的財路
[00:05:48.280 --> 00:05:52.240]  因此他就為這個緣故被人告
[00:05:52.240 --> 00:05:55.440]  令到他被關在監獄裏面
[00:05:55.440 --> 00:05:58.760]  但是監獄裏面他很奇妙
[00:05:58.760 --> 00:06:03.520]  他令到在「肥辣比」監獄裏面的玉卒
[00:06:03.520 --> 00:06:05.360]  歸順了基督
[00:06:05.360 --> 00:06:07.440]  因為保羅對他們的體恤
[00:06:07.440 --> 00:06:09.120]  令到他們深受感動
[00:06:09.120 --> 00:06:11.440]  最後他歸主
[00:06:11.440 --> 00:06:15.440]  保羅在「肥辣比」的服侍是非常圓滿的
[00:06:15.440 --> 00:06:18.640]  以致他離開了這個地方之後
[00:06:18.640 --> 00:06:22.880]  那裏的信徒都仍然繼續幫助保羅
[00:06:22.880 --> 00:06:24.560]  在他有缺乏的時候
[00:06:24.560 --> 00:06:28.280]  他們屢次用金錢去資助保羅
[00:06:28.280 --> 00:06:31.560]  在「肥辣比」書四章十五到十六節裏
[00:06:31.560 --> 00:06:35.640]  保羅在那裏講述這間教會
[00:06:35.640 --> 00:06:38.520]  如何慷慨地幫助他
[00:06:38.520 --> 00:06:41.280]  他說當他離開馬其頓的時候
[00:06:41.280 --> 00:06:43.400]  除了「肥辣比」這間教會之外
[00:06:43.400 --> 00:06:47.400]  他沒有收到任何其他教會的供應
[00:06:47.400 --> 00:06:49.640]  當他在帖撒羅尼加的時候
[00:06:49.640 --> 00:06:52.200]  「肥辣比」教會仍然是一而再
[00:06:52.200 --> 00:06:56.600]  再而三地將他所需用的送給他
[00:06:56.600 --> 00:07:00.400]  甚至當保羅寫「肥辣比」這卷書信之前
[00:07:00.400 --> 00:07:01.520]  沒有多久
[00:07:01.520 --> 00:07:04.040]  他仍然收到「肥辣比」教會
[00:07:04.040 --> 00:07:09.880]  差派爾巴弗提去送那些饋贈給他
[00:07:09.880 --> 00:07:12.440]  甚至「肥辣比」教會吩咐爾巴弗提
[00:07:12.440 --> 00:07:18.040]  去那裏照顧保羅在獄中的生活
[00:07:18.040 --> 00:07:20.720]  雖然這個教會當中
[00:07:20.720 --> 00:07:23.120]  例如剛才那個女商人
[00:07:23.120 --> 00:07:26.920]  她在經濟上、在財物上是富足一些
[00:07:26.920 --> 00:07:30.000]  但其實整體的教會不是很富有
[00:07:30.000 --> 00:07:34.440]  甚至可以說是頗貧困的
[00:07:34.440 --> 00:07:36.360]  但只要有機會
[00:07:36.360 --> 00:07:39.400]  他們仍然很努力、很慷慨
[00:07:39.400 --> 00:07:43.640]  在金錢上去資助保羅
[00:07:43.640 --> 00:07:47.400]  就如「肥辣比」的信徒很關愛保羅
[00:07:47.400 --> 00:07:51.480]  同樣保羅亦都很關心這個教會
[00:07:51.480 --> 00:07:54.200]  在「肥辣比」書一章開頭
[00:07:54.200 --> 00:07:56.600]  保羅都去描述到
[00:07:56.600 --> 00:08:00.840]  他和這間教會那份很親密的關係
[00:08:00.840 --> 00:08:03.400]  這間教會他們對主很委身
[00:08:03.400 --> 00:08:06.040]  保羅對他們讚賞有加
[00:08:06.040 --> 00:08:11.920]  而他們和保羅在宣揚福音上彼此同心
[00:08:11.920 --> 00:08:15.320]  保羅認為他們是他最親密的朋友
[00:08:15.320 --> 00:08:19.160]  他很享受和他們之間的團契
