
[00:00:00.000 --> 00:00:02.000]  還沒過新年
[00:00:02.000 --> 00:00:04.000]  說回福也是好一點
[00:00:04.000 --> 00:00:06.000]  不過問題在這裡
[00:00:06.000 --> 00:00:08.000]  到底什麼福是真正
[00:00:08.000 --> 00:00:10.000]  真正的福
[00:00:10.000 --> 00:00:12.000]  是永恆的福呢
[00:00:12.000 --> 00:00:14.000]  剛才兒童詩班唱了一首詩歌
[00:00:14.000 --> 00:00:16.000]  說感謝他
[00:00:16.000 --> 00:00:18.000]  感謝神賜給我們
[00:00:18.000 --> 00:00:20.000]  成為他的兒女
[00:00:20.000 --> 00:00:22.000]  在今年裡面我講題
[00:00:22.000 --> 00:00:24.000]  會集中在講啟示錄
[00:00:24.000 --> 00:00:26.000]  啟示錄不單單只是
[00:00:26.000 --> 00:00:28.000]  一本寓言來講
[00:00:28.000 --> 00:00:30.000]  將來要發生的事幹
[00:00:30.000 --> 00:00:32.000]  當然那些是警示
[00:00:32.000 --> 00:00:34.000]  教導我們
[00:00:34.000 --> 00:00:36.000]  世人應該知道的東西
[00:00:36.000 --> 00:00:38.000]  留意的東西
[00:00:38.000 --> 00:00:40.000]  但這本不是一本書
[00:00:40.000 --> 00:00:42.000]  只是教我們怎樣吹吉避凶
[00:00:42.000 --> 00:00:44.000]  而是神將他
[00:00:44.000 --> 00:00:46.000]  一直向人的心意
[00:00:46.000 --> 00:00:48.000]  作最後的提醒
[00:00:48.000 --> 00:00:50.000]  再講一次
[00:00:50.000 --> 00:00:52.000]  神對人的心意
[00:00:52.000 --> 00:00:54.000]  最後一次的提醒
[00:00:54.000 --> 00:00:56.000]  他告訴世人
[00:00:56.000 --> 00:00:58.000]  我想祢蒙福
[00:00:58.000 --> 00:01:00.000]  我想祢常愛與我在一起
[00:01:00.000 --> 00:01:02.000]  因為在祂的一起
[00:01:02.000 --> 00:01:04.000]  和祂同在是最有福氣的
[00:01:04.000 --> 00:01:06.000]  我相信
[00:01:06.000 --> 00:01:08.000]  做一個小朋友
[00:01:08.000 --> 00:01:10.000]  做一個小朋友
[00:01:10.000 --> 00:01:12.000]  最大的福氣
[00:01:12.000 --> 00:01:14.000]  不是他爸爸很有錢
[00:01:14.000 --> 00:01:16.000]  媽媽很有成就
[00:01:16.000 --> 00:01:18.000]  我想他最大的福氣就是
[00:01:18.000 --> 00:01:20.000]  父母能夠常常和他一起
[00:01:20.000 --> 00:01:22.000]  是不是
[00:01:22.000 --> 00:01:24.000]  香港有些小朋友
[00:01:24.000 --> 00:01:26.000]  長大過程中
[00:01:26.000 --> 00:01:28.000]  都很難見到父母
[00:01:28.000 --> 00:01:30.000]  如果父母周不時要
[00:01:30.000 --> 00:01:32.000]  飛來飛去
