
[00:00:00.000 --> 00:00:02.000]  今天這個題目就看到了
[00:00:02.000 --> 00:00:03.000]  講雅各
[00:00:03.000 --> 00:00:07.500]  我知道雅各都是我們可能在兒童主義學
[00:00:07.500 --> 00:00:10.500]  即是大家幾年前可能還在二樓的時候
[00:00:10.500 --> 00:00:14.000]  或者是你以前在不同的教會裡面都聽過的人物
[00:00:14.000 --> 00:00:16.000]  但是要看看大家熟不熟悉
[00:00:16.000 --> 00:00:17.500]  要看看大家熟不熟悉
[00:00:17.500 --> 00:00:19.000]  好,那我先看看
[00:00:19.000 --> 00:00:20.000]  先打開它
[00:00:20.000 --> 00:00:21.000]  好
[00:00:21.000 --> 00:00:24.000]  OK,熱身問題來的
[00:00:24.000 --> 00:00:27.000]  答錯沒有罰的,不會罰你的
[00:00:27.000 --> 00:00:28.000]  答錯不會
[00:00:28.000 --> 00:00:31.000]  OK,好
[00:00:31.000 --> 00:00:34.000]  這個應該是小一問題
[00:00:34.000 --> 00:00:36.000]  雅各是誰的兒子
[00:00:36.000 --> 00:00:38.000]  OK,四個選擇的,因為我怕有人答不到
[00:00:38.000 --> 00:00:40.000]  OK,A是阿當
[00:00:40.000 --> 00:00:41.000]  B是阿伯拉罕
[00:00:41.000 --> 00:00:42.000]  C是爾薩
[00:00:42.000 --> 00:00:44.000]  D是爾尼亞
[00:00:44.000 --> 00:00:46.000]  應該不用給大家想了吧
[00:00:46.000 --> 00:00:47.000]  這條
[00:00:47.000 --> 00:00:49.000]  OK,A的舉手
[00:00:49.000 --> 00:00:51.000]  OK,B的舉手
[00:00:51.000 --> 00:00:53.000]  OK,C的舉手
[00:00:53.000 --> 00:00:57.000]  OK,D的舉手
[00:00:58.000 --> 00:01:01.000]  我想知道不舉手的是你以前沒有上過兒童主義學嗎
[00:01:01.000 --> 00:01:03.000]  我想知道是不是
[00:01:03.000 --> 00:01:05.000]  我看到Kayla好像沒有舉手
[00:01:05.000 --> 00:01:07.000]  不好意思,因為我看到你在我正前方
[00:01:07.000 --> 00:01:08.000]  你沒有舉手我不知道
[00:01:08.000 --> 00:01:10.000]  這個有點害怕
[00:01:10.000 --> 00:01:13.000]  因為沒辦法,你在我正前方,我看到的
[00:01:13.000 --> 00:01:15.000]  對了,爾薩
[00:01:15.000 --> 00:01:17.000]  剛才有人大聲叫出來的
[00:01:17.000 --> 00:01:19.000]  OK,多一條
[00:01:19.000 --> 00:01:22.000]  這條難一點點的
[00:01:22.000 --> 00:01:25.000]  雅各有幾個兒子,大家有沒有印象
[00:01:25.000 --> 00:01:26.000]  看看這個
[00:01:27.000 --> 00:01:29.000]  沒兩個這麼少,太少了兩個
[00:01:29.000 --> 00:01:31.000]  對了,十二個
[00:01:31.000 --> 00:01:33.000]  當然不是叫你背十二個
[00:01:33.000 --> 00:01:35.000]  我不會考你十二個,我看到有人開始笑了
