
[00:00:00.000 --> 00:00:08.000]  大家好,我是這個節目《劉少康牧師陪你談天》的主持人劉少康牧師
[00:00:08.000 --> 00:00:16.000]  在我身邊的是新加坡很資深的一位牧者,我很敬重的張元元牧師
[00:00:16.000 --> 00:00:17.000]  張牧師你好啊
[00:00:17.000 --> 00:00:19.000]  你好,你們好,平安
[00:00:19.000 --> 00:00:20.000]  平安平安
[00:00:20.000 --> 00:00:27.000]  我身在的地方就是鼎鼎大名的新加坡的樟宜國際機場
[00:00:27.000 --> 00:00:30.000]  聽說這個機場拿了很多獎的是嗎?
[00:00:30.000 --> 00:00:37.000]  是啊,從開始的時候我們的首領代理人
[00:00:37.000 --> 00:00:42.000]  就是要這個機場不是只是為我們自己的人
[00:00:42.000 --> 00:00:47.000]  是開放全世界的旅客都用的
[00:00:47.000 --> 00:00:51.000]  所以這個機場的設備非常好
[00:00:51.000 --> 00:00:55.000]  因為有一次我坐飛機回香港
[00:00:55.000 --> 00:01:00.000]  因為早來的機場我就在這邊遊蕩
[00:01:00.000 --> 00:01:04.000]  看見有什麼胡姬花,就是蘭花的公園
[00:01:04.000 --> 00:01:09.000]  有闕寮,有音樂廳,真的非常
[00:01:09.000 --> 00:01:12.000]  當然那個買東西是一定的
[00:01:12.000 --> 00:01:15.000]  很多國家的貨品都在這裡買得到
[00:01:15.000 --> 00:01:18.000]  而且新加坡很多手信嘛
[00:01:18.000 --> 00:01:23.000]  很多人就在回家以前在這裡買一點手信帶回家
[00:01:23.000 --> 00:01:26.000]  有什麼新加坡的手信你推薦呢?
[00:01:26.000 --> 00:01:29.000]  可能等一下我也要買一點
[00:01:29.000 --> 00:01:38.000]  這裡就是因為我們新加坡四圍都是幾個國家的島嶼
[00:01:38.000 --> 00:01:42.000]  幾個國家的精華都集中在這
[00:01:42.000 --> 00:01:47.000]  味道、食物還有甜品都很高水平
[00:01:47.000 --> 00:01:55.000]  無形中其實講實在話,怎麼能夠吸引不是我們自己的人
[00:01:55.000 --> 00:02:00.000]  方便用空中的交通
[00:02:00.000 --> 00:02:05.000]  事實上怎麼樣才能夠吸引外地來的人
[00:02:05.000 --> 00:02:07.000]  也能夠用這個地方
[00:02:07.000 --> 00:02:10.000]  他們不會覺得孤單、陌生
[00:02:10.000 --> 00:02:14.000]  還有沒有那種種族觀念
[00:02:14.000 --> 00:02:18.000]  因為東南亞我們在這四方面
[00:02:18.000 --> 00:02:22.000]  我們這個國家就是四個民族
[00:02:22.000 --> 00:02:24.000]  等於也是代表這四方面
[00:02:24.000 --> 00:02:26.000]  國家也代表
[00:02:26.000 --> 00:02:28.000]  也是各種種族
[00:02:28.000 --> 00:02:32.000]  就沒有給人家感覺到有種族的得分
[00:02:32.000 --> 00:02:35.000]  對,那因為新加坡很多華人嘛
[00:02:35.000 --> 00:02:37.000]  然後有印度人嘛
[00:02:37.000 --> 00:02:39.000]  有馬來人嘛
[00:02:39.000 --> 00:02:41.000]  還有印尼人嘛
[00:02:41.000 --> 00:02:45.000]  而且這兩個國家歐西的
[00:02:45.000 --> 00:02:49.000]  這幾個國家都是圍繞著新加坡的嘛
[00:02:49.000 --> 00:02:51.000]  你們南面就是印尼
[00:02:51.000 --> 00:02:53.000]  北邊就是馬來西亞
[00:02:53.000 --> 00:02:55.000]  全程把你綁住了
[00:02:55.000 --> 00:02:57.000]  還有菲律賓
[00:02:57.000 --> 00:03:04.000]  所以那個民族融合是新加坡政府很努力去做的
[00:03:04.000 --> 00:03:07.000]  所以每一個地區什麼廟都有的
[00:03:07.000 --> 00:03:10.000]  又有回教廟,又有佛教的廟
[00:03:10.000 --> 00:03:12.000]  又有印度教的廟
[00:03:12.000 --> 00:03:15.000]  又有基督教天主教的禮拜堂
[00:03:15.000 --> 00:03:17.000]  是全部融合在一起
[00:03:17.000 --> 00:03:19.000]  還是不小心你就不妙了
[00:03:19.000 --> 00:03:22.000]  所以張牧師講話呢
