
[00:00:00.000 --> 00:00:02.000]  讓我們開始之前有個祈禱
[00:00:02.000 --> 00:00:03.800]  親愛的阿伯天父 親愛的主
[00:00:03.800 --> 00:00:07.600]  我們帶著敬畏的心去祢的面前
[00:00:07.600 --> 00:00:11.200]  我們是誰呢?若不是祢的啟示
[00:00:11.200 --> 00:00:13.800]  我們豈能明白祢 豈能了解祢
[00:00:13.800 --> 00:00:19.200]  更加豈能了解祢內在的本質 本體
[00:00:19.200 --> 00:00:21.800]  是甚麼一回事 怎樣去理解
[00:00:21.800 --> 00:00:24.600]  一切都是祢的啟示 是祢的恩典
[00:00:24.600 --> 00:00:27.600]  但當中似乎包含不了很多奧秘
[00:00:27.600 --> 00:00:30.200]  我們可能去想 但我們可能想不通
[00:00:30.200 --> 00:00:31.400]  可能想去經歷
[00:00:31.400 --> 00:00:33.800]  但有時經歷當中 又經歷到一點
[00:00:33.800 --> 00:00:35.000]  又不明白一點
[00:00:35.000 --> 00:00:36.200]  求主幫助我們
[00:00:36.200 --> 00:00:38.200]  透過今日的訊息
[00:00:38.200 --> 00:00:40.200]  能夠去讓我們每一個人
[00:00:40.200 --> 00:00:42.200]  更加去思考
[00:00:42.200 --> 00:00:45.200]  主祢本身是哪一位
[00:00:45.200 --> 00:00:46.600]  感恩讚美 祈禱
[00:00:46.600 --> 00:00:48.600]  奉我主耶穌基督的聖名
[00:00:48.600 --> 00:00:49.600]  阿們
[00:00:49.600 --> 00:00:53.200]  不知道大家有多少個在座當中
[00:00:53.200 --> 00:00:56.400]  是未聽過《士徒信經》的
[00:00:57.000 --> 00:00:58.400]  未聽過《士徒信經》的 舉起你的手
[00:00:58.400 --> 00:00:59.400]  未聽過
[00:00:59.400 --> 00:01:00.400]  OK 好
[00:01:00.400 --> 00:01:02.400]  有多少個是未聽過
[00:01:02.400 --> 00:01:04.400]  尼西亞信經的
[00:01:04.400 --> 00:01:06.400]  舉起你的手 未聽過
[00:01:06.400 --> 00:01:09.400]  我發覺也不少
[00:01:09.400 --> 00:01:11.800]  你知不知道我們在座當中
[00:01:11.800 --> 00:01:13.800]  我們全部都是屬於
[00:01:13.800 --> 00:01:16.800]  尼西亞基督教
[00:01:16.800 --> 00:01:18.400]  正式來說
[00:01:18.400 --> 00:01:21.400]  叫做尼西亞基督教的信徒
[00:01:21.400 --> 00:01:23.400]  或者還有另一個說法
[00:01:23.400 --> 00:01:26.000]  叫做尼西亞正統
[00:01:26.200 --> 00:01:27.600]  你說什麼叫尼西亞基督徒
[00:01:27.600 --> 00:01:29.200]  什麼叫尼西亞正統呢
[00:01:29.200 --> 00:01:31.400]  如果有機會上網去查
