
[00:00:00.000 --> 00:00:02.000]  各位早!
[00:00:02.000 --> 00:00:06.000]  神真是好!
[00:00:06.000 --> 00:00:12.000]  在後面桌上有我們的信
[00:00:12.000 --> 00:00:18.000]  還有三本我們出的書
[00:00:18.000 --> 00:00:20.000]  很不幸只有英文的
[00:00:20.000 --> 00:00:27.000]  這個聖經是新約聖經
[00:00:30.000 --> 00:00:36.000]  我們有一萬本是到俄國一萬本到烏克蘭
[00:00:36.000 --> 00:00:42.000]  這個看起來像是紙張
[00:00:42.000 --> 00:00:44.000]  但是不是紙
[00:00:44.000 --> 00:00:48.000]  是很特殊的塑膠
[00:00:48.000 --> 00:00:52.000]  是防水
[00:00:52.000 --> 00:00:54.000]  防火
[00:00:56.000 --> 00:00:58.000]  防溪
[00:00:58.000 --> 00:01:02.000]  bulletproof
[00:01:02.000 --> 00:01:08.000]  可以防彈
[00:01:08.000 --> 00:01:14.000]  在東烏克蘭
[00:01:14.000 --> 00:01:16.000]  有人在前線都帶著它
[00:01:16.000 --> 00:01:24.000]  我們在那邊有很多機會
[00:01:24.000 --> 00:01:26.000]  邀請打的年輕的軍士
[00:01:26.000 --> 00:01:33.000]  甚至邀請我太太進到坦克裡面去
[00:01:33.000 --> 00:01:39.000]  她帶了在裡面兩個官
[00:01:39.000 --> 00:01:41.000]  接受了耶穌
[00:01:41.000 --> 00:01:46.000]  烏克蘭的軍隊要求兩件事情
[00:01:46.000 --> 00:01:51.000]  不要停止為我們禱告
[00:01:53.000 --> 00:01:55.000]  給我們聖經
[00:01:55.000 --> 00:01:59.000]  我有一點謙虛
[00:01:59.000 --> 00:02:05.000]  一個軍官他說
[00:02:05.000 --> 00:02:12.000]  如果二十年前你又送給我們聖經的話
[00:02:12.000 --> 00:02:16.000]  我們今天就不會有戰爭了
[00:02:20.000 --> 00:02:23.000]  所以他們從這個聖經知道了神的話
[00:02:23.000 --> 00:02:27.000]  先是他們自己裡面的征戰
[00:02:27.000 --> 00:02:33.000]  許多國家為烏克蘭禱告
[00:02:33.000 --> 00:02:37.000]  甚至於中國也為烏克蘭禱告
[00:02:37.000 --> 00:02:42.000]  我的書跟著我的
[00:02:42.000 --> 00:02:48.000]  這個中國人他的名字叫Kenneth Wong
[00:02:51.000 --> 00:02:53.000]  湖南
[00:02:53.000 --> 00:03:00.000]  他去了那邊兩次上去年
[00:03:00.000 --> 00:03:04.000]  今年也去了一次
[00:03:04.000 --> 00:03:12.000]  我們帶了兩萬兩千本中國聖經進去
