
[00:00:00.000 --> 00:00:02.000]  我覺得有時人的手很特別
[00:00:02.000 --> 00:00:04.000]  我有一個很深的經歷
[00:00:04.000 --> 00:00:06.000]  就是在十幾年前
[00:00:06.000 --> 00:00:09.000]  有一段時間我貪得意就學砌Puzzle
[00:00:09.000 --> 00:00:12.000]  由200一直砌,砌到500
[00:00:12.000 --> 00:00:14.000]  後來砌到2000
[00:00:14.000 --> 00:00:17.000]  砌Puzzle要大家知道要慢慢砌的
[00:00:17.000 --> 00:00:19.000]  不可以一下子砌完
[00:00:19.000 --> 00:00:22.000]  你丟下了,來不來,走回頭
[00:00:22.000 --> 00:00:24.000]  再看一看,又可以砌到幾個
[00:00:24.000 --> 00:00:26.000]  我記得我第一張枱仔那裡
[00:00:26.000 --> 00:00:28.000]  去砌這個Puzzle
[00:00:28.000 --> 00:00:30.000]  差不多砌完的了
[00:00:30.000 --> 00:00:31.000]  還生一點點
[00:00:31.000 --> 00:00:34.000]  誰不知我記得有一個家庭
[00:00:34.000 --> 00:00:36.000]  他沒有打電話給我
[00:00:36.000 --> 00:00:38.000]  馬上說:牧師,我們在你樓下
[00:00:38.000 --> 00:00:39.000]  不如上來探探,聊聊天
[00:00:39.000 --> 00:00:40.000]  你很難拒絕的
[00:00:40.000 --> 00:00:42.000]  他上來
[00:00:42.000 --> 00:00:45.000]  兩夫婦帶著十分姐出來工作
[00:00:45.000 --> 00:00:46.000]  都已經二十多歲了
[00:00:46.000 --> 00:00:48.000]  那時三、四歲
[00:00:48.000 --> 00:00:49.000]  他馬上很開心
[00:00:49.000 --> 00:00:50.000]  「什麼來的?」
[00:00:50.000 --> 00:00:52.000]  按那張枱
[00:00:52.000 --> 00:00:55.000]  那張枱一邊邊一按的時候
[00:00:55.000 --> 00:00:57.000]  我砌了很久的那些Puzzle
[00:00:57.000 --> 00:00:59.000]  全部掉在地上
[00:00:59.000 --> 00:01:00.000]  沒有了
[00:01:00.000 --> 00:01:01.000]  原來我發覺
[00:01:01.000 --> 00:01:02.000]  有這麼多道理
[00:01:02.000 --> 00:01:05.000]  你很辛苦去建立一件事
[00:01:05.000 --> 00:01:08.000]  但原來你摧毀是很容易的
[00:01:08.000 --> 00:01:09.000]  自從那次之後
[00:01:09.000 --> 00:01:10.000]  我沒有再砌Puzzle
[00:01:10.000 --> 00:01:11.000]  不知道為什麼
[00:01:11.000 --> 00:01:12.000]  將我的東西都打垮了
[00:01:12.000 --> 00:01:14.000]  我又在想
[00:01:14.000 --> 00:01:16.000]  特別有很多人在婚姻上
[00:01:16.000 --> 00:01:19.000]  很辛苦的來建立一個家庭
[00:01:19.000 --> 00:01:20.000]  好好的來
[00:01:20.000 --> 00:01:22.000]  但相處是多好呢
[00:01:22.000 --> 00:01:24.000]  但有些人又可以
[00:01:24.000 --> 00:01:26.000]  用很多錢去建立
[00:01:26.000 --> 00:01:27.000]  去擺酒
[00:01:27.000 --> 00:01:28.000]  搞很多東西
[00:01:28.000 --> 00:01:29.000]  在婚禮裡面
[00:01:29.000 --> 00:01:31.000]  還要再表演一次求婚
[00:01:31.000 --> 00:01:33.000]  拿九十多枝玫瑰
[00:01:33.000 --> 00:01:34.000]  我見過這些
[00:01:34.000 --> 00:01:35.000]  我覺得真是浪費
[00:01:35.000 --> 00:01:38.000]  但又不去珍惜
[00:01:38.000 --> 00:01:41.000]  一手建立的家庭
[00:01:41.000 --> 00:01:42.000]  可能又給自己一手
[00:01:42.000 --> 00:01:44.000]  來帶去摧毀
[00:01:44.000 --> 00:01:46.000]  有時很矛盾
[00:01:46.000 --> 00:01:48.000]  父母很呵護備至
[00:01:48.000 --> 00:01:50.000]  來帶去疼愛寶寶
[00:01:50.000 --> 00:01:51.000]  一直抱著
[00:01:51.000 --> 00:01:52.000]  但可能後來
[00:01:52.000 --> 00:01:53.000]  當他長大一點
[00:01:53.000 --> 00:01:54.000]  不聽話的時候
[00:01:54.000 --> 00:01:56.000]  或者加上自己心情不好的時候
[00:01:56.000 --> 00:01:58.000]  就同樣曾經用這隻手
[00:01:58.000 --> 00:01:59.000]  去撫摸他
[00:01:59.000 --> 00:02:01.000]  去安慰他的手
[00:02:01.000 --> 00:02:02.000]  來打他
[00:02:02.000 --> 00:02:03.000]  打到飛起
[00:02:03.000 --> 00:02:05.000]  所以人是很矛盾
[00:02:05.000 --> 00:02:07.000]  但有時手也是很奇妙
[00:02:07.000 --> 00:02:08.000]  不知道大家知不知道
[00:02:08.000 --> 00:02:09.000]  有一位女士
[00:02:09.000 --> 00:02:11.000]  在中文大學教書
[00:02:11.000 --> 00:02:14.000]  她最近拿到一個傑出獎
[00:02:14.000 --> 00:02:15.000]  即傑青獎
[00:02:15.000 --> 00:02:16.000]  為什麼呢
[00:02:16.000 --> 00:02:18.000]  她只有三隻手指
[00:02:18.000 --> 00:02:19.000]  是完整的
[00:02:19.000 --> 00:02:22.000]  但是她卻是能夠
[00:02:22.000 --> 00:02:27.000]  彈一首非常非常好聽的鋼琴
[00:02:27.000 --> 00:02:29.000]  還懂得很多音樂
[00:02:29.000 --> 00:02:32.000]  我十隻手指都幾齊全
[00:02:32.000 --> 00:02:33.000]  但我都不懂彈琴
[00:02:33.000 --> 00:02:35.000]  但一個只有三隻手指的時候可以彈
[00:02:35.000 --> 00:02:37.000]  其實幾年前我們請過她來
[00:02:37.000 --> 00:02:39.000]  我們特意用攝錄機
[00:02:39.000 --> 00:02:41.000]  來影著她彈琴
[00:02:41.000 --> 00:02:42.000]  然後放給大家看
[00:02:42.000 --> 00:02:43.000]  她真的用三隻手指
[00:02:43.000 --> 00:02:45.000]  她彎開都彎得很辛苦
[00:02:45.000 --> 00:02:47.000]  但她在中文大學裏面
[00:02:47.000 --> 00:02:49.000]  是教音樂
[00:02:49.000 --> 00:02:50.000]  所以是不是很奇妙
[00:02:50.000 --> 00:02:54.000]  問題就是你願不願意去突破你自己
[00:02:54.000 --> 00:02:55.000]  想起手指的時候
[00:02:55.000 --> 00:02:56.000]  我想起耶穌基督
[00:02:56.000 --> 00:02:58.000]  祂的手指都有很多不同的表達方式
[00:02:58.000 --> 00:02:59.000]  第一
[00:02:59.000 --> 00:03:02.000]  我就會想到祂是一個很慈愛的手指
[00:03:02.000 --> 00:03:04.000]  那為什麼呢
[00:03:04.000 --> 00:03:07.000]  我們很重視兒童工作
[00:03:07.000 --> 00:03:09.000]  往往就基於一句話
[00:03:09.000 --> 00:03:13.000]  有一次耶穌來大廈去講話的時候
[00:03:13.000 --> 00:03:15.000]  很多人圍著
