
[00:00:00.000 --> 00:00:06.000]  好,各位,很高興今天我們再一次來到主的面前
[00:00:06.000 --> 00:00:08.000]  這是主的日子
[00:00:08.000 --> 00:00:12.000]  每一次當我們想到主耶穌,祂從此裡復活
[00:00:12.000 --> 00:00:16.000]  主日就是紀念主耶穌基督的復活
[00:00:16.000 --> 00:00:19.000]  所以主日,讓我們在這裡一起來歡慶
[00:00:19.000 --> 00:00:21.000]  來這裡敬拜神
[00:00:21.000 --> 00:00:23.000]  有一天我們到天上去的時候
[00:00:23.000 --> 00:00:25.000]  我們要在神的面前
[00:00:25.000 --> 00:00:28.000]  眾天使,還有所有的長老
[00:00:28.000 --> 00:00:30.000]  所有的這些歷代的聖徒
[00:00:30.000 --> 00:00:33.000]  都要在祂的面前一起來敬拜讚美祂
[00:00:33.000 --> 00:00:35.000]  《啟示錄》裡面講到七次
[00:00:35.000 --> 00:00:37.000]  在寶座前面的敬拜
[00:00:37.000 --> 00:00:39.000]  所以敬拜是非常重要的
[00:00:39.000 --> 00:00:42.000]  弟兄姊妹,不是只有聽到敬拜
[00:00:42.000 --> 00:00:43.000]  整個的崇拜
[00:00:43.000 --> 00:00:46.000]  讓我們看見敬拜的對象是我們的主
[00:00:46.000 --> 00:00:47.000]  所以我們在這個地方
[00:00:47.000 --> 00:00:49.000]  不管是唱詩歌
[00:00:49.000 --> 00:00:51.000]  不管是用各樣的樂器
[00:00:51.000 --> 00:00:52.000]  或者是聽到
[00:00:52.000 --> 00:00:54.000]  我們都是在這邊把我們的焦點
[00:00:54.000 --> 00:00:58.000]  focus在這一位主身上
[00:00:58.000 --> 00:01:03.000]  我想當這個世界
[00:01:03.000 --> 00:01:05.000]  當我們現在更多的去看到這個世界
[00:01:05.000 --> 00:01:07.000]  每一天早上我們晨禱
[00:01:07.000 --> 00:01:09.000]  我們就為這個一個國家禱告
[00:01:09.000 --> 00:01:11.000]  當我們看到每一個國家
[00:01:11.000 --> 00:01:13.000]  像緬甸現在正在面臨到
[00:01:13.000 --> 00:01:15.000]  我想如果你住在緬甸的人
[00:01:15.000 --> 00:01:17.000]  你是緬甸的居民
[00:01:17.000 --> 00:01:18.000]  你可能會感覺到
[00:01:18.000 --> 00:01:19.000]  其實疫情沒有那麼嚴重
[00:01:19.000 --> 00:01:20.000]  為什麼呢
[00:01:20.000 --> 00:01:22.000]  因為比這個更嚴重的是什麼
[00:01:22.000 --> 00:01:25.000]  是國家都在面臨一個動亂
[00:01:25.000 --> 00:01:30.000]  全仰光這個可以說十萬的人上街頭
[00:01:30.000 --> 00:01:34.000]  我們接到一個緬甸的宣教士
[00:01:34.000 --> 00:01:36.000]  寄照片給我們看
