
[00:00:00.000 --> 00:00:04.560]  有時候說話會帶來很多的效果
[00:00:04.560 --> 00:00:08.120]  去年前總統特朗普
[00:00:08.120 --> 00:00:09.840]  他說了一句說話
[00:00:09.840 --> 00:00:12.200]  都令人有兩種反應
[00:00:12.200 --> 00:00:15.320]  他說「We back in some form」
[00:00:15.320 --> 00:00:17.720]  電視機翻譯出來
[00:00:17.720 --> 00:00:19.720]  以不同的形式翻譯回來
[00:00:19.720 --> 00:00:22.120]  不是指我自己,是特朗普
[00:00:22.120 --> 00:00:24.120]  支持者如何呢?
[00:00:24.120 --> 00:00:25.600]  很鼓舞
[00:00:25.600 --> 00:00:29.960]  大家一起站起來拍手,很開心
[00:00:29.960 --> 00:00:31.960]  另一邊廂是甚麼呢?
[00:00:31.960 --> 00:00:33.240]  就是那些反對者
[00:00:33.240 --> 00:00:35.920]  一聽到這句說話真的很不安
[00:00:35.920 --> 00:00:38.480]  要再回來
[00:00:38.480 --> 00:00:41.280]  他們突然間一聽到這句說話
[00:00:41.280 --> 00:00:43.560]  真的心慌
[00:00:43.560 --> 00:00:47.280]  同樣的一句說話
[00:00:47.280 --> 00:00:50.000]  影響力會去到這樣
[00:00:50.000 --> 00:00:52.000]  另外一種就是
[00:00:52.000 --> 00:00:53.680]  打算脫罪
[00:00:53.680 --> 00:00:56.360]  未來星期二會有一個判決
[00:00:56.360 --> 00:01:00.080]  說一個五歲女童被虐至死
[00:01:00.080 --> 00:01:02.080]  做一個裁決
[00:01:02.080 --> 00:01:05.080]  新聞是這樣說的
[00:01:05.080 --> 00:01:10.200]  這個繼母因為想教導小朋友
[00:01:10.200 --> 00:01:12.200]  出於愛心
[00:01:12.200 --> 00:01:14.200]  所以用體罰的方式
[00:01:14.200 --> 00:01:18.560]  你願不願意這樣被人愛呢?
[00:01:18.560 --> 00:01:22.000]  我們當然不願意這樣被人愛
[00:01:22.000 --> 00:01:27.800]  但是用一個正面的說話來掩蓋自己反面的說話
[00:01:27.800 --> 00:01:32.360]  這是一種掩飾罪行的說話
