
[00:00:00.000 --> 00:00:03.000]  今年2015年
[00:00:03.000 --> 00:00:10.000]  是中國抗戰勝利的70週年紀念
[00:00:10.000 --> 00:00:15.000]  大家都知道這八年抗戰
[00:00:15.000 --> 00:00:20.000]  是在中國歷史上寫下血淚的一頁
[00:00:20.000 --> 00:00:25.000]  中國的命運很多時候危在旦夕
[00:00:25.000 --> 00:00:29.000]  那時中國的領導人
[00:00:29.000 --> 00:00:33.000]  是蔣介石
[00:00:33.000 --> 00:00:37.000]  根據收集到的資料
[00:00:37.000 --> 00:00:42.000]  蔣介石先生在極大的壓力之下
[00:00:42.000 --> 00:00:44.000]  曾經兩度想自殺
[00:00:44.000 --> 00:00:48.000]  最後是靠祈禱來勝過
[00:00:48.000 --> 00:00:50.000]  蔣介石的夫人是基督徒
[00:00:50.000 --> 00:00:52.000]  帶了他去信主
[00:00:52.000 --> 00:00:56.000]  我想如果蔣介石當年自殺了
[00:00:56.000 --> 00:00:59.000]  中國近代史可能要改寫
[00:00:59.000 --> 00:01:04.000]  在你的生命裏有沒有經歷過逆境
[00:01:04.000 --> 00:01:08.000]  令到你覺得受不了
[00:01:08.000 --> 00:01:10.000]  或者你和我面對的逆境
[00:01:10.000 --> 00:01:13.000]  不是在國家大事的層面
[00:01:13.000 --> 00:01:17.000]  可能是多些在個人的層面
[00:01:17.000 --> 00:01:20.000]  不過個人的層面都可以很辛苦
[00:01:20.000 --> 00:01:24.000]  或者你的工作你覺得很苦悶
[00:01:24.000 --> 00:01:26.000]  老闆又很壞
[00:01:26.000 --> 00:01:28.000]  人工很久沒有加
[00:01:28.000 --> 00:01:30.000]  或者你剛剛失戀
[00:01:30.000 --> 00:01:34.000]  或者你的婚姻出現危機
[00:01:34.000 --> 00:01:36.000]  或者你的健康有問題
[00:01:36.000 --> 00:01:38.000]  那你怎樣應付這些逆境
[00:01:38.000 --> 00:01:41.000]  究竟聖經有沒有很實際的幫助
[00:01:41.000 --> 00:01:44.000]  你和我應付我們生活上的逆境
[00:01:44.000 --> 00:01:47.000]  今日我們要在使徒保羅身上
[00:01:47.000 --> 00:01:50.000]  在他的生命裏面
[00:01:50.000 --> 00:01:51.000]  他的分享裏面
[00:01:51.000 --> 00:01:54.000]  學習怎樣應付人生的逆境
[00:01:54.000 --> 00:01:56.000]  我們基督徒很多時候有個錯覺
[00:01:56.000 --> 00:01:59.000]  以為使徒保羅是靈命高超
[00:01:59.000 --> 00:02:01.000]  百毒不侵
