
[00:00:00.000 --> 00:00:05.000]  丁姐妹平安,這段日子你還好嗎?
[00:00:05.000 --> 00:00:08.000]  我都感覺到我很久沒有見到大家了
[00:00:08.000 --> 00:00:11.000]  最近和丁姐妹在Zoom上祈禱
[00:00:11.000 --> 00:00:15.000]  都離不開疫情和打仗這些事情
[00:00:15.000 --> 00:00:19.000]  我們就是生活在各種紛亂、反常
[00:00:19.000 --> 00:00:22.000]  甚至是荒謬當中
[00:00:22.000 --> 00:00:24.000]  其實平時無事無干
[00:00:24.000 --> 00:00:27.000]  可能有很多道理我們都知道
[00:00:27.000 --> 00:00:31.000]  我們是完全毀信跟隨耶穌的門徒
[00:00:31.000 --> 00:00:35.000]  祂說怎樣,我們就跟隨,上帝說了算
[00:00:35.000 --> 00:00:39.000]  大家都很明白,甚至都很願意
[00:00:39.000 --> 00:00:44.000]  不過,當患難來到,疫情好像沒什麼終結
[00:00:44.000 --> 00:00:47.000]  人類還要在這裡打仗,自相殘殺
[00:00:47.000 --> 00:00:51.000]  這時候背起十字架去跟隨耶穌
[00:00:51.000 --> 00:00:54.000]  我們說過要跟隨的
[00:00:54.000 --> 00:00:57.000]  在這個御虎期
[00:00:57.000 --> 00:00:59.000]  讓我們重溫一下
[00:00:59.000 --> 00:01:02.000]  耶穌為身走上十字架的時候
[00:01:02.000 --> 00:01:06.000]  祂在赫西瑪利園的情況
[00:01:06.000 --> 00:01:10.000]  讓經文挑戰一下我們今天的生命狀況
[00:01:10.000 --> 00:01:12.000]  我們今天讀的經文
[00:01:12.000 --> 00:01:15.000]  是記載在《馬太福音》二十六章
[00:01:15.000 --> 00:01:17.000]  三十六至四十六節
[00:01:17.000 --> 00:01:21.000]  讓我們一起讀一下這段經文
[00:01:21.000 --> 00:01:24.000]  耶穌跟門徒來到一個地方
[00:01:24.000 --> 00:01:28.000]  名叫赫西瑪利,就對他們說
[00:01:28.000 --> 00:01:33.000]  你們坐在這裡,讓我到那邊去禱告
[00:01:33.000 --> 00:01:38.000]  於是帶著彼得和西彼太的兩個兒子同去
[00:01:38.000 --> 00:01:41.000]  就憂愁起來,極其難過
[00:01:41.000 --> 00:01:43.000]  便對他們說
[00:01:43.000 --> 00:01:48.000]  我心裡甚是憂傷,幾乎要死
[00:01:48.000 --> 00:01:53.000]  你們在這裡等候,和我一同謹誠
[00:01:53.000 --> 00:01:59.000]  他就稍往前走,撫服在地,禱告說
[00:01:59.000 --> 00:02:05.000]  我父啊,倘若可行,求你叫這杯離開我
[00:02:05.000 --> 00:02:10.000]  然而,不要照我的意思,只要照你的意思
[00:02:10.000 --> 00:02:14.000]  來到門徒那裡,見他們睡著了
[00:02:14.000 --> 00:02:16.000]  就對彼得說
