
[00:00:00.000 --> 00:00:01.220]  大家住內平安
[00:00:01.220 --> 00:00:03.200]  親愛的朋友
[00:00:03.200 --> 00:00:04.700]  如果你是第一次來到
[00:00:04.700 --> 00:00:06.280]  或者是在網上的
[00:00:06.280 --> 00:00:09.420]  我們也很歡迎你跟我們一起去敬拜
[00:00:09.420 --> 00:00:12.240]  我今天說的是真正的敬拜
[00:00:12.240 --> 00:00:15.700]  上次我就說到
[00:00:15.700 --> 00:00:17.880]  撒瑪利亞婦人
[00:00:17.880 --> 00:00:21.260]  是說到一到十八節的
[00:00:21.260 --> 00:00:25.740]  今天我們繼續上一次的講題
[00:00:25.740 --> 00:00:30.000]  就是耶穌和撒瑪利亞婦人的一個談話
[00:00:30.000 --> 00:00:35.420]  當時猶太人對撒瑪利亞人
[00:00:35.420 --> 00:00:37.500]  當時有很深的偏見
[00:00:37.500 --> 00:00:42.040]  撒瑪利亞人不僅是文化不同
[00:00:42.040 --> 00:00:43.800]  他們在信仰上
[00:00:43.800 --> 00:00:45.840]  以及他們的血統、身份上
[00:00:45.840 --> 00:00:48.800]  都是被猶太人去稀罕的
[00:00:48.800 --> 00:00:52.540]  人很多時候都是劃界線的
[00:00:52.540 --> 00:00:56.660]  所以他們之間就有一種民族界線
[00:00:56.660 --> 00:00:58.240]  宗教的界線
[00:00:58.240 --> 00:01:01.120]  以及人與人之間的界線
[00:01:01.120 --> 00:01:03.120]  而耶穌基督
[00:01:03.120 --> 00:01:06.120]  祂就是跨越了這一切的界線
[00:01:06.120 --> 00:01:09.500]  專門去撒瑪利亞找這個婦人
[00:01:09.500 --> 00:01:14.460]  不是祂必須要經過撒瑪利亞
[00:01:14.460 --> 00:01:16.620]  才能去到祂要去的目的地
[00:01:16.620 --> 00:01:19.200]  而是祂看到有一個靈魂在那裡
[00:01:19.200 --> 00:01:21.500]  這個靈魂很需要祂
[00:01:21.500 --> 00:01:24.960]  所以耶穌基督可以說是為了祂而去的
[00:01:24.960 --> 00:01:27.500]  那時候是正午
[00:01:27.500 --> 00:01:28.880]  是很熱的
[00:01:28.880 --> 00:01:31.500]  那時候很少人出來打水
[00:01:31.500 --> 00:01:36.040]  但是這個婦人偏偏就是中午的時候才出來打水
[00:01:36.040 --> 00:01:37.960]  因為她的背景
