
[00:00:00.000 --> 00:00:01.920]  我們領受上帝的懷與善
[00:00:01.920 --> 00:00:03.880]  就想和大家不如
[00:00:03.880 --> 00:00:08.840]  探討一下現時香港最流行的電影是什麼電影
[00:00:08.840 --> 00:00:12.440]  Iranger 有人認識
[00:00:12.440 --> 00:00:14.080]  我今天早堂我發覺
[00:00:14.080 --> 00:00:17.560]  好像那些人沒有認識這些人物的源泉
[00:00:17.560 --> 00:00:19.960]  所以我幾乎說不出一個隱言
[00:00:19.960 --> 00:00:23.120]  我就不是說現在最流行的一套電影
[00:00:23.120 --> 00:00:25.520]  也不會搞劇透那些東西
[00:00:25.520 --> 00:00:28.440]  我們講回之前有一套叫做《英雄內戰》
[00:00:28.440 --> 00:00:31.400]  《英雄內戰》不知道大家有沒有看過
[00:00:31.400 --> 00:00:32.840]  Anyway 沒看過也不要緊
[00:00:32.840 --> 00:00:34.160]  我只是想說
[00:00:34.160 --> 00:00:37.840]  在我們幻想當中或者很崇高的英雄人物
[00:00:37.840 --> 00:00:41.240]  都可能會有衝突或者會有分裂的時候
[00:00:41.240 --> 00:00:44.720]  一個以美國隊長為首的一幫聯盟
[00:00:44.720 --> 00:00:46.880]  在你們看到螢光幕的右邊
[00:00:46.880 --> 00:00:50.040]  和紅色衣服的鐵甲奇俠的左邊
[00:00:50.040 --> 00:00:51.800]  都曾經對壘
[00:00:51.800 --> 00:00:52.520]  為什麼呢?
[00:00:52.520 --> 00:00:55.880]  他們曾經一起去打敗外星人
[00:00:55.880 --> 00:00:58.120]  你知道打外星人不是這麼簡單
[00:00:58.120 --> 00:01:00.120]  可能打爛了旁邊的大廈
[00:01:00.120 --> 00:01:02.120]  塌了 死傷很多
[00:01:02.120 --> 00:01:06.080]  所以聯合國就決定要做一個監控
[00:01:06.080 --> 00:01:07.840]  要監控這幫英雄聯盟
[00:01:07.840 --> 00:01:09.120]  不准他們亂來
[00:01:09.120 --> 00:01:10.880]  處事出動都要批准的
[00:01:10.880 --> 00:01:12.680]  和要授權
[00:01:12.680 --> 00:01:14.440]  要經過很多關鍵才能夠做的
[00:01:14.440 --> 00:01:16.680]  鐵甲奇俠都覺得是對的
[00:01:16.680 --> 00:01:19.400]  不然弄壞了東西很麻煩
[00:01:19.400 --> 00:01:22.600]  但是美國隊長就不同意
[00:01:22.600 --> 00:01:25.960]  因為他經歷過曾經一些腐敗的組織
[00:01:25.960 --> 00:01:28.320]  他覺得如果我們英雄聯盟
[00:01:28.320 --> 00:01:30.760]  是一幫這麼有能力的人
[00:01:30.760 --> 00:01:33.920]  如果被一些權力監控著
[00:01:33.920 --> 00:01:37.040]  都可能會腐敗和會有問題出現的
[00:01:37.040 --> 00:01:40.440]  最後這兩幫人就互相對壘
