
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 各位朋友 早安
[00:00:03.000 --> 00:00:08.000]  願神的恩典常與你們同在
[00:00:08.000 --> 00:00:12.000]  在猶太人過去的歷史
[00:00:12.000 --> 00:00:15.000]  猶大國亡國之後
[00:00:15.000 --> 00:00:18.000]  猶大人被擄去巴比倫
[00:00:18.000 --> 00:00:20.000]  有一段艱苦的日子
[00:00:20.000 --> 00:00:23.000]  巴比倫即是現在的伊拉克
[00:00:23.000 --> 00:00:26.000]  那個艱苦的日子終於過去了
[00:00:26.000 --> 00:00:31.000]  他們做了奴隸差不多五十年
[00:00:31.000 --> 00:00:35.000]  半個世紀的苦難終於過去了
[00:00:35.000 --> 00:00:37.000]  後來波斯興起
[00:00:37.000 --> 00:00:40.000]  波斯即是現在的伊朗
[00:00:40.000 --> 00:00:44.000]  塞魯士大帝容讓猶大人回歸故土
[00:00:44.000 --> 00:00:47.000]  皇族的後人所羅巴伯
[00:00:47.000 --> 00:00:50.000]  被任命為猶大的省長
[00:00:50.000 --> 00:00:52.000]  他帶領他的族人
[00:00:52.000 --> 00:00:57.000]  好好當當從做奴隸的巴比倫
[00:00:57.000 --> 00:01:01.000]  回到他們的故鄉耶路撒冷
[00:01:01.000 --> 00:01:04.000]  在這個回歸的旅途裡
[00:01:04.000 --> 00:01:08.000]  我們不知道他們會夢見些什麼
[00:01:08.000 --> 00:01:14.000]  或者他們會夢見他們家鄉的故園
[00:01:14.000 --> 00:01:19.000]  或者他們會夢見他們小朋友捉魚的時候
[00:01:19.000 --> 00:01:22.000]  那個吸倫溪
[00:01:22.000 --> 00:01:26.000]  或者他們會夢見京城的城牆
[00:01:26.000 --> 00:01:30.000]  又或者他們會夢見蒼炎的聖殿
[00:01:30.000 --> 00:01:35.000]  不知道他們會不會在夢裡都笑醒
[00:01:35.000 --> 00:01:36.000]  這麼多年了
[00:01:36.000 --> 00:01:39.000]  做了奴隸這麼多年
[00:01:39.000 --> 00:01:43.000]  他們多年來的夢想就是回到故鄉
[00:01:43.000 --> 00:01:47.000]  他們的夢想終於成真
[00:01:47.000 --> 00:01:49.000]  一路走一路走
[00:01:49.000 --> 00:01:51.000]  終於他們到步了
[00:01:51.000 --> 00:01:56.000]  望下耶路撒冷
[00:01:56.000 --> 00:01:59.000]  夢中的故鄉
[00:01:59.000 --> 00:02:01.000]  但是他們一望
[00:02:01.000 --> 00:02:05.000]  望見眼前的景象卻是
[00:02:05.000 --> 00:02:08.000]  城牆崩塌了
[00:02:08.000 --> 00:02:16.000]  他們的故園只剩下幾片殘垣破瓦
[00:02:16.000 --> 00:02:19.000]  那個蒼炎的聖殿
[00:02:19.000 --> 00:02:22.000]  更加是一片消失荒涼
[00:02:22.000 --> 00:02:25.000]  亂草叢生
[00:02:25.000 --> 00:02:30.000]  他們的眼淚自然流下來
[00:02:30.000 --> 00:02:34.000]  接著他們在這個故鄉裡生活
[00:02:34.000 --> 00:02:37.000]  他們的生活很艱難
[00:02:37.000 --> 00:02:42.000]  比他們在巴比倫做奴隸的時候更加艱難
[00:02:42.000 --> 00:02:45.000]  他們要很努力地建房屋
[00:02:45.000 --> 00:02:49.000]  但是其實他們沒有任何的材料
[00:02:49.000 --> 00:02:51.000]  努力地建一間房子
[00:02:51.000 --> 00:02:56.000]  至少能夠讓自己有一個遮風擋雨的地方
[00:02:56.000 --> 00:02:58.000]  回到一個故鄉
[00:02:58.000 --> 00:03:00.000]  他們要很努力地種地
