
[00:00:00.000 --> 00:00:02.000]  福神師父讓我們先聽神的導議
[00:00:02.000 --> 00:00:03.600]  讓我們先同心的禱告
[00:00:03.600 --> 00:00:04.600]  聽著沒有
[00:00:04.600 --> 00:00:06.600]  我們聽到的聲音先同心得了
[00:00:06.600 --> 00:00:12.000]  親愛的父神多謝祢
[00:00:12.000 --> 00:00:14.800]  讓我們能夠再次打開祢的說話
[00:00:14.800 --> 00:00:18.400]  透過祢的聖經去尋找屬於祢的智慧
[00:00:18.400 --> 00:00:20.200]  求主祢與我們同在
[00:00:20.200 --> 00:00:25.200]  讓我們再次能夠透過祢在歷史上的作為
[00:00:25.200 --> 00:00:27.600]  讓我們看到人性的可怕
[00:00:27.600 --> 00:00:29.200]  也讓我們看到
[00:00:29.200 --> 00:00:32.400]  神祢為何在這個世代不斷參與
[00:00:32.400 --> 00:00:35.200]  希望糾正人的錯誤
[00:00:35.200 --> 00:00:38.000]  但主也讓我們在今天
[00:00:38.000 --> 00:00:40.800]  去做一個更深層的反省
[00:00:40.800 --> 00:00:42.800]  好在我們都能夠透過
[00:00:42.800 --> 00:00:45.400]  在祢的歷史作為當中
[00:00:45.400 --> 00:00:47.000]  能夠再次測驗到
[00:00:47.000 --> 00:00:48.800]  我們能不能夠真是
[00:00:48.800 --> 00:00:52.000]  順著主祢的教導而行事
[00:00:52.000 --> 00:00:54.400]  主讓我們知道祢對我們是好的
[00:00:54.400 --> 00:00:56.600]  但是當我們對主祢的說話
[00:00:56.600 --> 00:00:58.200]  有懷疑的時候
[00:00:58.200 --> 00:01:01.400]  但願主祢再一次透過聖靈
[00:01:01.400 --> 00:01:03.800]  向我們作澄清
[00:01:03.800 --> 00:01:06.400]  幫助我們能夠更準確地拿捏
[00:01:06.400 --> 00:01:07.800]  聖經裏面的教導
[00:01:07.800 --> 00:01:08.800]  求主與我們同在
[00:01:08.800 --> 00:01:09.600]  親愛的主
[00:01:09.600 --> 00:01:12.000]  感謝祢給我們能夠再次由生命
[00:01:12.000 --> 00:01:14.400]  來到祢的說話的跟前
[00:01:14.400 --> 00:01:18.800]  來到做出對真理的進一步的認識
[00:01:18.800 --> 00:01:21.400]  我們再次求祢幫助我們
