
[00:00:00.000 --> 00:00:02.020]  頂姐妹們,安安!
[00:00:02.020 --> 00:00:05.160]  好,今天是年初四
[00:00:05.160 --> 00:00:07.740]  仍然是農曆新年期間
[00:00:07.740 --> 00:00:10.620]  所以都在這裡祝大家新年快樂
[00:00:10.620 --> 00:00:11.940]  主恩常在
[00:00:11.940 --> 00:00:14.040]  大家有沒有回應呢?
[00:00:14.040 --> 00:00:16.600]  就是覺得我很膚淺,所以大家不回應我,對嗎?
[00:00:16.600 --> 00:00:19.280]  對嗎?大家都沒有反應呢?
[00:00:19.280 --> 00:00:23.280]  好啦,新年快樂!新年啦!新開始啦!
[00:00:23.280 --> 00:00:26.280]  農曆年過後呢,我們的講道
[00:00:26.280 --> 00:00:28.960]  都同樣開始了一個新的系列啦
[00:00:28.960 --> 00:00:31.520]  如果大家尚有印象呢
[00:00:31.520 --> 00:00:34.520]  Ivan在今年的第一篇信息裡面
[00:00:34.520 --> 00:00:37.560]  他提到教會今年的整個全年的方向
[00:00:37.560 --> 00:00:40.140]  是興起發光啦
[00:00:40.140 --> 00:00:42.980]  教會呢,其實很希望弟兄姊妹
[00:00:42.980 --> 00:00:46.040]  今年可以更加多的給聖靈素做啦
[00:00:46.040 --> 00:00:48.440]  去結出更加多的聖靈果子
[00:00:48.440 --> 00:00:51.380]  接著生命呢,可以被興起啦
[00:00:51.380 --> 00:00:54.380]  繼而可以大家在自己生活的
[00:00:54.380 --> 00:00:57.940]  或者你的生命裡面不同的範疇呢,去為主發光
[00:00:58.040 --> 00:01:01.040]  那麼YAS呢,我們為了配合教會這個方向啦
[00:01:01.040 --> 00:01:03.240]  那麼我們呢,全年呢
[00:01:03.240 --> 00:01:06.240]  決定就會分了兩個大的部分啦
[00:01:06.240 --> 00:01:09.940]  一個呢,就是相對教會是認識神的屬性啦
[00:01:09.940 --> 00:01:13.000]  而另一個部分就是認識自己的部分
[00:01:13.000 --> 00:01:15.880]  我們希望呢,我們的弟兄姊妹可以呢
[00:01:15.880 --> 00:01:18.860]  對上帝啦,對自己啦,可以有更加多的認識啦
[00:01:18.860 --> 00:01:22.100]  繼而可以反思,還有更多的學習
[00:01:22.100 --> 00:01:25.120]  以致大家在新的一年裡面呢,可以很實在的
[00:01:25.120 --> 00:01:29.680]  在你生命裡面呢,活出上帝這個光出來
[00:01:29.680 --> 00:01:32.780]  那麼這個系列呢,就是認識自己的
[00:01:32.780 --> 00:01:35.680]  部分裡面的其中一個系列啦
[00:01:35.680 --> 00:01:38.740]  我們會先集中講的,是叫性格啦
[00:01:38.740 --> 00:01:41.320]  那麼如果大家有印象之前,預告
[00:01:41.320 --> 00:01:44.680]  接下來的講道訊息是誰誰說的那些預告的時候呢
[00:01:44.680 --> 00:01:47.580]  都已經提過啦,我們的系列名字叫做
[00:01:47.580 --> 00:01:50.280]  我們都是性格巨星啦
[00:01:50.280 --> 00:01:53.400]  那麼不過,在進入訊息之前,我們先一起禱告
[00:01:55.140 --> 00:01:57.900]  天父,上帝多謝祢,多謝祢是祢養我們
[00:01:57.900 --> 00:02:00.880]  在新的一年裡面啦,好像
[00:02:00.880 --> 00:02:03.740]  這句話講了不久,轉個頭又講啦
[00:02:03.740 --> 00:02:06.880]  但是上帝,我們多謝祢,因為祢給我們有兩個新年
[00:02:06.880 --> 00:02:09.940]  祢養我們呢,好像過了不久
[00:02:09.940 --> 00:02:12.940]  我們仍然有一個新的氣象的想法
[00:02:12.940 --> 00:02:15.980]  神啊就願祢,祢繼續的去到幫助我們
[00:02:15.980 --> 00:02:19.060]  讓我們在2025年,在這一個時間
[00:02:19.060 --> 00:02:21.800]  我們再一次踏入新年的時候
[00:02:21.800 --> 00:02:25.580]  願上帝讓我們在祢裡面同樣有一個新的靈
[00:02:25.580 --> 00:02:28.400]  新的油,新的酒,新的皮袋
[00:02:28.400 --> 00:02:31.360]  去承載祢的教導,主耶穌我們感謝祢
[00:02:31.360 --> 00:02:34.100]  去幫助我們,祝福我們每一個聽我們口口交托
[00:02:34.100 --> 00:02:37.100]  奉耶穌的聖名自祈求,阿彌陀佛
[00:02:37.100 --> 00:02:40.560]  好,那麼我們講說,今個系列講性格啦
[00:02:40.560 --> 00:02:43.100]  當我們講到性格的時候,這個字呢
[00:02:43.100 --> 00:02:46.080]  我不知道大家怎麼看,又或者在這方面
[00:02:46.080 --> 00:02:48.680]  有沒有很多的研究啊
[00:02:48.680 --> 00:02:51.680]  或者是很大的興趣,現在很流行的嘛
[00:02:51.680 --> 00:02:53.600]  就是很多NBTI那些這樣的東西
[00:02:53.600 --> 00:02:56.900]  我們很多時候很容易聽到旁邊的人
[00:02:56.900 --> 00:03:00.160]  去稱讚一個人,或者其實你自己也會稱讚其他人
[00:03:00.160 --> 00:03:03.640]  這個人很有性格,又或者那個人性格很好
[00:03:03.640 --> 00:03:06.840]  又與此同時,我們有時會聽到一些人
[00:03:06.840 --> 00:03:09.860]  說一些人,這個人性格怪怪的
[00:03:09.860 --> 00:03:11.600]  說你這樣很沒性格咯
[00:03:11.600 --> 00:03:13.840]  我們聽到很多類似的說話
[00:03:13.840 --> 00:03:17.700]  我們好像很容易就可以去判斷一個人
[00:03:17.700 --> 00:03:19.940]  或者是其他人,特別是
[00:03:19.940 --> 00:03:23.000]  究竟那個人的性格是好還是壞
[00:03:23.000 --> 00:03:26.660]  但是當詳細去嘗試問回大家
[00:03:26.660 --> 00:03:29.660]  究竟這個人的性格有什麼這麼好呢
[00:03:29.660 --> 00:03:31.080]  有什麼這麼怪呢
[00:03:31.080 --> 00:03:33.860]  你會發現呢,其實很多時候呢
[00:03:33.860 --> 00:03:36.240]  你自己的答案呢,跟旁邊
[00:03:36.240 --> 00:03:38.840]  甚至是一起覺得他好的人呢
[00:03:38.840 --> 00:03:40.920]  答案都未必是一樣
[00:03:40.920 --> 00:03:44.220]  那麼,究竟其實這個人的性格是怎樣
[00:03:44.220 --> 00:03:46.840]  是你說的那個對,還是那個人說的才對呢
[00:03:46.840 --> 00:03:48.560]  我們好像不太清楚
[00:03:48.560 --> 00:03:51.400]  而另外,我們做傳導人的時候
[00:03:51.400 --> 00:03:53.820]  其實很多時候會認識到很多不同的人
