
[00:00:00.000 --> 00:00:02.880]  我哋喺度祈禱 差唔多再一次多謝你
[00:00:02.880 --> 00:00:09.680]  縱然係坊間 我哋睇到好似愛係冇長久
[00:00:09.680 --> 00:00:13.320]  我哋好多時係體會到無論係家庭
[00:00:13.320 --> 00:00:16.800]  無論係朋友之間嗰種嘅愛
[00:00:16.800 --> 00:00:23.600]  唔知點解忽然之間 好似將愛轉變成一個仇恨
[00:00:23.600 --> 00:00:27.480]  彼此之間已經好似冇再有機會嘅溝通
[00:00:27.480 --> 00:00:31.400]  冇再有機會嘅去相遇
[00:00:31.400 --> 00:00:34.080]  以至到我哋成日都思考
[00:00:34.080 --> 00:00:39.200]  究竟愛係咪可以真係一生
[00:00:39.200 --> 00:00:41.920]  甚至係我哋嘅婚姻當中
[00:00:41.920 --> 00:00:43.800]  我哋中國人所講嘅
[00:00:43.800 --> 00:00:45.760]  我哋嘅家庭 我哋嘅婚姻
[00:00:45.760 --> 00:00:50.680]  係可以白頭偕老 係永結同心
[00:00:50.680 --> 00:00:54.080]  同樣我哋睇到今日我哋喺你嘅面前
[00:00:54.080 --> 00:00:56.560]  我哋作為一個信徒 我哋信
[00:00:56.560 --> 00:00:59.400]  愛係永恆嘅
[00:00:59.400 --> 00:01:02.800]  因為我哋嘅神佢愛我哋
[00:01:02.800 --> 00:01:05.320]  係冇任何嘅條件
[00:01:05.320 --> 00:01:08.560]  佢嘅愛係白白嘅犧牲
[00:01:08.560 --> 00:01:10.200]  係畀過我哋
[00:01:10.200 --> 00:01:12.360]  係一份好特別嘅一份禮物
[00:01:12.360 --> 00:01:13.960]  係畀我哋
[00:01:13.960 --> 00:01:16.320]  就讓我哋今天能夠喺一個地方
[00:01:16.320 --> 00:01:20.760]  我哋能夠可以喺社區浸信會嘅一個特別嘅
[00:01:20.760 --> 00:01:22.840]  一個福音主教裏邊
[00:01:22.840 --> 00:01:24.920]  就讓我哋一齊嘅去思考
[00:01:24.920 --> 00:01:27.040]  神嘅愛
[00:01:27.040 --> 00:01:29.040]  係停不了嘅愛
[00:01:29.040 --> 00:01:31.040]  係永恆嘅愛
[00:01:31.040 --> 00:01:34.240]  聽我哋祈禱 奉主命求
[00:01:34.240 --> 00:01:35.240]  Amen
[00:01:35.240 --> 00:01:39.880]  第一節嘅朋友請坐
[00:01:39.880 --> 00:01:41.920]  其實喺過去幾年
[00:01:41.920 --> 00:01:44.240]  浸信會 宣導會同播道會
[00:01:44.240 --> 00:01:46.680]  我哋都有好多嘅關係
[00:01:46.680 --> 00:01:48.880]  我哋成日都話我哋有三個宗派
[00:01:48.880 --> 00:01:50.960]  我哋成日都有好多唔同嘅機會
[00:01:50.960 --> 00:01:52.960]  我哋同工有時都會走埋一齊
[00:01:52.960 --> 00:01:56.720]  我哋一齊去思考香港嘅一啲嘅問題
[00:01:56.720 --> 00:02:00.400]  我哋會同工之間我哋彼此嘅去代討
[00:02:00.400 --> 00:02:02.680]  今日呢個唔知點解呢個周末
[00:02:02.680 --> 00:02:04.120]  我作為播道會牧師
[00:02:04.120 --> 00:02:06.800]  我同浸信會呢個周末特別有關係
[00:02:06.800 --> 00:02:09.280]  因為琴日我就去咗好人社
[00:02:09.280 --> 00:02:12.760]  即係福音堂就喺呢度附近亦都係浸信會嘅
[00:02:12.760 --> 00:02:14.280]  而今日我有機會
[00:02:14.280 --> 00:02:16.280]  因著牧師畀我咁嘅機會
[00:02:16.280 --> 00:02:18.920]  可以喺西區嘅浸信會同大家嚟到分享
[00:02:18.920 --> 00:02:20.040]  神嘅話語
[00:02:20.040 --> 00:02:22.800]  以至到我哋睇到原來縱然我哋嘅宗派
[00:02:22.800 --> 00:02:24.800]  可以有好多嘅名稱係唔同
[00:02:24.800 --> 00:02:26.160]  但我哋喺神裏邊
[00:02:26.160 --> 00:02:28.480]  我哋仍然都有好多嘅關係
[00:02:28.480 --> 00:02:29.680]  好多嘅鼓勵
[00:02:29.680 --> 00:02:31.360]  好多嘅彼此嘅相愛
[00:02:31.360 --> 00:02:34.360]  甚至係我哋可以彼此嘅祈禱
[00:02:34.360 --> 00:02:36.560]  當我自己思考今日呢個福音講座嘅時候
[00:02:36.560 --> 00:02:39.760]  我自己心裏邊係成日去諗
[00:02:39.760 --> 00:02:40.760]  諗一個題目
[00:02:40.760 --> 00:02:42.560]  縱然呢個題目我講出嚟
[00:02:42.560 --> 00:02:44.960]  大家會覺得我點會唔識呀
[00:02:44.960 --> 00:02:46.960]  有咩叫愛嘅
[00:02:46.960 --> 00:02:49.960]  當然我唔會話大家唔識咩叫愛
[00:02:49.960 --> 00:02:52.960]  如果當中我哋正在拍拖嘅弟兄姊妹
[00:02:52.960 --> 00:02:55.960]  或者係你嘅家庭仍然都係非常之美滿嘅
[00:02:55.960 --> 00:02:57.960]  一啲嘅關係去到邊
[00:02:57.960 --> 00:02:59.960]  我哋會覺得愛一啲都唔難
[00:02:59.960 --> 00:03:02.960]  因為我哋真係可以好深嘅契合
[00:03:02.960 --> 00:03:04.960]  好深嘅關係
[00:03:04.960 --> 00:03:06.960]  前幾日我係一個地方
[00:03:06.960 --> 00:03:09.960]  我見到一對老人家嘅背影
[00:03:09.960 --> 00:03:11.960]  見到一對老人家手拖手嘅
[00:03:11.960 --> 00:03:14.960]  好恩愛嘅行緊一條路嘅上面
[00:03:14.960 --> 00:03:16.960]  我哋睇到愛係有嘅
[00:03:16.960 --> 00:03:19.960]  我睇到愛嘅關係我唔敢話我哋唔識
[00:03:19.960 --> 00:03:21.960]  但係我哋亦都睇到呢個世界
[00:03:21.960 --> 00:03:23.960]  無論係香港又好
[00:03:23.960 --> 00:03:24.960]  中國又好
[00:03:24.960 --> 00:03:26.960]  甚至美國都好嘅
[00:03:26.960 --> 00:03:28.960]  我哋的而且確睇到整個世界
[00:03:28.960 --> 00:03:29.960]  好多嘅家庭
[00:03:29.960 --> 00:03:31.960]  好多嘅婚姻嘅破裂
[00:03:31.960 --> 00:03:33.960]  好多關係上嘅破裂
[00:03:33.960 --> 00:03:35.960]  今日香港嘅關係
[00:03:35.960 --> 00:03:36.960]  家庭關係嗰邊
[00:03:36.960 --> 00:03:38.960]  特別離婚嘅個案
[00:03:38.960 --> 00:03:41.960]  差唔多去到45%以上
[00:03:41.960 --> 00:03:43.960]  中國差唔多50%
[00:03:43.960 --> 00:03:45.960]  而美國亦都50%
