
[00:00:00.000 --> 00:00:05.300]  我們今天的講題是「複從口出」
[00:00:05.300 --> 00:00:11.080]  你說我們俗語有句「禍從」就是「口出」
[00:00:11.080 --> 00:00:15.000]  為什麼「複從口出」呢?很新的
[00:00:15.000 --> 00:00:18.320]  有沒有直接關係呢?沒有什麼直接關係
[00:00:18.320 --> 00:00:23.920]  因為「複從口出」如果大家看看今天我們要查考的經文
[00:00:23.920 --> 00:00:27.680]  實在跟《彼得前書》三章九節
[00:00:27.680 --> 00:00:31.680]  「不以惡報惡,以辱罵還辱罵,倒要祝福」
[00:00:31.680 --> 00:00:34.000]  這一句就很有關係
[00:00:34.000 --> 00:00:40.960]  經文勸我們不單止自己不要口出不當的話
[00:00:40.960 --> 00:00:43.460]  還要講一些祝福的話
[00:00:43.460 --> 00:00:45.960]  為什麼要這樣做呢?
[00:00:45.960 --> 00:00:49.880]  怎樣才可以做得到呢?
[00:00:49.880 --> 00:00:53.340]  就是我們今天要一起學習的課題
[00:00:53.340 --> 00:01:01.780]  我們一起讀這段經文《彼得前書》三章八節至十二節
[00:01:01.780 --> 00:01:05.060]  看到的聽我讀出
[00:01:05.060 --> 00:01:09.180]  「早言言之,你們都要同心彼此體恤
[00:01:09.180 --> 00:01:14.120]  相愛如弟兄,傳慈憐謙卑的心
[00:01:14.120 --> 00:01:19.340]  不以惡報惡,以辱罵還辱罵,倒要祝福
[00:01:19.340 --> 00:01:24.980]  因你們是為此蒙照,好叫你們承受福氣
[00:01:24.980 --> 00:01:30.140]  因為經上說,人若愛生命,願享美福
[00:01:30.140 --> 00:01:35.940]  需要禁止舌頭不出惡言,嘴唇不說詭詐的話
[00:01:35.940 --> 00:01:41.740]  也要離惡行善,尋求和睦,一心追趕
[00:01:41.740 --> 00:01:48.140]  因為主的眼看顧二人,主的耳聽他們的祈禱
[00:01:48.140 --> 00:01:53.060]  惟有行惡的人,主向他們辯念」
[00:01:53.060 --> 00:01:56.020]  我們一起祈禱
[00:01:56.020 --> 00:01:59.220]  願主的靈在我們當中
[00:01:59.220 --> 00:02:03.580]  幫助我們明白從裡而來的訊息
[00:02:03.580 --> 00:02:09.460]  我們一起祈禱奉耶穌基督名求,阿們
[00:02:09.460 --> 00:02:12.220]  在講這個內容之前
[00:02:12.220 --> 00:02:15.860]  我覺得再一次很需要告訴大家
[00:02:15.860 --> 00:02:21.580]  這個背景,寫給甚麼人的呢?
[00:02:21.580 --> 00:02:27.300]  實在大家可能有些大概的認知
[00:02:27.300 --> 00:02:30.340]  不過在這裡我再講一次
[00:02:30.340 --> 00:02:39.500]  這是寫給小亞、細亞各省的信徒的一些書信
[00:02:39.500 --> 00:02:42.580]  這些信徒正面對甚麼呢?
[00:02:42.580 --> 00:02:47.660]  他們面對這些患難、敵對、衝突、信仰的磨練
[00:02:47.660 --> 00:02:52.020]  有學者形容他們這些信徒是怎樣的一群人呢?
[00:02:52.020 --> 00:02:55.860]  就是一群毀身基督耶穌主權的人
[00:02:55.860 --> 00:02:59.780]  是因著改變的態度和行為
[00:02:59.780 --> 00:03:02.620]  使得他們處於社會的邊緣
[00:03:02.620 --> 00:03:06.580]  他們都是社會排斥下的受害者
[00:03:06.580 --> 00:03:09.820]  他們因著與基督的關係換來了甚麼呢?
[00:03:09.820 --> 00:03:14.780]  重傷、仇恨、批評、藐視、誹謗、賦育
[00:03:14.780 --> 00:03:17.980]  他們以前是跟隨希羅社會的主流
[00:03:17.980 --> 00:03:22.940]  如今他們沒有與社會主流價值融合
[00:03:22.940 --> 00:03:26.220]  亦顯然與社會格格不入
[00:03:26.220 --> 00:03:29.220]  於是遭受鄙視
[00:03:29.220 --> 00:03:33.420]  為甚麼說他們與主流社會格格不入呢?
[00:03:33.420 --> 00:03:35.740]  原來當時信徒
[00:03:35.740 --> 00:03:38.380]  因為他不可能融入社會的原因就是
[00:03:38.380 --> 00:03:41.300]  他不可以與羅馬帝國裏面
[00:03:41.300 --> 00:03:45.300]  或者在政治上效忠羅馬的一些人一樣
[00:03:45.300 --> 00:03:48.900]  去參拜皇帝的像
[00:03:48.900 --> 00:03:52.820]  更不能夠參加一些公開的節慶活動
[00:03:52.820 --> 00:03:55.100]  因為這些活動要求參加者
