
[00:00:00.000 --> 00:00:05.000]  今天我們要分享的題目是兩種智慧
[00:00:05.000 --> 00:00:13.000]  在上一章我們看到聖經裏頭提到
[00:00:13.000 --> 00:00:18.000]  說我們要勒住舌頭做完全能
[00:00:18.000 --> 00:00:22.000]  那我們就看見舌頭雖然很小
[00:00:22.000 --> 00:00:25.000]  但是很難控制
[00:00:25.000 --> 00:00:29.000]  所以我們在話語上很多時候都有過失
[00:00:29.000 --> 00:00:32.000]  有人就會說了
[00:00:32.000 --> 00:00:39.000]  人能夠制服各樣的受造的東西
[00:00:39.000 --> 00:00:43.000]  但是就不能夠控制自己的舌頭
[00:00:43.000 --> 00:00:46.000]  那麼聖經也說到了
[00:00:46.000 --> 00:00:49.000]  每種樹只能結一種果子
[00:00:49.000 --> 00:00:50.000]  但是有人說了
[00:00:50.000 --> 00:00:54.000]  什麼人的舌頭可以說出兩種的話呢
[00:00:54.000 --> 00:00:56.000]  又能說出宋太神的話
[00:00:56.000 --> 00:00:59.000]  又能說出宙主人的話呢
[00:00:59.000 --> 00:01:04.000]  所以到第十三節到第十八節
[00:01:04.000 --> 00:01:09.000]  這段經文就是可以回答這個問題
[00:01:09.000 --> 00:01:12.000]  因爲在第一節
[00:01:12.000 --> 00:01:14.000]  第三章第一節說
[00:01:14.000 --> 00:01:17.000]  保羅就警告那些內心
[00:01:17.000 --> 00:01:21.000]  心裏頭想做教師的
[00:01:21.000 --> 00:01:24.000]  他說不要多人做師父
[00:01:24.000 --> 00:01:29.000]  意思你不要一直想要做教師
[00:01:29.000 --> 00:01:31.000]  教訓別人
[00:01:31.000 --> 00:01:35.000]  要這些人安靜下來
[00:01:35.000 --> 00:01:37.000]  因爲其中一個原因
[00:01:37.000 --> 00:01:39.000]  不要那麼多人來做師父
[00:01:39.000 --> 00:01:41.000]  大家都擠到師父這個行列
[00:01:41.000 --> 00:01:46.000]  因爲人很多是出於自己的私心
[00:01:46.000 --> 00:01:50.000]  他做教師做師父
[00:01:50.000 --> 00:01:54.000]  不是爲了要造就別人幫助別人
[00:01:54.000 --> 00:01:57.000]  而是他們要叫人看見
[00:01:57.000 --> 00:02:00.000]  他們是多麼有智慧
[00:02:00.000 --> 00:02:05.000]  對神的話語多麼有亮光
[00:02:05.000 --> 00:02:08.000]  隨着下半章
[00:02:08.000 --> 00:02:10.000]  今天我們讀的經文
[00:02:10.000 --> 00:02:14.000]  保羅就要轉到關於智慧的教導
[00:02:14.000 --> 00:02:17.000]  到底是什麼智慧
[00:02:17.000 --> 00:02:22.000]  下半章提到有兩種的智慧
[00:02:22.000 --> 00:02:26.000]  所以我們就從這些經文裏頭來看看
[00:02:26.000 --> 00:02:30.000]  神給我們的話語
[00:02:30.000 --> 00:02:36.000]  這裏我們看到智慧真正的考驗是行爲
[00:02:36.000 --> 00:02:53.000]  智慧真正的考驗是行爲不是話語
[00:02:53.000 --> 00:02:58.000]  因爲假教師以爲智慧就表現在說話
[00:02:58.000 --> 00:03:00.000]  你會說話的人就有智慧
[00:03:00.000 --> 00:03:03.000]  不會說話的人就不夠智慧
[00:03:03.000 --> 00:03:08.000]  所以這裏說真正的考驗不是在話語
[00:03:08.000 --> 00:03:12.000]  是要說話但重要的就是你的行爲
[00:03:12.000 --> 00:03:16.000]  如果一個人會說話
[00:03:16.000 --> 00:03:18.000]  可是他說的是空話
[00:03:18.000 --> 00:03:22.000]  不管他說的是多麼的流利
[00:03:22.000 --> 00:03:26.000]  或者多麼有口才有技巧
[00:03:26.000 --> 00:03:30.000]  能夠很合乎能聽得進去
[00:03:30.000 --> 00:03:33.000]  這些都不是智慧
[00:03:33.000 --> 00:03:39.000]  重要的智慧的真正的表現是行爲
[00:03:39.000 --> 00:03:41.000]  你有言語還不夠
[00:03:41.000 --> 00:03:45.000]  還要在行爲上表現出來
[00:03:45.000 --> 00:03:50.000]  智慧是什麼呢
[00:03:50.000 --> 00:03:55.000]  智慧就指我們對神跟屬神的事情
[00:03:55.000 --> 00:03:57.000]  我們有真的知識
[00:03:57.000 --> 00:04:01.000]  認識神認識神的事情
[00:04:01.000 --> 00:04:04.000]  認識屬靈的事情
[00:04:04.000 --> 00:04:06.000]  這就是智慧
[00:04:06.000 --> 00:04:10.000]  所以聖經說的智慧不是聰明
[00:04:10.000 --> 00:04:13.000]  好像是很聰明頭腦很靈活
[00:04:13.000 --> 00:04:14.000]  這個就是智慧
[00:04:14.000 --> 00:04:16.000]  智慧是對着神的事情
[00:04:16.000 --> 00:04:19.000]  對着神有很多的認識
[00:04:19.000 --> 00:04:22.000]  這個認識是真的認識
[00:04:22.000 --> 00:04:24.000]  那麼不但有智慧
[00:04:24.000 --> 00:04:27.000]  這裏還說有見識
[00:04:27.000 --> 00:04:35.000]  有見識的意思就是能夠把這些知識用在實際的生活當中
[00:04:35.000 --> 00:04:41.000]  這就是有智慧又有見識
[00:04:41.000 --> 00:04:44.000]  不但你知道這些知識
[00:04:44.000 --> 00:04:46.000]  而且你還能應用
[00:04:46.000 --> 00:04:52.000]  就是假設你是看了很多關於游泳的書
[00:04:52.000 --> 00:04:55.000]  你知道游泳的知識是怎麼樣
[00:04:55.000 --> 00:04:56.000]  應該怎麼說
[00:04:56.000 --> 00:05:00.000]  但是你不能成爲一個教人家游泳的
[00:05:00.000 --> 00:05:03.000]  你必須會游泳
[00:05:03.000 --> 00:05:04.000]  自己會游泳
[00:05:04.000 --> 00:05:07.000]  纔可以當教練
[00:05:07.000 --> 00:05:09.000]  才能夠去教人家的
[00:05:09.000 --> 00:05:12.000]  你不能光在游泳池上說話
[00:05:12.000 --> 00:05:14.000]  但是你不會遊
[00:05:14.000 --> 00:05:16.000]  那你這個就不叫教練了
[00:05:16.000 --> 00:05:17.000]  不叫老師了
[00:05:17.000 --> 00:05:19.000]  所以要有行爲
[00:05:19.000 --> 00:05:23.000]  就是能夠用得出來
[00:05:23.000 --> 00:05:28.000]  所以這個智慧的實際上
[00:05:28.000 --> 00:05:33.000]  就是這個地方說的智慧的真的智慧
[00:05:33.000 --> 00:05:35.000]  那是神的智慧
[00:05:35.000 --> 00:05:37.000]  神給我們的智慧
[00:05:37.000 --> 00:05:40.000]  那就像他那的智慧
[00:05:40.000 --> 00:05:44.000]  正是會是神要人得到的
[00:05:44.000 --> 00:05:46.000]  就這裏頭包括什麼呢
[00:05:46.000 --> 00:05:48.000]  他有看得見的能力
[00:05:48.000 --> 00:05:52.000]  就看見這事物的本相的能力
[00:05:52.000 --> 00:05:53.000]  而且呢
[00:05:53.000 --> 00:05:55.000]  他會做出選擇
[00:05:55.000 --> 00:05:59.000]  他會選擇到底這樣還是那樣
[00:05:59.000 --> 00:06:00.000]  並且呢
[00:06:00.000 --> 00:06:04.000]  他有一個最好最高的目標
[00:06:04.000 --> 00:06:06.000]  爲了達到這個目標
[00:06:06.000 --> 00:06:11.000]  用最好的方法能夠做成的事情
[00:06:11.000 --> 00:06:14.000]  那麼這個就是有智慧
[00:06:14.000 --> 00:06:20.000]  所以這個智慧是用最好的方法達到最好的效果
[00:06:20.000 --> 00:06:24.000]  那麼這樣的就是有智慧有建設的
[00:06:24.000 --> 00:06:27.000]  所以保羅說如果你要做師父
[00:06:27.000 --> 00:06:30.000]  那你必須有神的智慧
[00:06:30.000 --> 00:06:31.000]  必須有智慧
[00:06:31.000 --> 00:06:42.000]  而且你能夠把這個所知道的能夠用在這些生活的當中
[00:06:42.000 --> 00:06:45.000]  下面保羅就說了
[00:06:45.000 --> 00:06:46.000]  雅各就說了
[00:06:46.000 --> 00:06:52.000]  他就當在智慧的溫柔上顯出他的善行來
[00:06:52.000 --> 00:06:54.000]  第十三節的下半節
[00:06:54.000 --> 00:06:58.000]  就是說一個認爲自己有智慧的人
[00:06:58.000 --> 00:07:02.000]  應該在行爲上能夠表現出來
