
[00:00:00.000 --> 00:00:02.000]  各位來賓 平安
[00:00:02.000 --> 00:00:08.000]  在此先祝大家有一個平安喜樂 不一樣的聖誕
[00:00:08.000 --> 00:00:11.000]  我不知道在座我們這麼多位當中
[00:00:11.000 --> 00:00:17.000]  有沒有一些人 你曾經經歷過一些顛沛流離 暗無天日的日子
[00:00:17.000 --> 00:00:20.000]  有沒有?
[00:00:20.000 --> 00:00:22.000]  你們都很幸福 是嗎?
[00:00:22.000 --> 00:00:25.000]  哦 有人想指人家出來
[00:00:25.000 --> 00:00:27.000]  Joey 指媽媽出來
[00:00:27.000 --> 00:00:29.000]  Mary 你經過什麼日子?
[00:00:31.000 --> 00:00:36.000]  有沒有人經歷過… 以前日本人打過來的時候
[00:00:36.000 --> 00:00:40.000]  我聽到爸爸媽媽說 其實都很淒涼
[00:00:40.000 --> 00:00:43.000]  有沒有人曾經遇過這樣的事?
[00:00:43.000 --> 00:00:47.000]  有沒有人吃過樹皮?
[00:00:47.000 --> 00:00:50.000]  你們都很幸福
[00:00:50.000 --> 00:00:54.000]  但我相信我們再早一輩 爸爸媽媽爺爺的年代
[00:00:54.000 --> 00:00:58.000]  真的經歷過很多不堪回首的年日
[00:00:59.000 --> 00:01:04.000]  我相信當時他們都很渴望快點找到出路
[00:01:04.000 --> 00:01:08.000]  中國… 是不是中國呢?
[00:01:08.000 --> 00:01:13.000]  我們五代時期的南唐李侯主
[00:01:13.000 --> 00:01:19.000]  他寫了一首很出名的絕命詞 叫做《愚美人》
[00:01:19.000 --> 00:01:23.000]  春花秋月何時了 往事知多少
[00:01:23.000 --> 00:01:27.000]  小樓昨夜又東風 故國不堪回首月明中
[00:01:28.000 --> 00:01:31.000]  刁蘭玉砌應猶在 只是朱顏改
[00:01:31.000 --> 00:01:36.000]  問君能有幾多愁 恰似一缸春水向東流
[00:01:36.000 --> 00:01:44.000]  這首詞可以說是充分來流露這個詞人李侯主
[00:01:44.000 --> 00:01:50.000]  他面對著國破家亡的時候 那種對故國山河的懷念
[00:01:50.000 --> 00:01:55.000]  但似乎整首詞的裏面只有一個「愁」字
[00:01:56.000 --> 00:01:58.000]  一點盼望都沒有
[00:01:58.000 --> 00:02:03.000]  今天 大家相對真是幸福很多
[00:02:03.000 --> 00:02:09.000]  我們已經很難經歷到我們祖父輩的辛酸苦況
[00:02:09.000 --> 00:02:15.000]  但我相信就算你不是被日本人打過
[00:02:15.000 --> 00:02:21.000]  但我相信在你的人生裏多多少少都會有你不同的艱難
[00:02:21.000 --> 00:02:24.000]  或者一些不為人知的困境
[00:02:25.000 --> 00:02:27.000]  現在最渴望的是甚麼呢
[00:02:27.000 --> 00:02:30.000]  不論你渴望甚麼
[00:02:30.000 --> 00:02:34.000]  但我相信你有一個渴望 有一個渴想
[00:02:34.000 --> 00:02:36.000]  其實已經很重要
[00:02:36.000 --> 00:02:39.000]  因為當你連這個渴望都沒有的時候
[00:02:39.000 --> 00:02:42.000]  即是說你已經絕望到一個地步
[00:02:42.000 --> 00:02:44.000]  真的完全沒有出路
[00:02:44.000 --> 00:02:48.000]  這樣的時候我們很容易就會走上一條絕路
[00:02:49.000 --> 00:02:55.000]  這一段經文其實講述到主前八世紀以色列和猶大國的光景
[00:02:55.000 --> 00:03:00.000]  我們用一點時間來回顧一下以色列國的歷史
[00:03:00.000 --> 00:03:06.000]  以色列國在經歷了三個皇帝
[00:03:06.000 --> 00:03:11.000]  包括蘇羅、大衛和所羅門
[00:03:11.000 --> 00:03:15.000]  三個皇帝共120年的聯合王國之後
[00:03:16.000 --> 00:03:22.000]  在主前的930年就面對著分裂
[00:03:22.000 --> 00:03:24.000]  分裂成為南北國
[00:03:24.000 --> 00:03:27.000]  北國就是以色列 南國就是猶大
[00:03:27.000 --> 00:03:31.000]  大概在主前的750年之前
[00:03:31.000 --> 00:03:35.000]  其實以色列和猶大都是很富庶強盛的時代
[00:03:35.000 --> 00:03:39.000]  但當中卻隱藏著一些危機
[00:03:39.000 --> 00:03:44.000]  因為他們在屬靈的信仰上已經違背了同神的盟約
[00:03:45.000 --> 00:03:47.000]  所以在主前750年之後
[00:03:47.000 --> 00:03:54.000]  他們的屬靈光景和國力都陷入一個急速衰退的階段
[00:03:54.000 --> 00:03:57.000]  而體現在五個方面
[00:03:57.000 --> 00:04:00.000]  第一就是經濟大受損害
[00:04:00.000 --> 00:04:03.000]  第二就是貧富的差距非常懸殊
[00:04:03.000 --> 00:04:06.000]  第三就是司法制度破產
[00:04:06.000 --> 00:04:09.000]  第四就是人才的流失
[00:04:09.000 --> 00:04:12.000]  第五就是宗教信仰上的變質敗壞
[00:04:13.000 --> 00:04:18.000]  因為他們走向了一個依靠外族而不依靠上帝的路
[00:04:18.000 --> 00:04:21.000]  在《爾賽亞書》第五章
[00:04:21.000 --> 00:04:26.000]  神用了一個葡萄園的比喻來概括
[00:04:26.000 --> 00:04:29.000]  他的指紋當時的敗壞光景
[00:04:29.000 --> 00:04:33.000]  那裡控訴神的指紋
[00:04:33.000 --> 00:04:37.000]  我指望結好葡萄 為什麼反而結了野葡萄呢?
[00:04:37.000 --> 00:04:40.000]  萬鈞之耶華的葡萄園就是以色列家
[00:04:41.000 --> 00:04:43.000]  他所喜愛的樹就是猶大人
[00:04:43.000 --> 00:04:46.000]  他指望的是公平 誰知卻有暴虐
[00:04:46.000 --> 00:04:50.000]  指望的是公義 誰知卻有冤性
[00:04:50.000 --> 00:04:55.000]  因為以色列人反叛
[00:04:55.000 --> 00:04:58.000]  所以神的審判也臨到他們
[00:04:58.000 --> 00:05:02.000]  不過以色列到了比加王的時候
