
[00:00:00.000 --> 00:00:02.640]  白餅培育靈魂體
[00:00:02.640 --> 00:00:04.640]  我們今天是白餅主日
[00:00:04.640 --> 00:00:06.340]  我要跟各位分享的是
[00:00:06.340 --> 00:00:08.880]  Communing thought of it
[00:00:08.880 --> 00:00:12.520]  Spirit, soul, and body
[00:00:12.520 --> 00:00:14.020]  也就是說
[00:00:14.020 --> 00:00:16.920]  你不要小看靈魂體
[00:00:16.920 --> 00:00:19.960]  你也不要小看白餅
[00:00:19.960 --> 00:00:22.460]  我們白餅主日
[00:00:22.460 --> 00:00:25.600]  我們幾乎每個月都做 是吧
[00:00:25.600 --> 00:00:29.400]  人家以前初代教會是每天都做
[00:00:29.400 --> 00:00:30.840]  所以聖經上面講說
[00:00:30.840 --> 00:00:33.100]  主將得救的人數
[00:00:33.100 --> 00:00:35.100]  天天加給他們
[00:00:35.100 --> 00:00:38.000]  所以我要跟各位來談關於
[00:00:38.000 --> 00:00:41.800]  白餅聚會到底是怎麼回事
[00:00:41.800 --> 00:00:44.080]  它的意義
[00:00:44.080 --> 00:00:47.280]  而且有關白餅的種種
[00:00:47.280 --> 00:00:50.860]  還有聖經裡面所談到的白餅
[00:00:50.860 --> 00:00:53.520]  最後要跟各位解釋是
[00:00:53.520 --> 00:00:56.000]  白餅是恩典的管道
[00:00:56.000 --> 00:00:57.020]  這我們都知道
[00:00:57.020 --> 00:01:01.660]  但是我們常常忽略了它
[00:01:01.660 --> 00:01:06.740]  因為就是常常做 做多了
[00:01:06.740 --> 00:01:08.700]  我們每一個教會都有白餅聚會
[00:01:08.700 --> 00:01:09.240]  不是嗎
[00:01:09.240 --> 00:01:11.740]  不管你到哪一個教會
[00:01:11.740 --> 00:01:14.840]  我記得有一次我到
[00:01:14.840 --> 00:01:16.840]  City Church
[00:01:16.840 --> 00:01:20.340]  那個時候還是Smith
[00:01:20.340 --> 00:01:23.260]  那麼他就招待我們
[00:01:23.260 --> 00:01:27.020]  因為他是本地最大的教會
[00:01:27.020 --> 00:01:30.160]  他就說 他是洋人
[00:01:30.160 --> 00:01:32.800]  好在我洋人 洋話會講
[00:01:32.800 --> 00:01:37.540]  他說我們都是這個地區來的教會
[00:01:37.540 --> 00:01:39.660]  不管你是什麼教會
[00:01:39.660 --> 00:01:41.840]  你是進信會 你是林洋堂
[00:01:41.840 --> 00:01:44.800]  你是什麼什麼長老會
[00:01:44.800 --> 00:01:48.280]  有一點我們教會都做的
[00:01:48.280 --> 00:01:51.120]  就是白餅
[00:01:51.120 --> 00:01:54.020]  白餅英文叫做Communion
[00:01:54.020 --> 00:01:56.620]  Communion你看那個字
[00:01:56.620 --> 00:02:00.520]  它其實這個字根就跟Communication
[00:02:00.520 --> 00:02:05.700]  跟Commute 跟Community同樣的字根
[00:02:05.700 --> 00:02:12.600]  意思是說 連結 互相交集的意思
[00:02:12.600 --> 00:02:14.780]  所以每一個白餅聚會
[00:02:14.780 --> 00:02:15.900]  是每個教會都有
[00:02:15.900 --> 00:02:18.700]  而且也都是一樣的
[00:02:18.700 --> 00:02:23.840]  它最能夠代表神的祝福
[00:02:23.840 --> 00:02:27.320]  它也能夠再次彰顯
[00:02:27.320 --> 00:02:31.080]  聖徒在它裡面的合一
[00:02:31.080 --> 00:02:33.920]  你如果仔細去看
[00:02:33.920 --> 00:02:37.320]  其實白餅的主日
[00:02:37.320 --> 00:02:39.200]  白餅聚會的時候
[00:02:39.200 --> 00:02:42.140]  是最合一的時候
[00:02:42.140 --> 00:02:45.460]  大家拿著餅 拿著杯
