
[00:00:00.000 --> 00:00:02.820]  昨天是端午節,不知道大家有沒有吃粽呢?
[00:00:02.820 --> 00:00:07.940]  沒有嗎?哎呀,希望有機會跟大家分享
[00:00:07.940 --> 00:00:09.720]  我希望下個禮拜可以包粽
[00:00:09.720 --> 00:00:12.280]  不過昨天也很開心,她的家庭會議
[00:00:12.280 --> 00:00:18.680]  有機會吃到粽,也收到姊妹送的粽,所以真的很開心
[00:00:18.680 --> 00:00:20.480]  不知道今時今日
[00:00:20.480 --> 00:00:22.260]  還有沒有人提起
[00:00:22.260 --> 00:00:24.060]  為什麼要過端午節呢?
[00:00:24.060 --> 00:00:29.700]  在屈原嘛,還有沒有人再提起屈原的故事呢?
[00:00:30.460 --> 00:00:36.080]  其實我看回她的才幹和愛國的情懷,的確是很值得學習,和是一個
[00:00:36.080 --> 00:00:39.420]  偉人來的,是一個屬靈的偉人,如果她信主的話
[00:00:39.420 --> 00:00:41.980]  如果我們今天
[00:00:41.980 --> 00:00:43.260]  再去看
[00:00:43.260 --> 00:00:47.620]  好像一個屈原這樣的偉人
[00:00:47.620 --> 00:00:49.160]  有什麼代表呢?
[00:00:49.160 --> 00:00:53.500]  我在今天這一段的經文,找到這個所羅門
[00:00:53.500 --> 00:00:56.580]  好像是一個以色列國的
[00:00:56.580 --> 00:00:58.120]  偉人的代表
[00:00:59.400 --> 00:01:03.740]  我們今天會看《列王記》上三章的經文
[00:01:03.740 --> 00:01:09.120]  不過也要告訴大家,原來有一段經文和他
[00:01:09.120 --> 00:01:10.140]  也是一樣的
[00:01:10.140 --> 00:01:13.980]  同樣記載著所羅門去求智慧的
[00:01:13.980 --> 00:01:16.540]  是在《歷代誌》下一章
[00:01:16.540 --> 00:01:23.200]  其實《列王記》和《歷代誌》的作者,他們雖然是記載著同一件事
[00:01:23.200 --> 00:01:26.020]  但是他們是有不同的向導的
[00:01:26.020 --> 00:01:28.580]  他們兩本書都在說
[00:01:28.840 --> 00:01:29.860]  不同的重點
[00:01:29.860 --> 00:01:33.200]  我想起好像一對夫婦一樣
[00:01:33.200 --> 00:01:34.720]  其實他們是
[00:01:34.720 --> 00:01:37.300]  一起相識相愛結婚
[00:01:37.300 --> 00:01:40.360]  但是有很多時候你問他們的愛情故事
[00:01:40.360 --> 00:01:43.440]  他們是在說不同版本的愛情故事給你聽
[00:01:43.440 --> 00:01:47.020]  就好像這個《列王記》和《歷代誌》,記載著同一件事
[00:01:47.020 --> 00:01:49.060]  不過他們有不同的角度
[00:01:49.060 --> 00:01:52.400]  今天我們是會說《列王記》的版本
[00:01:52.400 --> 00:01:57.780]  《列王記》是記載以色列的輕衰
[00:01:58.280 --> 00:02:01.340]  不過它不只是在說歷史
[00:02:01.340 --> 00:02:07.740]  它是反而用以色列的王和先知,他們的信仰歷程
[00:02:07.740 --> 00:02:12.860]  去告訴我們為什麼以色列最後會四分五裂
[00:02:12.860 --> 00:02:19.260]  原來以色列的王的信仰狀況是很影響當時以色列國的輕衰
[00:02:19.260 --> 00:02:22.340]  所以今天跟大家一起看看這一段經文
[00:02:22.340 --> 00:02:26.180]  《列王記》第一個很詳細描寫的王,所羅門
[00:02:26.180 --> 00:02:27.460]  他的祈求
[00:02:27.720 --> 00:02:29.760]  為什麼他祈願這個土
[00:02:29.760 --> 00:02:33.360]  跟上帝對話之後,上帝是這麼喜悅他的呢
[00:02:33.360 --> 00:02:38.980]  甚至帶領以色列走向這個高峰,成為萬世景仰的王朝
[00:02:38.980 --> 00:02:46.660]  不過小心,所羅門也是一個很重要的因素令以色列國走向毀滅
