
[00:00:00.000 --> 00:00:07.760]  同心的祈禱
[00:00:07.760 --> 00:00:10.640]  愛我們賜我們豐富恩典的上帝
[00:00:10.640 --> 00:00:13.640]  我們要感恩
[00:00:13.640 --> 00:00:18.560]  儘管外面又雨又或者開始寒冷
[00:00:18.560 --> 00:00:21.960]  但我們心裏一樣可以有帶著火熱
[00:00:21.960 --> 00:00:25.400]  儘管我們生命面對有時又高又低
[00:00:25.400 --> 00:00:28.520]  但當我們回想世上你的恩典滋味的時候
[00:00:28.520 --> 00:00:30.880]  我們發現一樣是甘甜
[00:00:30.880 --> 00:00:32.480]  上帝求你繼續與我們同在
[00:00:32.480 --> 00:00:34.600]  賜福恩代我們每一個
[00:00:34.600 --> 00:00:38.520]  又讓我們在這裏專心等待
[00:00:38.520 --> 00:00:40.520]  開耳朵聽你的話語
[00:00:40.520 --> 00:00:42.680]  開他們的眼睛看見你的榮光
[00:00:42.680 --> 00:00:44.960]  並且用我們的行動去回應你
[00:00:44.960 --> 00:00:46.080]  有願僕人口中的言語
[00:00:46.080 --> 00:00:48.160]  頂止每次間的心思意念
[00:00:48.160 --> 00:00:49.160]  夢成你的啟迪
[00:00:49.160 --> 00:00:49.960]  夢成你的月立
[00:00:49.960 --> 00:00:55.640]  禱告奉耶穌基督的名
[00:00:55.640 --> 00:00:58.560]  各位頂止妹如果問你一個問題
[00:00:58.560 --> 00:00:59.440]  這個問題就是問
[00:00:59.440 --> 00:01:03.960]  如果在信仰上你對自己有什麼要求呢?
[00:01:03.960 --> 00:01:07.320]  不知道你會怎樣回答呢?
[00:01:07.320 --> 00:01:08.240]  如果我們問一下自己
[00:01:08.240 --> 00:01:11.160]  在信仰上我們自己有什麼要求的時候
[00:01:11.160 --> 00:01:13.920]  不知道你會怎樣回答這個問題呢?
[00:01:13.920 --> 00:01:15.280]  可能你說
[00:01:15.280 --> 00:01:19.720]  每個星期準時返崇拜
[00:01:19.720 --> 00:01:23.520]  每個月按我的收入去奉獻
[00:01:23.520 --> 00:01:25.440]  每天當我想起的時候
[00:01:25.440 --> 00:01:27.520]  我就盡量去祈禱
[00:01:27.520 --> 00:01:30.720]  每天有空間的時候我就去靈修
[00:01:30.720 --> 00:01:33.040]  又或者在教會裏面見到有需要
[00:01:33.040 --> 00:01:34.960]  就參與侍奉
