
[00:00:00.000 --> 00:00:03.000]  好,我們同心祈禱先,教堂被主
[00:00:03.000 --> 00:00:09.000]  親愛的天父,多謝祢,因為主祢是那一位拯救我們的神
[00:00:09.000 --> 00:00:11.000]  祢知道我們人的軟弱
[00:00:11.000 --> 00:00:15.000]  所以神,天父祢參拜主耶穌基督的當中
[00:00:15.000 --> 00:00:18.000]  金心樂意,道成肉身,住在祢當中
[00:00:18.000 --> 00:00:21.000]  充充滿滿的,有恩典有真理
[00:00:21.000 --> 00:00:26.000]  祢也讓我們作為跟隨祢的人,能夠見到主祢的榮光
[00:00:26.000 --> 00:00:31.000]  有求主親自的祝福,教會祝福我們每一位信主的人
[00:00:31.000 --> 00:00:34.000]  都反映到主耶穌基督祢的榮光
[00:00:34.000 --> 00:00:38.000]  就好像主祢活出祢的生命的時候
[00:00:38.000 --> 00:00:41.000]  讓人知道天父祢的慈愛一樣
[00:00:41.000 --> 00:00:43.000]  天父祝福我們今天的時間
[00:00:43.000 --> 00:00:48.000]  求親愛的聖靈在祢當中,引導我們進入聖經當中
[00:00:48.000 --> 00:00:50.000]  能夠明白主祢的真理
[00:00:50.000 --> 00:00:58.000]  又讓主祢所差派的宣教士出去的時候所做的工作都能夠呈現在主祢面前作為興香的祭
[00:00:58.000 --> 00:01:04.000]  由原主祢親自的月立教會所差派的差傳的工作所做的一切
[00:01:04.000 --> 00:01:07.000]  都同樣的歸榮耀給主
[00:01:07.000 --> 00:01:11.000]  祝福我們以下的時間,祈禱奉主耶穌基督的名叩
[00:01:11.000 --> 00:01:16.000]  今天的經文,我解釋一下為什麼我經常看著螢幕
[00:01:16.000 --> 00:01:21.000]  為什麼我經常看著螢幕?因為有時候我眼睛看得遠,看不清楚
[00:01:21.000 --> 00:01:26.000]  所以看這裡會看得更清楚,所以知道我在說什麼
[00:01:26.000 --> 00:01:29.000]  我們再讀一次,一起讀這段聖經
[00:01:29.000 --> 00:01:34.000]  我卻不以聖名為念,也不看為寶貴
[00:01:34.000 --> 00:01:36.000]  只要行完我的路程
[00:01:36.000 --> 00:01:40.000]  成就我從主耶穌所領受的職事
[00:01:40.000 --> 00:01:44.000]  去證明神恩惠的福音
[00:01:44.000 --> 00:01:48.000]  今天的題目叫做「僕人的生命和侍奉」
[00:01:48.000 --> 00:01:53.000]  雖然這段經文講的是保羅自己
[00:01:53.000 --> 00:01:57.000]  去解釋保羅的生命和侍奉是什麼
[00:01:57.000 --> 00:02:01.000]  當然我們也是透過保羅的生命
[00:02:01.000 --> 00:02:04.000]  他人生的態度反映到
[00:02:04.000 --> 00:02:08.000]  保羅也是正在學習主耶穌基督的榜樣
[00:02:08.000 --> 00:02:15.000]  所以今天我們也要學習保羅,好像保羅學習主耶穌基督一樣
[00:02:15.000 --> 00:02:21.000]  按照經文這一節去分析的時候
[00:02:21.000 --> 00:02:25.000]  都有兩樣很重要的訊息告訴我們
[00:02:25.000 --> 00:02:29.000]  第一樣就是僕人生命的優先
[00:02:29.000 --> 00:02:32.000]  當然這個優先是我自己加上去體會到
[00:02:32.000 --> 00:02:37.000]  保羅說:我卻不以聖名為念,也不看為寶貴
[00:02:37.000 --> 00:02:41.000]  這是一個人生侍奉的態度,是一種優先
[00:02:41.000 --> 00:02:43.000]  當你和其他東西比較的時候
[00:02:43.000 --> 00:02:46.000]  你就不覺得生命是最重要的
[00:02:46.000 --> 00:02:50.000]  也不覺得你所擁有的是最寶貴的
[00:02:50.000 --> 00:02:54.000]  第二段是這節經文的下半節
[00:02:54.000 --> 00:02:57.000]  「只要行完我的路程,成就我和主耶穌所領受的職事
[00:02:57.000 --> 00:03:01.000]  去證明神恩惠的福音,是一個侍奉的目的」
[00:03:01.000 --> 00:03:04.000]  所以當你有優先去擺上一些東西的時候
