
[00:00:00.000 --> 00:00:01.120]  領姊妹大家好
[00:00:01.120 --> 00:00:04.280]  在新的一年開始的時候
[00:00:04.280 --> 00:00:08.200]  先在這裡恭祝大家新年蒙福
[00:00:08.200 --> 00:00:11.840]  有一個小朋友
[00:00:11.840 --> 00:00:16.160]  他在同學身上學了一條IQ題
[00:00:16.160 --> 00:00:19.040]  於是他急不及待
[00:00:19.040 --> 00:00:21.680]  回家想考考他爸爸
[00:00:21.680 --> 00:00:23.480]  他就說
[00:00:23.480 --> 00:00:26.680]  如果有三隻青蛙
[00:00:27.320 --> 00:00:32.720]  他們坐在一個池塘上有一枝樹枝
[00:00:32.720 --> 00:00:36.480]  他就說其中有一隻決定
[00:00:36.480 --> 00:00:39.640]  跳到池塘裡游泳
[00:00:39.640 --> 00:00:44.280]  樹枝上還會剩下多少隻青蛙呢?
[00:00:44.280 --> 00:00:47.200]  爸爸就回答他兩隻
[00:00:47.200 --> 00:00:48.400]  錯
[00:00:48.400 --> 00:00:49.800]  你再聽一次
[00:00:49.800 --> 00:00:56.240]  我說其中有一隻決定跳到池塘裡游泳
[00:00:56.880 --> 00:00:59.880]  樹枝上還剩下多少隻青蛙呢?
[00:00:59.880 --> 00:01:01.640]  爸爸想了一想
[00:01:01.640 --> 00:01:03.960]  是兩隻
[00:01:03.960 --> 00:01:04.840]  我明白了
[00:01:04.840 --> 00:01:10.400]  因為我知道這個青蛙
[00:01:10.400 --> 00:01:13.040]  除了牠之外
[00:01:13.040 --> 00:01:14.280]  其他那些
[00:01:14.280 --> 00:01:16.520]  跳不跳的呢?
[00:01:16.520 --> 00:01:17.800]  不是不是不是
[00:01:17.800 --> 00:01:20.320]  我覺得應該是一隻都沒有
[00:01:20.320 --> 00:01:22.400]  為什麼呢?
[00:01:22.880 --> 00:01:28.200]  因為其他那兩隻青蛙都會跟著跳
[00:01:28.200 --> 00:01:31.040]  其實爸爸也不太肯定
[00:01:31.040 --> 00:01:34.360]  於是那個小朋友就很開心
[00:01:34.360 --> 00:01:35.840]  他說對不起
[00:01:35.840 --> 00:01:37.920]  仍然都是錯
[00:01:37.920 --> 00:01:40.200]  答案是
[00:01:40.200 --> 00:01:42.640]  還有三隻
[00:01:42.640 --> 00:01:44.760]  為什麼呢?
[00:01:44.760 --> 00:01:46.600]  很簡單
[00:01:46.600 --> 00:01:52.760]  那裡說有一隻青蛙決定跳下去
[00:01:53.840 --> 00:01:55.160]  不過牠沒有跳
[00:01:55.160 --> 00:01:57.200]  那就剩下三隻
[00:01:57.200 --> 00:02:03.400]  我不知道弟兄姊妹覺得像不像我們
[00:02:03.400 --> 00:02:06.800]  可能我們在一年之中
[00:02:06.800 --> 00:02:09.440]  我們都有不少的計劃
[00:02:09.440 --> 00:02:11.720]  不過過去一年
[00:02:11.720 --> 00:02:14.200]  因為這個疫情的緣故
[00:02:14.200 --> 00:02:16.640]  令到我們很多的計劃
[00:02:16.640 --> 00:02:19.400]  其實我們都沒有辦法實行得到
[00:02:19.400 --> 00:02:21.440]  結果就一事無成
[00:02:22.600 --> 00:02:24.240]  不過老實說
[00:02:24.240 --> 00:02:29.960]  其實是不是因為這個疫情的緣故呢?
[00:02:29.960 --> 00:02:33.440]  我們都不要賴我們周邊的環境
[00:02:33.440 --> 00:02:35.720]  因為以而不決
[00:02:35.720 --> 00:02:36.800]  缺而不幸
[00:02:36.800 --> 00:02:40.120]  似乎都是我們很多人的通病
[00:02:40.120 --> 00:02:42.440]  新的一年又來了
[00:02:42.440 --> 00:02:45.800]  當新的一年來到的時候
[00:02:45.800 --> 00:02:51.480]  其實亦都是我們有重新一次來過的機會
[00:02:52.200 --> 00:02:53.800]  不知道我們有沒有想過
[00:02:53.800 --> 00:02:54.880]  在新的一年
[00:02:54.880 --> 00:03:01.400]  究竟我們怎樣可以好好地去實踐神給我們的託付呢?
[00:03:01.400 --> 00:03:05.560]  神在我們每一個人的身上
[00:03:05.560 --> 00:03:07.880]  都有祂獨特的託付
[00:03:07.880 --> 00:03:10.440]  其實對於教會都是一樣
[00:03:10.440 --> 00:03:15.480]  今年是官宣踏入六十週年的時間
[00:03:15.480 --> 00:03:19.120]  其實這個六十都很特別
[00:03:19.120 --> 00:03:21.160]  我們說登陸
[00:03:21.760 --> 00:03:24.560]  中國人就視六十年
[00:03:24.560 --> 00:03:26.720]  就叫做一個甲子
[00:03:26.720 --> 00:03:32.680]  按照古代紀年的法規去計算
[00:03:32.680 --> 00:03:36.000]  天干地枝有不同的組合
[00:03:36.000 --> 00:03:37.600]  由甲子開始
[00:03:37.600 --> 00:03:40.480]  一直去到季節的結束
[00:03:40.480 --> 00:03:42.560]  就叫做一個循環
[00:03:42.560 --> 00:03:46.000]  其實走過了六十年
[00:03:46.000 --> 00:03:48.200]  當我們回頭看
[00:03:48.200 --> 00:03:51.480]  當然我們見到很多很多的因典
[00:03:51.920 --> 00:03:56.040]  但其實這個亦都是對於官宣來說
[00:03:56.040 --> 00:03:58.240]  一個重要的分水嶺
