
[00:00:00.000 --> 00:00:05.680]  好了,我們今天就會看《氣絕生亡》最後的一集
[00:00:05.680 --> 00:00:09.320]  就像電視劇那樣,就是《非壞於微》
[00:00:09.320 --> 00:00:15.040]  如果我們看回過去那三次,看好掃羅怎樣開始的敗壞
[00:00:15.040 --> 00:00:18.600]  他竟然很虛假的來獻祭
[00:00:18.600 --> 00:00:23.480]  希望藉著這樣留住那些以色列人,因為他們懼怕菲律師人
[00:00:23.480 --> 00:00:27.440]  原來獻祭不是為了神,是一個政治目的
[00:00:27.440 --> 00:00:30.120]  然後薩姆爾責備他
[00:00:30.120 --> 00:00:34.040]  他就去指責是因為那些子民逃走
[00:00:34.040 --> 00:00:35.800]  菲律師軍隊強大
[00:00:35.800 --> 00:00:39.600]  然後還罵薩姆爾,是因為你遲到
[00:00:39.600 --> 00:00:44.520]  然後還甚至說自己是勉強的來獻祭
[00:00:44.520 --> 00:00:48.120]  第二次,我們看到他是沒有體恤民情的
[00:00:48.120 --> 00:00:53.360]  當約拿丹的兒子很有勇氣,很有信心
[00:00:53.360 --> 00:00:56.080]  去攻打菲律師人
[00:00:56.080 --> 00:00:59.840]  菲律師形中大亂,其實是神的工作
[00:00:59.840 --> 00:01:08.160]  你看到掃羅原本是想叫祭司拿一些藥櫃或者去求神
[00:01:08.160 --> 00:01:13.240]  一看到形勢大亂的時候,他就不管了
[00:01:13.240 --> 00:01:17.840]  馬上就放在一旁,他就去打了,很急忙
[00:01:17.840 --> 00:01:21.440]  接著他也為了要乘勝追擊
[00:01:21.440 --> 00:01:25.600]  就下命令要那些人做什麼?就是不可以吃東西
[00:01:25.600 --> 00:01:28.400]  如果誰吃東西,誰就受咒咒
[00:01:28.400 --> 00:01:32.560]  誰知道他的兒子約拿丹是沒有聽到這個命令的
[00:01:32.560 --> 00:01:36.600]  他很累的時候吃那些蜜糖就很有力量
[00:01:36.600 --> 00:01:41.120]  後來他才知道爸爸下了命令,他就代爸爸向那些子民道歉
[00:01:41.120 --> 00:01:45.160]  如果我們能夠吃東西的時候,我們會繼續做得更加好
[00:01:45.160 --> 00:01:47.640]  打一場仗會打得更加好
[00:01:47.640 --> 00:01:52.160]  後來他就搶劣別人的東西
[00:01:52.160 --> 00:01:55.200]  到了上一個星期,我們所看到的是什麼呢?
[00:01:55.200 --> 00:01:59.400]  雖然薩姆爾已經說有人會取代你的職位
[00:01:59.400 --> 00:02:03.880]  但是素來於法國,接著那幾年還不斷打贏仗
[00:02:03.880 --> 00:02:07.040]  所以這個警告對他來說是完全無效的
[00:02:07.040 --> 00:02:10.000]  他覺得這個老爺亂說話
[00:02:10.000 --> 00:02:13.320]  甚至他會覺得神來祝福他,因為他打贏仗
[00:02:13.320 --> 00:02:16.360]  但是神要他去殺光那些阿瑪利人
[00:02:16.360 --> 00:02:19.600]  但是他竟然留下這些上好牛羊
[00:02:19.600 --> 00:02:23.360]  殘疾的那些他就殺了
[00:02:23.360 --> 00:02:26.320]  接著薩姆爾責備他的時候
[00:02:26.320 --> 00:02:31.080]  又說我是那些人民很想留下那些牛羊來憲制的
[00:02:31.080 --> 00:02:34.840]  所以有一句話很寶貴,聽命勝於憲制
[00:02:34.840 --> 00:02:38.080]  這個時候,神就真的放棄了他
[00:02:38.080 --> 00:02:42.280]  我們看到素來一路一路的跌落
[00:02:42.280 --> 00:02:46.280]  但是素來一開始是不是這樣呢?絕對不是
[00:02:46.280 --> 00:02:49.160]  素來是第一個被神選立的王
[00:02:49.160 --> 00:02:52.040]  神選了是出於他的主權的
[00:02:52.040 --> 00:02:55.320]  但是當然神不是,我喜歡的就是這樣
[00:02:55.320 --> 00:02:57.320]  是完全沒有任何的理由
[00:02:57.320 --> 00:03:00.760]  神的揀選絕對不是沒有理性的
[00:03:00.760 --> 00:03:03.840]  他是有他的原因,他看通了那個人
[00:03:03.840 --> 00:03:07.920]  4月第一個星期,我們就會開始看大衛
[00:03:07.920 --> 00:03:11.200]  題目是什麼呢?金玉其內
[00:03:11.200 --> 00:03:13.960]  有時候你看這個人好像沒什麼
[00:03:13.960 --> 00:03:17.760]  覺得他平凡,或者甚至覺得他沒用的
[00:03:17.760 --> 00:03:20.360]  但是可能神看他就不是這件事
[00:03:20.360 --> 00:03:23.040]  所以神的揀選是有他的原因
[00:03:23.040 --> 00:03:26.040]  我們看到素來其實是有美好的質素的
[00:03:26.040 --> 00:03:29.560]  但是很不幸地,這個美好的質素
[00:03:29.560 --> 00:03:33.280]  是慢慢的變質,變壞
[00:03:33.280 --> 00:03:37.560]  所以今晚我們就會看一個回轉
[00:03:37.560 --> 00:03:40.440]  好像電影一樣,回頭看
[00:03:40.440 --> 00:03:43.920]  就是素來的出生是怎樣
[00:03:43.920 --> 00:03:47.720]  以及變壞的過程,使我們得到警醒
[00:03:47.720 --> 00:03:51.480]  薩姆爾在指責素來的時候曾經這樣說的
[00:03:51.480 --> 00:03:53.400]  我們來大陸去聽
[00:03:53.400 --> 00:03:57.040]  薩姆爾記上第15章的第17節
[00:03:57.040 --> 00:03:59.240]  薩姆爾對素來說
[00:03:59.240 --> 00:04:01.840]  從前你雖然以自己為小
[00:04:01.840 --> 00:04:05.360]  豈不是被立為以色列之派的元首嗎?
[00:04:05.360 --> 00:04:08.240]  又會說高你作以色列的王
[00:04:08.240 --> 00:04:12.160]  我們一開始的時候就好像一套電影
[00:04:12.160 --> 00:04:13.480]  不知道大家有沒有看過呢?
[00:04:13.480 --> 00:04:16.240]  就是《鐵達尼號》
[00:04:16.240 --> 00:04:19.800]  是婆婆在那裡,然後回想以前的
[00:04:19.800 --> 00:04:21.720]  又或者《異海豪情》
[00:04:21.720 --> 00:04:23.360]  但是我沒有看過這套劇集的
[00:04:23.360 --> 00:04:26.960]  一開始的時候就說狗姑娘年紀很大了
[00:04:26.960 --> 00:04:28.800]  回想以前的事情
[00:04:28.800 --> 00:04:32.760]  在這一段裡面就開始回想素來
[00:04:32.760 --> 00:04:38.760]  說到從前你雖然以為自己很小
[00:04:38.760 --> 00:04:42.760]  記住是素來都覺得自己很不行的
[00:04:42.760 --> 00:04:45.120]  我怎麼可以做王呢?
[00:04:45.120 --> 00:04:47.360]  那時候他是很謙卑的
[00:04:47.360 --> 00:04:51.080]  但是一開始他不是這麼壞的
[00:04:51.080 --> 00:04:54.680]  當中有不少好的質素和行動
[00:04:54.680 --> 00:04:56.800]  是我們值得學習的
[00:04:56.800 --> 00:05:00.160]  為什麼他會越來越敗位呢?
[00:05:00.160 --> 00:05:01.960]  我們也會看下去
[00:05:01.960 --> 00:05:05.560]  他說到自以為小
[00:05:05.560 --> 00:05:07.600]  首先我們會看到
