
[00:00:00.000 --> 00:00:08.000]  今天跟大家分享的是以色列先知的經歷
[00:00:08.000 --> 00:00:13.000]  以色列先知其實是面對著一個很痛苦的年代
[00:00:13.000 --> 00:00:17.000]  以色列先知開始描寫先知是在加巴魯河邊
[00:00:17.000 --> 00:00:20.000]  是在秘魯的人當中
[00:00:20.000 --> 00:00:24.000]  當時是國破家亡 秘魯去到外國
[00:00:24.000 --> 00:00:27.000]  對前景是充滿迷茫的時候
[00:00:27.000 --> 00:00:30.000]  而這個時候他見到天開了
[00:00:30.000 --> 00:00:34.000]  他突然間見到另外一邊的世界出現
[00:00:34.000 --> 00:00:38.000]  他遇到神來到他的生命裏
[00:00:38.000 --> 00:00:41.000]  靈將我舉起 帶我而去
[00:00:41.000 --> 00:00:43.000]  我心中甚苦 靈性奮激
[00:00:43.000 --> 00:00:46.000]  並且耶和華的靈 原文就是手字
[00:00:46.000 --> 00:00:50.000]  在我身上大有能力
[00:00:50.000 --> 00:00:53.000]  當時他被舉起之後
[00:00:53.000 --> 00:00:59.000]  他去到加巴魯河邊的秘魯人當中
[00:00:59.000 --> 00:01:02.000]  他都悠悠悶悶的住了七天
[00:01:02.000 --> 00:01:05.000]  是一個好像沒有什麼希望的年代
[00:01:05.000 --> 00:01:10.000]  有很多的奮激 但是又很痛苦
[00:01:10.000 --> 00:01:13.000]  但是神的靈跟他在一起
[00:01:13.000 --> 00:01:17.000]  我星期四從香港回來
[00:01:17.000 --> 00:01:21.000]  帶著催淚煙來到加拿大
[00:01:21.000 --> 00:01:24.000]  都很震撼 都很悲痛
[00:01:24.000 --> 00:01:27.000]  看見香港的動盪
[00:01:27.000 --> 00:01:30.000]  是很難想像的
[00:01:30.000 --> 00:01:33.000]  如果我年輕的時候一定會去街上
[00:01:33.000 --> 00:01:37.000]  但是老了又會做事小心一點
[00:01:37.000 --> 00:01:42.000]  在政治的爭拗當中其實永無止境
[00:01:42.000 --> 00:01:44.000]  在我們機構的董事
[00:01:44.000 --> 00:01:47.000]  都有人主張佔中 有人反對佔中
[00:01:47.000 --> 00:01:50.000]  主張佔中 你在中國做這麼多事
[00:01:50.000 --> 00:01:53.000]  主張佔中會不會影響你們的時功
[00:01:53.000 --> 00:01:54.000]  要不要辭職
[00:01:54.000 --> 00:01:58.000]  我說不用 因為對政治的決定
[00:01:58.000 --> 00:02:01.000]  是每個人自己良知去決定這樣做
[00:02:01.000 --> 00:02:04.000]  我們在主裡面支持的或者反對的
[00:02:04.000 --> 00:02:07.000]  都是主裡面得救的人
[00:02:07.000 --> 00:02:10.000]  成熟的基督徒其實大家都很接納
[00:02:10.000 --> 00:02:14.000]  大家都祝福 你支持佔中我祝福你
[00:02:14.000 --> 00:02:18.000]  你去做你認為爭取的 真普選
[00:02:18.000 --> 00:02:22.000]  支持佔中的對不支持佔中的人也祝福
[00:02:22.000 --> 00:02:25.000]  你們想慢慢發展我們都祝福你
[00:02:25.000 --> 00:02:28.000]  我記得很久以前有一齣電影叫Mission
[00:02:28.000 --> 00:02:32.000]  就是當土人當中兩個宣教士
[00:02:32.000 --> 00:02:35.000]  遇到帝國主義侵略的時候
[00:02:35.000 --> 00:02:36.000]  兩個看法不同
[00:02:36.000 --> 00:02:39.000]  一個說要拿起武器去打
[00:02:39.000 --> 00:02:42.000]  一個說我們是用禱告
[00:02:42.000 --> 00:02:45.000]  用愛心去對這些敵人
