
[00:00:00.000 --> 00:00:08.000]  上一次我們去到最尾的stage
[00:00:08.000 --> 00:00:11.000]  我們現在就回到樹下
[00:00:11.000 --> 00:00:14.000]  我們提到在第七個
[00:00:14.000 --> 00:00:17.000]  第七個去到五十多歲的時候
[00:00:17.000 --> 00:00:23.000]  人就會不斷的發展
[00:00:23.000 --> 00:00:26.000]  有給予和有需要
[00:00:26.000 --> 00:00:28.000]  去給人需要他
[00:00:28.000 --> 00:00:31.000]  所以他會顧著他的子女
[00:00:31.000 --> 00:00:33.000]  他會顧著他的孫子
[00:00:33.000 --> 00:00:35.000]  他也會顧著提拔後輩
[00:00:35.000 --> 00:00:38.000]  這個會去到一個地方
[00:00:38.000 --> 00:00:42.000]  人是一路向外發展
[00:00:42.000 --> 00:00:46.000]  然後去到第八個
[00:00:46.000 --> 00:00:50.000]  這個時間通常六十多歲以上
[00:00:50.000 --> 00:00:52.000]  那個人就面臨退休
[00:00:52.000 --> 00:00:56.000]  又要面臨他身體的衰退
[00:00:56.000 --> 00:00:58.000]  他將會死亡
[00:00:58.000 --> 00:01:01.000]  在這個時間裏
[00:01:01.000 --> 00:01:07.000]  他最看見的就是損失
[00:01:07.000 --> 00:01:09.000]  無論是身體
[00:01:09.000 --> 00:01:11.000]  無論是朋友
[00:01:11.000 --> 00:01:13.000]  無論是工作
[00:01:13.000 --> 00:01:16.000]  無論是他身體的效能
[00:01:16.000 --> 00:01:18.000]  他的體能
[00:01:18.000 --> 00:01:20.000]  全部都有損失
[00:01:20.000 --> 00:01:22.000]  有些損失
[00:01:22.000 --> 00:01:25.000]  好像他的朋友會死亡
[00:01:25.000 --> 00:01:27.000]  他的親屬裏面
[00:01:27.000 --> 00:01:29.000]  有很多跟他同年紀的
[00:01:29.000 --> 00:01:31.000]  又會死亡
[00:01:31.000 --> 00:01:33.000]  這些都是損失
[00:01:33.000 --> 00:01:37.000]  就是說人一去到這樣的環境裏面
[00:01:37.000 --> 00:01:41.000]  他的社交網絡會少了
[00:01:41.000 --> 00:01:43.000]  他的能力又會少了
[00:01:43.000 --> 00:01:45.000]  在這個時間
[00:01:45.000 --> 00:01:47.000]  通常是一個時間
[00:01:47.000 --> 00:01:51.000]  給他回顧他過去的生命
[00:01:51.000 --> 00:01:55.000]  如果他要有完整性的話
[00:01:55.000 --> 00:01:58.000]  他的生命
[00:01:58.000 --> 00:02:02.000]  Ego Integrity的意思是完整
[00:02:02.000 --> 00:02:03.000]  意思是
[00:02:03.000 --> 00:02:06.000]  我回望我過去的日子
[00:02:06.000 --> 00:02:10.000]  我是有一種滿足感的
[00:02:10.000 --> 00:02:12.000]  滿足到一個地步
[00:02:12.000 --> 00:02:15.000]  我是接納他每一個階段
[00:02:15.000 --> 00:02:17.000]  每一個人物走過我的生命
[00:02:17.000 --> 00:02:20.000]  每一件事發生在我的生命上
[00:02:20.000 --> 00:02:21.000]  我都接納
[00:02:21.000 --> 00:02:23.000]  接納到一個地步是甚麼呢
[00:02:23.000 --> 00:02:27.000]  我不容讓其他代替
[00:02:27.000 --> 00:02:30.000]  就是說他不會有一個想法
[00:02:30.000 --> 00:02:33.000]  我希望不是這樣
[00:02:33.000 --> 00:02:36.000]  而他說我完全沒有這個想法
[00:02:36.000 --> 00:02:39.000]  我完全接納了我所有的東西
[00:02:39.000 --> 00:02:42.000]  我沒有希望我要再重新來過
[00:02:42.000 --> 00:02:45.000]  因為我走過的路非常之好
[00:02:45.000 --> 00:02:49.000]  提摩太后書裏
[00:02:49.000 --> 00:02:51.000]  保羅說我已經走過的路
[00:02:51.000 --> 00:02:52.000]  我已經走了
[00:02:52.000 --> 00:02:54.000]  我所信的都已經守住了
[00:02:54.000 --> 00:02:55.000]  他去到那時候
[00:02:55.000 --> 00:02:57.000]  他也有這樣的東西
[00:02:57.000 --> 00:02:58.000]  然後告訴提摩太太
[00:02:58.000 --> 00:03:01.000]  我現在根本不想再走
[00:03:01.000 --> 00:03:03.000]  也不想再從頭來過
[00:03:03.000 --> 00:03:05.000]  沒有一件事可以代替我過去的生命
[00:03:05.000 --> 00:03:08.000]  包括我那時候迫不及待的基督的生命
[00:03:08.000 --> 00:03:11.000]  因為那個生命是讓我體悟更多
[00:03:11.000 --> 00:03:13.000]  讓我知道我怎樣殘害基督
[00:03:13.000 --> 00:03:17.000]  所以在那裏他也不想再代替任何的東西
[00:03:17.000 --> 00:03:20.000]  然後他說我面向將來
[00:03:20.000 --> 00:03:21.000]  將來是甚麼呢
[00:03:21.000 --> 00:03:22.000]  是死亡
[00:03:22.000 --> 00:03:27.000]  通常一個人在自我生命裏面
[00:03:27.000 --> 00:03:30.000]  有充分的接納的話
[00:03:30.000 --> 00:03:34.000]  他會不怕死亡
[00:03:34.000 --> 00:03:38.000]  他會很平安地面對死亡
[00:03:38.000 --> 00:03:39.000]  而面對死亡之餘
[00:03:39.000 --> 00:03:44.000]  他也知道這些將會發生
[00:03:44.000 --> 00:03:45.000]  是他不知道的事情
[00:03:45.000 --> 00:03:50.000]  但仍然具有很強的信心
[00:03:50.000 --> 00:03:55.000]  去面對一些未知的事情
[00:03:55.000 --> 00:04:00.000]  這個人去到年老的時候
[00:04:00.000 --> 00:04:03.000]  他有很多的光陰時間
[00:04:03.000 --> 00:04:06.000]  去回望他過去一切的生命
[00:04:06.000 --> 00:04:08.000]  如果不是這樣
[00:04:08.000 --> 00:04:09.000]  相反的
[00:04:09.000 --> 00:04:13.000]  他會陷入一個很失望
[00:04:13.000 --> 00:04:16.000]  很不能整合的
[00:04:16.000 --> 00:04:23.000]  這個就是說
[00:04:23.000 --> 00:04:29.000]  那個人會看到過去
[00:04:29.000 --> 00:04:32.000]  是一連串的損失
[00:04:32.000 --> 00:04:33.000]  很多的機會
[00:04:33.000 --> 00:04:36.000]  他有很多事情他還沒做
[00:04:36.000 --> 00:04:37.000]  想做又沒做
[00:04:37.000 --> 00:04:39.000]  有遺憾
[00:04:39.000 --> 00:04:42.000]  遺憾
[00:04:42.000 --> 00:04:47.000]  有些人告訴你
[00:04:47.000 --> 00:04:48.000]  我死也不瞑目
[00:04:48.000 --> 00:04:49.000]  就是這些
[00:04:49.000 --> 00:04:51.000]  我們的粵語殘片
[00:04:51.000 --> 00:04:53.000]  很多人都死得不瞑目
[00:04:53.000 --> 00:04:54.000]  其實是真的
[00:04:54.000 --> 00:04:58.000]  以致弄得全部都遺憾
[00:04:58.000 --> 00:05:00.000]  然後在死亡裏面
[00:05:00.000 --> 00:05:05.000]  我們的文化弄得它是枯天創地
[00:05:05.000 --> 00:05:07.000]  很痛苦
