
[00:00:00.000 --> 00:00:02.680]  好,今日的題目就是
[00:00:02.680 --> 00:00:05.120]  持守性結的界線
[00:00:05.120 --> 00:00:08.280]  正確的男女關係
[00:00:08.280 --> 00:00:13.160]  人世間我們在這裏生存
[00:00:13.160 --> 00:00:17.160]  不是跟男就是跟女的交往
[00:00:17.160 --> 00:00:22.200]  有彼此的一些學習
[00:00:22.200 --> 00:00:25.120]  在《聖經》裏面也有教我們
[00:00:25.120 --> 00:00:30.720]  到底怎樣去做一個正確的
[00:00:30.720 --> 00:00:33.760]  跟男女的相處
[00:00:33.760 --> 00:00:40.360]  我們先看看保羅在貼薩諾尼加這間教會裏面
[00:00:40.360 --> 00:00:44.280]  怎樣去教導這間教會的人
[00:00:44.280 --> 00:00:48.600]  我們一齊聽聽這段經文
[00:00:48.600 --> 00:00:51.640]  弟兄們,我還有話說
[00:00:51.640 --> 00:00:55.800]  我們靠著主耶穌求你們、勸你們
[00:00:55.800 --> 00:00:58.720]  你們既然受了我們的教訓
[00:00:58.720 --> 00:01:02.240]  知道該怎樣行可以討神的喜悅
[00:01:02.240 --> 00:01:06.680]  就要照你們現在所行的更加勉勵
[00:01:06.680 --> 00:01:11.920]  你們願曉得我們憑主耶穌傳給你們什麼命令
[00:01:11.920 --> 00:01:15.680]  神的旨意就是要你們成為性結
[00:01:15.680 --> 00:01:17.600]  遠避淫行
[00:01:17.600 --> 00:01:21.120]  要你們各人曉得怎樣用性結
[00:01:21.120 --> 00:01:24.120]  尊貴守著自己的身體
[00:01:24.120 --> 00:01:26.680]  不放縱私欲的邪情
[00:01:26.680 --> 00:01:30.040]  像那不認識神的外邦人
[00:01:30.040 --> 00:01:34.920]  不要一個人在這世上月份欺負他的弟兄
[00:01:34.920 --> 00:01:39.000]  因為這一類的事主必報應
[00:01:39.000 --> 00:01:41.680]  正如我預先對你們說過
[00:01:41.680 --> 00:01:43.960]  又切切祝福你們的
[00:01:43.960 --> 00:01:45.920]  神召我們不是
[00:01:45.920 --> 00:01:49.040]  本不是要我們沾染污穢
[00:01:49.040 --> 00:01:51.680]  乃是要我們成為性結
[00:01:51.680 --> 00:01:55.680]  所以那氣絕的不是氣絕人
[00:01:55.680 --> 00:01:59.720]  乃是氣絕那次聖靈給你們的神
[00:01:59.720 --> 00:02:01.800]  謝謝Quinty
[00:02:01.800 --> 00:02:03.200]  這段經文
[00:02:03.200 --> 00:02:07.160]  保羅在第一節就告訴我們
[00:02:07.160 --> 00:02:10.680]  他說我們要行性結
[00:02:10.680 --> 00:02:12.840]  其實什麼是性結呢?
[00:02:12.840 --> 00:02:16.440]  性結不單止是一個行為
[00:02:16.440 --> 00:02:19.280]  性結包括你的思想
[00:02:19.280 --> 00:02:22.280]  包括你去想那件事
[00:02:22.280 --> 00:02:24.200]  或者你看那件事
[00:02:24.200 --> 00:02:26.120]  甚至你做那件事
[00:02:26.120 --> 00:02:30.000]  到底是否合乎神的心意呢?
[00:02:30.000 --> 00:02:30.960]  我們每一個人
[00:02:30.960 --> 00:02:33.000]  我們說神給我們的
[00:02:33.000 --> 00:02:36.080]  都是一個器皿
[00:02:36.080 --> 00:02:37.600]  什麼叫器皿?
[00:02:37.600 --> 00:02:39.880]  器皿就是裝東西的
[00:02:39.880 --> 00:02:42.920]  好像碗、水瓶
[00:02:42.920 --> 00:02:45.280]  這些都是器皿
[00:02:45.280 --> 00:02:50.680]  現在正好在疫情底下
[00:02:50.680 --> 00:02:53.680]  你想想一個器皿
[00:02:53.680 --> 00:02:56.680]  被人碰過
[00:02:56.680 --> 00:02:58.040]  用不用?
[00:02:58.040 --> 00:02:59.640]  不用了
[00:02:59.640 --> 00:03:01.200]  碰一碰就不用了
[00:03:01.200 --> 00:03:02.240]  髒了
[00:03:02.240 --> 00:03:05.160]  如果是被人用過的東西
[00:03:05.160 --> 00:03:07.560]  你會不會用?
[00:03:07.560 --> 00:03:10.880]  被人用過的東西沒有用
[00:03:10.880 --> 00:03:12.200]  不用是吧?
[00:03:12.200 --> 00:03:13.320]  不用
[00:03:13.320 --> 00:03:16.440]  神在這裡告訴我們
[00:03:16.440 --> 00:03:19.120]  祂要我們做一個
[00:03:19.120 --> 00:03:23.040]  性結不被玷污的器皿
[00:03:23.040 --> 00:03:26.960]  為什麼保羅要告訴我們要這樣做呢?
[00:03:26.960 --> 00:03:29.600]  保羅的教導很特別
[00:03:29.600 --> 00:03:32.800]  他不是說是保羅自己說的
[00:03:32.800 --> 00:03:36.560]  因為這個是主的命令
[00:03:36.560 --> 00:03:39.200]  他在第二節就這樣說
[00:03:39.200 --> 00:03:43.880]  你們願曉得我們憑主耶穌基督
[00:03:43.880 --> 00:03:46.560]  傳給你們什麼命令
[00:03:46.560 --> 00:03:51.560]  這個是耶穌傳給我們每一個人的命令
[00:03:51.560 --> 00:03:54.520]  這個命令是什麼來的呢?
[00:03:54.520 --> 00:03:55.800]  他說
[00:03:55.800 --> 00:03:58.600]  這個是神的旨意
[00:03:58.600 --> 00:04:02.200]  神的旨意就是要你們成為性結
[00:04:02.200 --> 00:04:03.920]  遠避淫行
[00:04:03.920 --> 00:04:08.520]  要你們各人曉得怎樣用性結尊貴
[00:04:08.520 --> 00:04:11.560]  守著自己的身體
[00:04:11.560 --> 00:04:16.040]  神要我們成為尊貴性結
[00:04:16.040 --> 00:04:18.160]  有價值的器皿
[00:04:18.160 --> 00:04:20.840]  就是說我們自己
[00:04:20.840 --> 00:04:22.720]  都不要怎樣
[00:04:22.720 --> 00:04:25.160]  玷污自己的身體
[00:04:25.160 --> 00:04:27.680]  這個字很好
[00:04:27.680 --> 00:04:28.840]  要自結
[00:04:28.840 --> 00:04:33.680]  讓自己行在性結當中
[00:04:33.680 --> 00:04:35.160]  我剛才也說了
[00:04:35.160 --> 00:04:38.920]  我們在你們這個年紀
[00:04:38.920 --> 00:04:42.200]  都開始會交往的
[00:04:42.200 --> 00:04:43.200]  無論什麼交往
