
[00:00:00.000 --> 00:00:02.000]  頂止每晚安
[00:00:02.000 --> 00:00:06.360]  今天的題目比較特別
[00:00:06.360 --> 00:00:11.320]  叫做「尤斯汀的聖道神學」
[00:00:11.320 --> 00:00:13.800]  其實很簡單
[00:00:13.800 --> 00:00:18.040]  也不是一些嘩眾取寵
[00:00:18.040 --> 00:00:26.440]  意思是我們從一個教父尤斯汀對道的解釋
[00:00:26.440 --> 00:00:32.240]  我們去看《馬可福音》四字段五章
[00:00:32.240 --> 00:00:36.440]  甚麼是教父呢?
[00:00:36.440 --> 00:00:38.040]  很簡單
[00:00:38.040 --> 00:00:43.360]  如果我們將耶穌基督看為眾使徒的師父
[00:00:43.360 --> 00:00:48.120]  那麼教父的師父就是使徒
[00:00:48.120 --> 00:00:50.120]  那麼尤斯汀是甚麼人呢?
[00:00:50.120 --> 00:00:52.920]  尤斯汀英文名叫Justin
[00:00:52.920 --> 00:00:59.240]  Justin是生於主後一百年至一百六十五年
[00:00:59.240 --> 00:01:01.760]  即是主後一百年他出世
[00:01:01.760 --> 00:01:04.920]  到主後一百三十年
[00:01:04.920 --> 00:01:09.880]  他突然間在海灘上看到一個老人
[00:01:09.880 --> 00:01:13.040]  就好像海明威《老人與海》一樣
[00:01:13.040 --> 00:01:14.880]  那個老人跟他說甚麼呢?
[00:01:14.880 --> 00:01:17.960]  就跟他說耶穌基督講福音書
[00:01:17.960 --> 00:01:22.360]  於是他就撇下他以前所信的哲學
[00:01:22.360 --> 00:01:24.480]  甚麼斯多亞派
[00:01:24.480 --> 00:01:27.080]  柏拉圖
[00:01:27.080 --> 00:01:30.240]  畢達哥斯拉那些派別
[00:01:30.240 --> 00:01:36.520]  所以他就專心相信聖經所講
[00:01:36.520 --> 00:01:41.880]  Logos 上帝的道在他生命裏面有作為
[00:01:41.880 --> 00:01:45.200]  而他的聖道神話是講甚麼呢?
[00:01:45.200 --> 00:01:47.280]  如果我們看回教父時期
[00:01:47.280 --> 00:01:51.920]  是主後一百年至到主後的四百五十一年
[00:01:51.920 --> 00:01:55.240]  當中開了四次的大公會議
[00:01:55.240 --> 00:01:58.840]  分別就是三百二十五年的尼西亞會議
[00:01:58.840 --> 00:02:03.720]  另外就是三百八十一年的康士坦丁會議
[00:02:03.720 --> 00:02:09.240]  另外就是主後四百三十一年的伊弗所會議
[00:02:09.240 --> 00:02:11.200]  最後不是最後一次
[00:02:11.200 --> 00:02:15.720]  第四次的大公會議就是主後四百五十一年
[00:02:15.720 --> 00:02:17.800]  當中建立了甚麼呢?
[00:02:17.800 --> 00:02:20.200]  三維一體的上帝論
[00:02:20.200 --> 00:02:24.120]  基督論、教會論和聖靈論
[00:02:24.120 --> 00:02:25.520]  換句話來說
[00:02:25.520 --> 00:02:28.400]  我們信仰的大體總綱
[00:02:28.400 --> 00:02:31.600]  都是在這四次的大公會議建立
[00:02:31.600 --> 00:02:32.680]  講完了
[00:02:32.680 --> 00:02:34.800]  當然我們所理解
[00:02:34.800 --> 00:02:37.280]  我們更正教理解所接受的
[00:02:37.280 --> 00:02:39.280]  是七次的大公會議
[00:02:39.280 --> 00:02:42.480]  最後一次的大公會議是何時開始呢?
[00:02:42.480 --> 00:02:43.680]  何時完結呢?
[00:02:43.680 --> 00:02:47.120]  就是主後七百八十七年
[00:02:47.120 --> 00:02:51.280]  即是主後一百年至四百五十一年
[00:02:51.280 --> 00:02:52.800]  這個交付時期
[00:02:52.800 --> 00:02:55.960]  是有一個很重要的神學根基
[00:02:55.960 --> 00:02:58.920]  而尤斯丁的聖道神學是講甚麼呢?
[00:02:58.920 --> 00:03:03.000]  就是他所學的希臘哲學
[00:03:03.000 --> 00:03:05.400]  無論是斯多亞派
[00:03:05.400 --> 00:03:06.720]  不達哥斯拉
[00:03:06.720 --> 00:03:08.320]  或者不達哥拉斯
[00:03:08.320 --> 00:03:10.320]  我比較喜歡哥斯拉
[00:03:10.320 --> 00:03:12.080]  不達哥斯拉
[00:03:12.080 --> 00:03:13.520]  或者帕拉圖
[00:03:13.520 --> 00:03:15.200]  甚至斯多亞派
[00:03:15.200 --> 00:03:17.080]  他們都有一個想法
[00:03:17.080 --> 00:03:18.800]  就是在這個世界
[00:03:18.800 --> 00:03:21.080]  有一個創造主
[00:03:21.080 --> 00:03:23.480]  或多或少我們未信耶穌之前
[00:03:23.480 --> 00:03:24.440]  我們知道
[00:03:24.440 --> 00:03:26.160]  舉頭三尺有甚麼?
[00:03:26.160 --> 00:03:27.440]  有神明
[00:03:27.440 --> 00:03:29.960]  這些是我們未信主的時候
[00:03:29.960 --> 00:03:31.440]  都會知道的
[00:03:31.440 --> 00:03:33.080]  走過去樓梯底
