
[00:00:00.000 --> 00:00:03.560]  今天的題目是"誰是主角"
[00:00:03.560 --> 00:00:05.920]  我們會繼續講哥林多前書
[00:00:05.920 --> 00:00:08.960]  不過我先感謝陳牧師上個星期
[00:00:08.960 --> 00:00:12.640]  爲我們今年哥林多前書的講道系列
[00:00:12.640 --> 00:00:14.880]  揭開了很精彩的序幕
[00:00:14.880 --> 00:00:16.640]  讓我們可以在今年裏
[00:00:16.640 --> 00:00:19.520]  以哥林多教會作爲我們的借鑑
[00:00:19.520 --> 00:00:22.160]  我們好好地一起學習成長
[00:00:22.160 --> 00:00:25.120]  脫離BB門徒的生命
[00:00:25.120 --> 00:00:29.600]  我們一起邁向成熟門徒的生命,好嗎?
[00:00:29.600 --> 00:00:33.920]  好啊,你們說好的,我們一起努力
[00:00:33.920 --> 00:00:36.960]  我們繼續看第一章10至17節
[00:00:36.960 --> 00:00:39.200]  既然題目是"誰是主角"
[00:00:39.200 --> 00:00:43.040]  我馬上就想起"看電影"
[00:00:43.040 --> 00:00:48.080]  誰知道剛好上星期陳牧師又講"看電影"
[00:00:48.080 --> 00:00:50.880]  大家記不記得他說去看什麼電影?
[00:00:50.880 --> 00:00:53.840]  哇,真的有留心聽到
[00:00:53.840 --> 00:00:56.000]  究竟只是聽到"看電影"那部分
[00:00:56.000 --> 00:00:57.200]  還是聽到什麼呢?
[00:00:57.200 --> 00:01:00.560]  他想看《熱門》的電影
[00:01:00.560 --> 00:01:02.880]  自己去看也差不多
[00:01:02.880 --> 00:01:05.680]  很期待這個主角出現
[00:01:05.680 --> 00:01:07.120]  如果他看完整部電影
[00:01:07.120 --> 00:01:10.240]  這個主角都不出現,那怎麼辦?
[00:01:10.240 --> 00:01:13.840]  哇,那真是很失望,很奇怪
[00:01:13.840 --> 00:01:16.480]  昨晚完了兩堂講道之後
[00:01:16.480 --> 00:01:20.240]  我和一羣弟兄姐妹去看音樂劇
[00:01:20.240 --> 00:01:21.600]  《利瑪竇》的音樂劇
[00:01:21.600 --> 00:01:24.160]  我看到前面坐了一些人
[00:01:24.160 --> 00:01:29.760]  哇,真的擺明這個劇名叫《利瑪竇》
[00:01:29.760 --> 00:01:32.560]  我們當然期望有利瑪竇出現
[00:01:32.560 --> 00:01:34.560]  幸好我們看完之後
[00:01:34.560 --> 00:01:37.040]  他真的全部電影都有出現
[00:01:37.040 --> 00:01:41.520]  否則我們就很失望了
[00:01:41.520 --> 00:01:45.760]  真的,你去看電影、看音樂劇、畫劇
[00:01:45.760 --> 00:01:48.480]  你一定會期望有主角
[00:01:48.480 --> 00:01:53.760]  不過,是不是隻有電影纔有主角呢?
[00:01:53.760 --> 00:01:58.880]  我就想,原來我們人生很多的場景
[00:01:58.880 --> 00:02:02.320]  很多的組織,可能都有主角的
[00:02:02.320 --> 00:02:03.360]  是不是呢?
[00:02:03.360 --> 00:02:07.280]  我就擺了一些出來,看你們認不認同
[00:02:07.280 --> 00:02:09.840]  結婚婚禮有沒有主角?
[00:02:09.840 --> 00:02:13.120]  當然有主角了,是吧?有新人
[00:02:13.120 --> 00:02:16.320]  如果還有些有皇帝的國家登基的時候
[00:02:16.320 --> 00:02:17.680]  有沒有主角?
[00:02:17.680 --> 00:02:21.280]  有新的皇帝上場,很明顯他是主角
[00:02:21.280 --> 00:02:24.480]  如果打仗,整隊軍隊
[00:02:24.480 --> 00:02:26.240]  元帥一出來
[00:02:26.240 --> 00:02:29.120]  是不是所有人都集中聽他講話?
[00:02:29.120 --> 00:02:32.320]  我想他這個主角的地位都拿不走
[00:02:32.320 --> 00:02:35.040]  不過,原來運動場上
[00:02:35.040 --> 00:02:37.680]  你們所有人的焦點都去了運動員
[00:02:37.680 --> 00:02:41.200]  那些運動員是不是主角?
[00:02:41.200 --> 00:02:45.200]  我再想,其實我們家裏可能都有主角的
[00:02:45.200 --> 00:02:47.600]  因爲我從小到大,當我媽媽一出來
[00:02:47.600 --> 00:02:50.240]  我們所有人都會聽她講話
[00:02:50.240 --> 00:02:52.880]  很明顯她是我們家裏的主角
[00:02:52.880 --> 00:02:56.880]  但是我又會覺得有些家裏可能是爸爸
[00:02:56.880 --> 00:02:58.880]  一家之主是主角
[00:02:58.880 --> 00:03:01.920]  不過現今的社會,更加普遍的情況
[00:03:01.920 --> 00:03:05.200]  就是嬰兒一出現,嬰兒一定是主角
[00:03:05.200 --> 00:03:05.840]  是不是?
[00:03:05.840 --> 00:03:10.960]  小朋友將全家人的注意力集中在小朋友身上
[00:03:10.960 --> 00:03:13.440]  焦點就去了那裏
[00:03:13.440 --> 00:03:17.440]  我再想,其實我們很多開心的場面
[00:03:17.440 --> 00:03:21.120]  很多派對都會有主角的
[00:03:21.120 --> 00:03:23.120]  例如什麼呢?
[00:03:23.120 --> 00:03:29.040]  結婚週年,如果有派對的話應該有主角的
[00:03:29.040 --> 00:03:33.520]  升職的派對應該有主角的
[00:03:33.520 --> 00:03:36.960]  榮優的派對也應該有主角吧
[00:03:36.960 --> 00:03:40.880]  還有一個可能你們常常都會參加的派對
[00:03:40.880 --> 00:03:42.160]  你猜是什麼派對呢?
[00:03:42.160 --> 00:03:44.400]  一定有主角的
[00:03:44.400 --> 00:03:47.360]  猜不猜得到?
