
[00:00:00.000 --> 00:00:05.560]  因此要教會使命港督系列的第三課
[00:00:05.560 --> 00:00:07.560]  我們會看一段經文
[00:00:07.560 --> 00:00:09.560]  這段經文會講到
[00:00:09.560 --> 00:00:11.560]  怎樣去使用我們的Gift
[00:00:11.560 --> 00:00:13.560]  怎樣去使用我們的屬靈恩賜
[00:00:13.560 --> 00:00:15.960]  其實這個港督系列都是想鼓勵
[00:00:15.960 --> 00:00:19.960]  頂尖開始發掘自己一些的恩賜
[00:00:19.960 --> 00:00:21.960]  開始去使用它
[00:00:21.960 --> 00:00:25.360]  然後在使用的同時你就會有很多的祝福
[00:00:25.360 --> 00:00:28.360]  我們先看第一段經文
[00:00:28.360 --> 00:00:31.360]  繼續在二弗所書四章七到十節
[00:00:31.360 --> 00:00:33.360]  這段經文講到每一個基督徒
[00:00:33.360 --> 00:00:35.360]  其實都有屬靈的恩賜
[00:00:35.360 --> 00:00:38.360]  每一個基督徒其實都有屬靈的恩賜
[00:00:38.360 --> 00:00:42.360]  二弗所書四章七到十節
[00:00:42.360 --> 00:00:44.360]  是這樣說的
[00:00:44.360 --> 00:00:46.360]  我們每個人蒙恩
[00:00:46.360 --> 00:00:51.360]  都是照基督所量給每個人的恩賜
[00:00:51.360 --> 00:00:53.360]  所以又話說
[00:00:53.360 --> 00:00:55.360]  他升上高天的時候
[00:00:55.360 --> 00:00:58.360]  就努力俘虜
[00:00:58.360 --> 00:01:02.360]  然後將各樣的恩賜上給人
[00:01:02.360 --> 00:01:04.360]  既說他升上
[00:01:04.360 --> 00:01:08.360]  豈不是指他曾降到地底下嗎
[00:01:08.360 --> 00:01:09.360]  那降下的
[00:01:09.360 --> 00:01:14.360]  就是高升遠超月諸天之上的
[00:01:14.360 --> 00:01:17.360]  謂要充滿萬有
[00:01:17.360 --> 00:01:19.360]  所以這段經文
[00:01:19.360 --> 00:01:21.360]  他所講的每一個人蒙恩
[00:01:21.360 --> 00:01:24.360]  都是照基督所量給每個人的恩賜
[00:01:24.360 --> 00:01:26.360]  其實中文翻譯
[00:01:26.360 --> 00:01:30.360]  已經將上下文的內容翻出來
[00:01:30.360 --> 00:01:33.360]  因為原文是沒有恩賜的
[00:01:33.360 --> 00:01:35.360]  直接是講恩典
[00:01:35.360 --> 00:01:37.360]  每個人都領受了恩典
[00:01:37.360 --> 00:01:39.360]  照著神量給他領受恩典
[00:01:39.360 --> 00:01:41.360]  但因為上下文講的
[00:01:41.360 --> 00:01:46.360]  不是我們經常聽到那種得救救贖的恩典
[00:01:46.360 --> 00:01:49.360]  因為保羅在第二章已經講了
[00:01:49.360 --> 00:01:51.360]  那種叫得救救贖的恩典
[00:01:51.360 --> 00:01:55.360]  就是你們得救是因為恩典
[00:01:55.360 --> 00:01:57.360]  你們得救是因為信
[00:01:57.360 --> 00:01:59.360]  是出於恩典
[00:01:59.360 --> 00:02:01.360]  所以保羅已經講得很清楚
[00:02:01.360 --> 00:02:02.360]  到了第四章
[00:02:02.360 --> 00:02:04.360]  這裡所講的恩典
[00:02:04.360 --> 00:02:06.360]  就不是得救的恩典
[00:02:06.360 --> 00:02:07.360]  不是救贖的恩典
[00:02:07.360 --> 00:02:09.360]  他是在講另外一種的恩典
[00:02:09.360 --> 00:02:12.360]  就是屬靈恩賜
[00:02:12.360 --> 00:02:14.360]  所以有一個觀念要很清楚
[00:02:14.360 --> 00:02:17.360]  就是屬靈恩賜其實都是一種恩典
[00:02:17.360 --> 00:02:20.360]  屬靈恩賜不是一種你可以賺取回來
[00:02:20.360 --> 00:02:22.360]  或者你努力一點就會有
[00:02:22.360 --> 00:02:24.360]  你是從神領受
[00:02:24.360 --> 00:02:26.360]  是一種恩典
[00:02:26.360 --> 00:02:28.360]  都是伯伯給你的
[00:02:28.360 --> 00:02:33.360]  當然這個和得救的恩典很不同
[00:02:33.360 --> 00:02:36.360]  因為得救的恩典
[00:02:36.360 --> 00:02:39.360]  讓你知道你是神的傑作
[00:02:39.360 --> 00:02:41.360]  我們第一課都講了你是上帝的傑作
[00:02:41.360 --> 00:02:43.360]  那個在第二章講的
[00:02:43.360 --> 00:02:45.360]  就是保羅講完
[00:02:45.360 --> 00:02:48.360]  你們得救是在乎恩亦出於信
[00:02:48.360 --> 00:02:50.360]  完全是因為恩典你得救
[00:02:50.360 --> 00:02:53.360]  得救的恩典是讓你很清楚知道
[00:02:53.360 --> 00:02:56.360]  你是上帝的傑作
[00:02:56.360 --> 00:02:58.360]  意思就是說你是無價的
[00:02:58.360 --> 00:03:00.360]  你是很有價值的
[00:03:00.360 --> 00:03:01.360]  因此上帝
[00:03:01.360 --> 00:03:03.360]  你到底有多有價值呢
[00:03:03.360 --> 00:03:05.360]  就是上帝為了你的緣故
[00:03:05.360 --> 00:03:07.360]  願意將他最有價值
[00:03:07.360 --> 00:03:09.360]  最寶貴的唯一的兒子
[00:03:09.360 --> 00:03:11.360]  都願意為你捨棄
[00:03:11.360 --> 00:03:14.360]  所以你在神心目中是無價的
[00:03:14.360 --> 00:03:16.360]  是很有價值的
[00:03:16.360 --> 00:03:19.360]  這個是第一種的恩典
[00:03:19.360 --> 00:03:20.360]  但問題在這裡
[00:03:20.360 --> 00:03:24.360]  很多人雖然聖經說我們是上帝的傑作
[00:03:24.360 --> 00:03:28.360]  但在現實中我們不覺得自己是上帝的傑作
[00:03:28.360 --> 00:03:30.360]  當你照鏡的時候
[00:03:30.360 --> 00:03:33.360]  你怎麼看都不覺得這是傑作
[00:03:33.360 --> 00:03:40.360]  其實傑作是指藝術品
[00:03:40.360 --> 00:03:45.360]  大家知道藝術品的價值是來自於作者
[00:03:45.360 --> 00:03:47.360]  創作的作者
[00:03:47.360 --> 00:03:50.360]  不是來自於藝術品本身
[00:03:50.360 --> 00:03:55.360]  有個牧師說有個很有錢的朋友請他去他家
[00:03:55.360 --> 00:03:58.360]  他看到家裡掛滿了畫
[00:03:58.360 --> 00:03:59.360]  他進去看的時候
[00:03:59.360 --> 00:04:02.360]  他以為你將你小時候畫的畫掛在牆上
[00:04:02.360 --> 00:04:04.360]  因為他很抽象
[00:04:04.360 --> 00:04:08.360]  他以為這樣很好 很友善 很溫暖
[00:04:08.360 --> 00:04:10.360]  很家庭主義
[00:04:10.360 --> 00:04:11.360]  後來聽他介紹
[00:04:11.360 --> 00:04:13.360]  吃飯的時候主人介紹
[00:04:13.360 --> 00:04:17.360]  這幅畫是比卡索的原作
[00:04:17.360 --> 00:04:18.360]  幾百萬美金
[00:04:18.360 --> 00:04:20.360]  他一聽你說完之後
[00:04:20.360 --> 00:04:21.360]  突然縮然起敬
[00:04:21.360 --> 00:04:24.360]  嘩 有深度 有深度
[00:04:24.360 --> 00:04:27.360]  你知道我在歐洲的時候看很多博物館
[00:04:27.360 --> 00:04:31.360]  如果你不告訴我這幅畫的原作是誰
[00:04:31.360 --> 00:04:36.360]  我真的覺得跟我們煮一殼的畫差不多
[00:04:36.360 --> 00:04:37.360]  但你突然告訴他
[00:04:37.360 --> 00:04:40.360]  嘩 這個是麥肯安德魯
[00:04:40.360 --> 00:04:42.360]  我就會突然縮然起敬
[00:04:42.360 --> 00:04:44.360]  有深度 有深度
[00:04:44.360 --> 00:04:45.360]  這個有價值
[00:04:45.360 --> 00:04:48.360]  藝術品的價值不是來自藝術品
[00:04:48.360 --> 00:04:50.360]  本身來自於作者是誰
[00:04:50.360 --> 00:04:51.360]  我和你都一樣
[00:04:51.360 --> 00:04:53.360]  有時候看自己怎麼都不像
[00:04:53.360 --> 00:04:55.360]  越看越抽象
[00:04:55.360 --> 00:04:57.360]  有些人說你長得很抽象
[00:04:57.360 --> 00:05:00.360]  認識你這麼久都不知道你五官具體在什麼位置
[00:05:00.360 --> 00:05:01.360]  很抽象
[00:05:01.360 --> 00:05:02.360]  怎麼看都不像藝術品
[00:05:02.360 --> 00:05:06.360]  但事實得救的因點就是告訴你
[00:05:06.360 --> 00:05:08.360]  一個現實就是你是藝術品
[00:05:08.360 --> 00:05:10.360]  你是有價值的
[00:05:10.360 --> 00:05:13.360]  第二種的因點還是很棒的
[00:05:13.360 --> 00:05:15.360]  因為第二種的因點屬靈恩切
[00:05:15.360 --> 00:05:19.360]  這種因點是讓你真實地感受自己有價值的
[00:05:19.360 --> 00:05:20.360]  為什麼這麼說呢
[00:05:20.360 --> 00:05:24.360]  因為如果你不去發掘自己的因點
[00:05:24.360 --> 00:05:26.360]  然後用出來
[00:05:26.360 --> 00:05:28.360]  在用的過程當中看到其他人
[00:05:28.360 --> 00:05:32.360]  因為你使用因點他們得到祝福得到幫助
[00:05:32.360 --> 00:05:35.360]  你是不會覺得你自己有價值的
