
[00:00:00.000 --> 00:00:04.800]  今天和大家分享的題目就是「斯比壽近為有福」
[00:00:04.800 --> 00:00:08.800]  我們回到最頂端的「福」
[00:00:08.800 --> 00:00:10.800]  斯比壽近為有福
[00:00:10.800 --> 00:00:12.800]  我相信大家都很熟悉這句說話
[00:00:12.800 --> 00:00:14.800]  我想問問大家
[00:00:14.800 --> 00:00:16.800]  這句說話「斯比壽近為有福」
[00:00:16.800 --> 00:00:18.800]  出於聖經
[00:00:18.800 --> 00:00:22.800]  記載在哪一本聖經的書卷裏面呢?
[00:00:22.800 --> 00:00:24.800]  有沒有人知道?
[00:00:24.800 --> 00:00:28.800]  可以搜出的
[00:00:28.800 --> 00:00:30.800]  「斯比壽近為有福」
[00:00:30.800 --> 00:00:32.800]  這句說話出於聖經的書卷
[00:00:32.800 --> 00:00:34.800]  有沒有人知道?
[00:00:34.800 --> 00:00:36.800]  約翰福音?
[00:00:36.800 --> 00:00:38.800]  不是
[00:00:38.800 --> 00:00:40.800]  馬拉福音?
[00:00:40.800 --> 00:00:42.800]  不是
[00:00:42.800 --> 00:00:44.800]  史陶行傳?
[00:00:44.800 --> 00:00:46.800]  出了
[00:00:46.800 --> 00:00:48.800]  他記載在史陶行傳
[00:00:48.800 --> 00:00:50.800]  他不是福音書
[00:00:50.800 --> 00:00:52.800]  下一張爆破
[00:00:52.800 --> 00:00:54.800]  按多一下
[00:00:54.800 --> 00:00:56.800]  記載在史陶行傳
[00:00:56.800 --> 00:00:58.800]  當保羅教導當時的人的時候
[00:00:58.800 --> 00:01:00.800]  他引用主耶穌曾經說過的說話
[00:01:00.800 --> 00:01:02.800]  「斯比壽近為有福」
[00:01:02.800 --> 00:01:04.800]  所以這句說話
[00:01:04.800 --> 00:01:06.800]  不是福音書記載
[00:01:06.800 --> 00:01:08.800]  是在史陶行傳記載
[00:01:08.800 --> 00:01:10.800]  當然也是主耶穌說的話
[00:01:10.800 --> 00:01:12.800]  「有福」原本的意思是指
[00:01:12.800 --> 00:01:14.800]  「受到祝福」的意思
[00:01:14.800 --> 00:01:16.800]  也包含了「喜樂」的意思
[00:01:16.800 --> 00:01:18.800]  所以有一個聖經的譯本
[00:01:18.800 --> 00:01:20.800]  下一張譯本
[00:01:20.800 --> 00:01:22.800]  就是說
[00:01:22.800 --> 00:01:24.800]  「之與更多」的時候
[00:01:24.800 --> 00:01:26.800]  「更多喜樂」
[00:01:26.800 --> 00:01:28.800]  比「接受」還要多
[00:01:28.800 --> 00:01:30.800]  這個情況
[00:01:30.800 --> 00:01:32.800]  上一張譯本的那一句
[00:01:32.800 --> 00:01:36.800]  你施予有更大的喜樂
[00:01:36.800 --> 00:01:38.800]  你越施予的時候
[00:01:38.800 --> 00:01:40.800]  你越喜樂
[00:01:40.800 --> 00:01:42.800]  但也不代表
[00:01:42.800 --> 00:01:44.800]  接受比不起樂好
[00:01:44.800 --> 00:01:46.800]  如果我是一個貧乏的人
[00:01:46.800 --> 00:01:48.800]  缺乏的人
[00:01:48.800 --> 00:01:50.800]  有人施予一些東西幫助我
[00:01:50.800 --> 00:01:52.800]  解決我的困難
[00:01:52.800 --> 00:01:54.800]  施予那個人應該更開心
[00:01:54.800 --> 00:01:56.800]  因為他更望上帝的祝福
[00:01:56.800 --> 00:01:58.800]  似福在裡面
[00:01:58.800 --> 00:02:00.800]  好像中國人有一句說話
[00:02:00.800 --> 00:02:02.800]  「在人為快樂之本」
[00:02:02.800 --> 00:02:04.800]  我們覺得幫助別人就是快樂
[00:02:04.800 --> 00:02:06.800]  但耶穌說的快樂
[00:02:06.800 --> 00:02:08.800]  不只一種
[00:02:08.800 --> 00:02:10.800]  施予的時候你會承受更大的喜樂
[00:02:10.800 --> 00:02:12.800]  也會承受更多的祝福
[00:02:12.800 --> 00:02:14.800]  那些是什麼祝福呢?
[00:02:14.800 --> 00:02:16.800]  為什麼會有更多的喜樂呢?
[00:02:16.800 --> 00:02:18.800]  我們就要看看
[00:02:18.800 --> 00:02:22.800]  哥林多後書第九章六至十五節
[00:02:22.800 --> 00:02:24.800]  在看這幾節之前
[00:02:24.800 --> 00:02:26.800]  我們看看上文
[00:02:26.800 --> 00:02:28.800]  就是哥林多後書的九章
[00:02:28.800 --> 00:02:30.800]  一至五節
[00:02:30.800 --> 00:02:32.800]  我想和大家先讀一次
[00:02:32.800 --> 00:02:34.800]  看看上文的內容
[00:02:34.800 --> 00:02:36.800]  預備起
[00:02:36.800 --> 00:02:38.800]  論到供給聖徒的事
[00:02:38.800 --> 00:02:40.800]  我不必寫信給你們
[00:02:40.800 --> 00:02:42.800]  因為我知道你們樂意的心
[00:02:42.800 --> 00:02:44.800]  尚對馬其頓人誇讚你們
[00:02:44.800 --> 00:02:48.800]  說:亞該亞人早了
[00:02:48.800 --> 00:02:50.800]  已經有一年了
