
[00:00:00.000 --> 00:00:02.380]  各位來賓 大家好
[00:00:02.380 --> 00:00:07.440]  今天我們再次繼續看《撒姆爾記》上的經文
[00:00:07.440 --> 00:00:13.940]  We will continue to follow the passage in 1 Samuel 10:17-27
[00:00:13.940 --> 00:00:16.460]  我們當中有些小朋友都可以一起去
[00:00:16.460 --> 00:00:18.360]  打開經文一起去看
[00:00:18.360 --> 00:00:22.480]  我們的經文今天就會看到這個時候
[00:00:22.480 --> 00:00:24.240]  就看到一個災難的事情
[00:00:24.240 --> 00:00:29.180]  我們在剛才大家所讀的經文當中都知道
[00:00:29.180 --> 00:00:32.600]  這班的以色列盟都有很多面對了
[00:00:32.600 --> 00:00:34.560]  一直以來都面對了很多災難
[00:00:34.560 --> 00:00:36.780]  從埃及做奴隸開始
[00:00:36.780 --> 00:00:40.240]  出埃及直到進到迦南地
[00:00:40.240 --> 00:00:44.260]  我們平時都有時見到一些災難
[00:00:44.260 --> 00:00:46.640]  一些災難很嚴重的災難
[00:00:46.640 --> 00:00:49.520]  這個就是英文叫做Sinkhole
[00:00:49.520 --> 00:00:51.560]  那些中文叫做什麼
[00:00:51.560 --> 00:00:57.840]  天塌進去
[00:00:57.840 --> 00:01:03.060]  他就真的停在車上
[00:01:03.060 --> 00:01:05.160]  突然間倒下了
[00:01:05.160 --> 00:01:08.240]  有時你看到一些以前的新聞都會留意到
[00:01:08.240 --> 00:01:12.240]  真的家裡整間房子好像被地面吃了下去
[00:01:12.240 --> 00:01:14.240]  真的突然間進來
[00:01:14.240 --> 00:01:16.620]  好像跌入了萬象深谷一樣
[00:01:16.620 --> 00:01:21.560]  這種災難的感覺真的感到心裡很不安心
[00:01:21.560 --> 00:01:24.100]  很不舒服
[00:01:24.100 --> 00:01:25.520]  見到這種情況
[00:01:25.520 --> 00:01:31.600]  就算是韓國電影都有一套電影出來了
[00:01:31.600 --> 00:01:34.160]  用這個主題來做一個戲劇
[00:01:34.160 --> 00:01:38.480]  但是我們原來在明尼蘇達都有一個很出名的地方
[00:01:38.480 --> 00:01:40.280]  我知道明尼蘇達有很多湖
[00:01:40.280 --> 00:01:44.240]  原來明尼蘇達的地方在華盛頓東南面
[00:01:44.240 --> 00:01:46.140]  有一個地方叫Fountain
[00:01:46.140 --> 00:01:50.100]  那裡是全美國Sinkhole最多的地方
[00:01:50.100 --> 00:01:51.120]  有一萬個
[00:01:51.120 --> 00:01:52.920]  不知道怎樣數
[00:01:52.920 --> 00:01:54.240]  有一萬個
[00:01:54.240 --> 00:01:58.660]  我們其實在生活上都有很多不同的災難
[00:01:58.660 --> 00:02:00.660]  不只是天然的災害
