
[00:00:00.000 --> 00:00:08.000]  近來,香港越來越多基督徒希望主耶穌早些回來
[00:00:08.000 --> 00:00:12.000]  因為他們覺得香港很亂,很不妥
[00:00:12.000 --> 00:00:19.000]  其實無論香港妥不妥,我們都應該盼望耶穌早些回來
[00:00:19.000 --> 00:00:23.000]  貼薩諾尼加教會就有這樣的盼望
[00:00:23.000 --> 00:00:27.000]  這很難得,因為教會很年輕,只有幾個月的歷史
[00:00:27.000 --> 00:00:33.000]  但他們就很認真的思考耶穌基督回來
[00:00:33.000 --> 00:00:38.000]  你有沒有這麼認真去思考,去等待耶穌基督回來呢?
[00:00:38.000 --> 00:00:42.000]  不過,這個教會的信徒有些誤解
[00:00:42.000 --> 00:00:50.000]  他們當中有些人就以為那些離開世界的信徒
[00:00:50.000 --> 00:00:57.000]  當耶穌基督回來的時候,他們就沒有機會參與這個盛事
[00:00:57.000 --> 00:01:03.000]  又有些信徒就擔心耶穌基督回來的時候自己不行
[00:01:03.000 --> 00:01:05.000]  你擔不擔心?
[00:01:05.000 --> 00:01:09.000]  一會兒你聽完這篇導讀,你就可以為自己做一個決定
[00:01:09.000 --> 00:01:12.000]  究竟你是應該擔心,還是不應該擔心
[00:01:12.000 --> 00:01:17.000]  保羅寫這封信給貼薩諾尼加的教會
[00:01:17.000 --> 00:01:20.000]  他有很清楚的,特別的強調
[00:01:20.000 --> 00:01:26.000]  把耶穌基督回來的真理告訴他們
[00:01:26.000 --> 00:01:30.000]  這封信已經寫了二千年
[00:01:30.000 --> 00:01:37.000]  今天,你和我面對的日子,就是耶穌基督回來很近的日子
[00:01:37.000 --> 00:01:42.000]  很多預兆都已經出現了
[00:01:42.000 --> 00:01:45.000]  所以我們今天要和大家思考這個問題
[00:01:45.000 --> 00:01:47.000]  這是一個相當嚴肅的問題
[00:01:47.000 --> 00:01:51.000]  基督回來的時候,有兩件事會馬上發生
[00:01:51.000 --> 00:01:53.000]  第一件事就是復活
[00:01:53.000 --> 00:01:56.000]  第二件事就是被提
[00:01:56.000 --> 00:01:59.000]  這兩件事都和你有切身關係
[00:01:59.000 --> 00:02:01.000]  所以我們要思考這件事
[00:02:01.000 --> 00:02:03.000]  什麼叫復活呢?
[00:02:03.000 --> 00:02:06.000]  剛才我們所讀的經文第四章第十三節
