
[00:00:00.000 --> 00:00:02.500]  各位電影姐妹大家平安
[00:00:02.500 --> 00:00:04.860]  又在愛靈修跟大家見面了
[00:00:04.860 --> 00:00:09.220]  這個是生命樹宣教網絡愛靈修的視頻
[00:00:09.220 --> 00:00:13.380]  非常抱歉 因為外出和那些地方
[00:00:13.380 --> 00:00:15.860]  或者身體都有些困難
[00:00:15.860 --> 00:00:17.900]  未能夠完成到
[00:00:17.900 --> 00:00:23.700]  按時完成到預俯期靈修四十天
[00:00:23.700 --> 00:00:25.660]  是差遠篇的
[00:00:25.660 --> 00:00:28.180]  我們現在繼續
[00:00:28.180 --> 00:00:30.760]  希望你上上敬拜 獨經禱告 默想
[00:00:30.760 --> 00:00:33.080]  為主而活 全道宣教
[00:00:33.080 --> 00:00:37.380]  拓展天國 後主在臨
[00:00:37.380 --> 00:00:40.700]  今天繼續回到第三十三天
[00:00:40.700 --> 00:00:43.420]  主耶穌在聖州的第十七
[00:00:43.420 --> 00:00:46.340]  就是最後的一個星期
[00:00:46.340 --> 00:00:50.660]  是講到世界末了的預兆
[00:00:50.660 --> 00:00:52.900]  我想大家的英文都很熟悉
[00:00:52.900 --> 00:00:57.420]  特別是來自《馬太福音》的第二十四章
[00:00:57.420 --> 00:00:59.740]  讓我們先禱告
[00:00:59.740 --> 00:01:02.340]  主耶穌我們今天研讀祢的話語
[00:01:02.340 --> 00:01:04.900]  祢自己講到祢再來的末
[00:01:04.900 --> 00:01:09.020]  和末世的預兆 末期的預兆
[00:01:09.020 --> 00:01:11.060]  我們就謙卑在祢面前等候
[00:01:11.060 --> 00:01:12.860]  求主教導我們
[00:01:12.860 --> 00:01:14.220]  祢的靈幫助我們
[00:01:14.220 --> 00:01:17.180]  去更有信心 更多的明白
[00:01:17.180 --> 00:01:18.940]  我們願意跟隨祢
[00:01:18.940 --> 00:01:21.220]  幫助我們 給我們堅忍
[00:01:21.220 --> 00:01:23.300]  給我們在這裏要小心
[00:01:23.300 --> 00:01:26.220]  垂聽祈求 奉耶穌名求 阿們
[00:01:28.420 --> 00:01:30.540]  聖經是這樣說的
[00:01:30.540 --> 00:01:33.820]  《馬太福音》二十四章第一節
[00:01:33.820 --> 00:01:37.980]  「耶穌出了聖殿正走的時候
[00:01:37.980 --> 00:01:42.820]  門徒進前來把殿羽紙給他看」
[00:01:42.820 --> 00:01:44.660]  大概你知道
[00:01:44.660 --> 00:01:46.100]  最後那個星期
[00:01:46.100 --> 00:01:48.740]  主耶穌大部分時間都在自己辦公室
[00:01:48.740 --> 00:01:50.220]  即是聖殿裏面
[00:01:50.220 --> 00:01:53.220]  神的兒子在聖殿裏面上班
[00:01:53.220 --> 00:01:58.140]  他在那裏講道、教訓、醫病等等
[00:01:58.140 --> 00:02:01.820]  這一天主耶穌由聖殿出來
[00:02:01.820 --> 00:02:06.140]  大概門徒就在外面等著祂
[00:02:06.140 --> 00:02:08.220]  主耶穌出來的時候
[00:02:08.220 --> 00:02:10.140]  門徒就馬上迎上來
[00:02:10.140 --> 00:02:16.060]  「哎呀!老師!老師!回望聖殿多麼宏偉啊!」
[00:02:16.060 --> 00:02:19.700]  怎料第二節嚇得他們跳起來
[00:02:19.700 --> 00:02:21.620]  個個馬上沒有聲音
[00:02:21.620 --> 00:02:26.820]  「耶穌對他們說:你們不是看見這殿羽嗎?
[00:02:26.820 --> 00:02:29.100]  我實在告訴你們
[00:02:29.100 --> 00:02:34.580]  將來在這裏沒有一塊石頭留在石頭上
