
[00:00:00.000 --> 00:00:07.000]  我們今天早上可以一同來到主的殿裏面,一同敬拜,或者一同低頭禱告。
[00:00:07.000 --> 00:00:16.000]  天父求你恩待我們每一位,照著你應許凡尋找的,你讓他們尋見。
[00:00:16.000 --> 00:00:19.000]  凡你等候你的人,必重新得力。
[00:00:19.000 --> 00:00:31.000]  激渴慕義的人,必得著飽足。願我們這個時刻,每一個人,我們的心思意念,我們口裏的言語,都能夠蒙月立。
[00:00:31.000 --> 00:00:35.000]  求你垂聽我們的禱告,奉耶穌明智祈求,阿們。
[00:00:35.000 --> 00:00:42.000]  感謝神今天早上可以在大家中間一同來敬拜神。
[00:00:42.000 --> 00:00:54.000]  今天和大家看若拿書,上個禮拜在周刊已經告訴大家,四章聖經,四十八節聖經。
[00:00:54.000 --> 00:00:59.000]  這個故事很短,我們一般都當它是宣教故事去看。
[00:00:59.000 --> 00:01:08.000]  這一次我為什麼會用這本書呢?因為我在一個月前和一間教會,他們在那裏經營,我去查考這本書。
[00:01:08.000 --> 00:01:21.000]  我愈看愈覺得,不單單是告訴我們去不去宣教的問題,因為這件事大家一聽就祈禱,奉獻,好像沒有什麼關係。
[00:01:21.000 --> 00:01:29.000]  愈看愈看到這個若拿這個人本身,聖經記載他,有人把若拿書當作是神話看,
[00:01:29.000 --> 00:01:37.000]  怎麼可能在大禹土福裏面三日三夜,但是在舊約列王記下有記載若拿這個名。
[00:01:37.000 --> 00:01:44.000]  耶穌基督有提過若拿這件事,所以這是千真萬確在歷史上的記載。
[00:01:44.000 --> 00:01:50.000]  那個歷史的發生大概是離開現在公元前,大概七百多年的時間。
[00:01:50.000 --> 00:01:59.000]  因為根據列王記下所記載,若拿出現的時候,猶大分了南北兩國之後,
[00:01:59.000 --> 00:02:12.000]  北面就是耶路撥安傳下去,傳到第十三代,第二個耶路撥安第二的時候,那個年份記載了若拿這個名字。
[00:02:12.000 --> 00:02:26.000]  那個時候到後來以色列,即是北角以色列被亞述攻陷,到後來就年年未滅亡,前後都是大概二百年裏面的事件發生。
[00:02:26.000 --> 00:02:34.000]  所以若拿是不知道為什麼,可能他只是單看目前沒有看將來,因為他不知道將來。
[00:02:34.000 --> 00:02:43.000]  如果若拿知道他在年年未成傳福音之後,結果大概五個六十年左右,
[00:02:43.000 --> 00:02:49.000]  耶路撥安在北角以色列被攻陷,我想若拿更激氣。
[00:02:49.000 --> 00:02:57.000]  但是他更加看到一件事情是看不到的,就是年年未成在他傳了福音之後,大概一百六十年,
[00:02:57.000 --> 00:03:07.000]  年年未成都被巴比利滅了。從那個歷史我看回的時候,我覺得老實說,我真的不知道明天會發生什麼事。
[00:03:07.000 --> 00:03:13.000]  不要說五十年後,不要說一百六十年後,我何必為那些事煩惱呢?
[00:03:13.000 --> 00:03:23.000]  但是若拿看到他目前國家的情況,所以他很激氣,因此如果你看過聖經都知道若拿的書是分開四章,
[00:03:23.000 --> 00:03:31.000]  這四章裏面我唯有簡化了它,因為這幾天眼睛不太妥,沒得做了。
[00:03:31.000 --> 00:03:42.000]  第一章是講若拿遺命,上帝叫他做,他就不做,逃避、躲避,這個故事你都知道了,
[00:03:42.000 --> 00:03:50.000]  第二章是講若拿禱告,看來祈禱一定是好事,你回去留心看這段禱文,
[00:03:50.000 --> 00:03:54.000]  你看完之後,如果跟著他這樣祈禱,你未必一定會蒙福的,
[00:03:54.000 --> 00:04:02.000]  你跟著他這樣做,最多是在肚裏面被魚吐出來,是不是蒙福是另外一回事情。
[00:04:02.000 --> 00:04:14.000]  第三章就可以聽命,遵命去做了,不過這個做不做你心中有數,
[00:04:14.000 --> 00:04:22.000]  你未成大概要六十公里周圍,要圍一圈,要三天,他一天就搞定了。
[00:04:22.000 --> 00:04:35.000]  到最後我就叫做若拿求死,其實他不是最後求死,他在船上已經想死了,
[00:04:35.000 --> 00:04:42.000]  這個才是好事,你叫我做我就不做,大不了就死了,大不了就死了,
