
[00:00:00.000 --> 00:00:02.280]  由我們低頭禱告,我們交給上帝
[00:00:02.280 --> 00:00:06.920]  天父,我們多謝祢,因為在生命裏面
[00:00:06.920 --> 00:00:09.240]  我們經歷到祢的言語的實在
[00:00:09.240 --> 00:00:10.600]  祢的說話是真實的
[00:00:10.600 --> 00:00:12.120]  我們求主祢幫助我們
[00:00:12.120 --> 00:00:13.440]  由我們今天
[00:00:13.440 --> 00:00:15.440]  縱使是風雷雨電
[00:00:15.440 --> 00:00:16.560]  但我們知道
[00:00:16.560 --> 00:00:17.720]  我們的內心
[00:00:17.720 --> 00:00:20.080]  仍然因為祢的話語而得著平安
[00:00:20.080 --> 00:00:21.680]  我願上帝祢幫助我們
[00:00:21.680 --> 00:00:23.440]  願祢的聖靈臨到我們中間
[00:00:23.440 --> 00:00:24.320]  多謝耶穌
[00:00:24.320 --> 00:00:26.440]  聽我們祈禱,靠耶穌基督聖靈
[00:00:26.440 --> 00:00:27.800]  阿們
[00:00:28.720 --> 00:00:30.040]  二創亞書
[00:00:30.040 --> 00:00:32.480]  一說到二創亞書
[00:00:32.480 --> 00:00:35.920]  林牧師、黃牧師
[00:00:35.920 --> 00:00:38.640]  我們都經歷過一些很好的老師教導我們
[00:00:38.640 --> 00:00:39.960]  一說到二創亞書
[00:00:39.960 --> 00:00:41.400]  我們又想起李自昌博士
[00:00:41.400 --> 00:00:43.480]  李自昌博士經常告訴我們
[00:00:43.480 --> 00:00:45.800]  二創亞書分了三個部分
[00:00:45.800 --> 00:00:47.640]  一個部分就是一到…
[00:00:47.640 --> 00:00:48.920]  林牧師記不記得?
[00:00:48.920 --> 00:00:51.200]  是,三十九章
[00:00:51.200 --> 00:00:52.400]  其實我記得的
[00:00:52.400 --> 00:00:56.000]  接著就是四十到五十五
[00:00:56.000 --> 00:00:57.200]  黃牧師多快
[00:00:57.200 --> 00:00:59.320]  然後就是五十六到六十六
[00:00:59.320 --> 00:01:00.080]  三個部分
