
[00:00:00.000 --> 00:00:03.720]  阿Sam係一間貿易公司嘅營業經理
[00:00:03.720 --> 00:00:07.400]  呢日佢就發咗個電郵俾老闆
[00:00:07.400 --> 00:00:09.720]  佢話下個月呢
[00:00:09.720 --> 00:00:11.560]  係歐洲有一個大客
[00:00:11.560 --> 00:00:13.320]  攞一大批訂單
[00:00:13.320 --> 00:00:14.640]  所以我覺得呢個時間
[00:00:14.640 --> 00:00:17.280]  我應該先飛去歐洲同佢開會
[00:00:17.280 --> 00:00:19.120]  傾妥曬一切嘅細節
[00:00:19.120 --> 00:00:20.520]  咁樣先至穩陣
[00:00:20.520 --> 00:00:22.160]  請你批准
[00:00:22.160 --> 00:00:23.560]  老闆就
[00:00:23.560 --> 00:00:24.720]  複咗個電郵俾佢
[00:00:24.720 --> 00:00:25.920]  有幾個英文字
[00:00:25.920 --> 00:00:27.160]  Go ahead
[00:00:27.160 --> 00:00:28.280]  大家都知道
[00:00:28.280 --> 00:00:29.400]  虛馬
[00:00:29.400 --> 00:00:32.600]  於是阿Sam就開始訂機票去歐洲
[00:00:32.600 --> 00:00:34.000]  臨出發之前嗰日
[00:00:34.000 --> 00:00:35.720]  老闆嘅私人助理嚟搵阿Sam
[00:00:35.720 --> 00:00:36.440]  喂阿Sam
[00:00:36.440 --> 00:00:38.400]  你訂機票去歐洲做乜嘢呀
[00:00:38.400 --> 00:00:40.200]  同歐洲個大客開會囉
[00:00:40.200 --> 00:00:41.400]  老闆批咗㗎啦
[00:00:41.400 --> 00:00:42.400]  梗係老闆批咗啦
[00:00:42.400 --> 00:00:43.240]  嚟睇下個電郵
[00:00:43.240 --> 00:00:45.120]  佢寫住Go ahead
[00:00:45.120 --> 00:00:46.600]  唉
[00:00:46.600 --> 00:00:48.160]  你係公司咁耐
[00:00:48.160 --> 00:00:49.600]  都唔係唔知
[00:00:49.600 --> 00:00:52.000]  老闆啲英文程度幾差㗎啦
[00:00:52.000 --> 00:00:52.920]  吓
[00:00:52.920 --> 00:00:54.040]  咁佢咩意思呀
[00:00:54.040 --> 00:00:55.760]  佢話虛你個頭呀
[00:00:59.800 --> 00:01:02.600]  我相信每一位打工仔呢
[00:01:02.600 --> 00:01:05.720]  你都知道你老闆係邊個係咪
[00:01:05.720 --> 00:01:09.000]  但係人生嘅老闆又係邊個呢
[00:01:09.000 --> 00:01:11.040]  咩叫人生嘅老闆呢
[00:01:11.040 --> 00:01:14.800]  人生嘅老闆就係掌管你生命主權嘅人
[00:01:14.800 --> 00:01:17.920]  亦都係你人生嘅話事人
[00:01:17.920 --> 00:01:18.800]  艇姐妹
[00:01:18.800 --> 00:01:20.920]  今日聲明都問我哋
[00:01:20.920 --> 00:01:23.680]  你嘅人生老闆係邊個呢
[00:01:23.680 --> 00:01:25.080]  係你自己呀
[00:01:25.080 --> 00:01:26.920]  抑或神呢
[00:01:26.920 --> 00:01:29.840]  喺春街夾記裏面記載一班嘅以色列人
[00:01:29.840 --> 00:01:32.200]  好大班幾百萬人
[00:01:32.200 --> 00:01:33.560]  呢班嘅以色列人
[00:01:33.560 --> 00:01:36.680]  邊個先係佢哋嘅人生嘅老闆呢
[00:01:36.680 --> 00:01:38.560]  佢哋覺得係自己呀
[00:01:38.560 --> 00:01:40.560]  點解佢哋會咁樣諗呢
[00:01:40.560 --> 00:01:42.520]  佢哋咁樣諗咁樣做
[00:01:42.520 --> 00:01:46.320]  又帶嚟佢哋人生裏面有啲咩後果呢
[00:01:46.320 --> 00:01:50.040]  我哋嘅神對呢一班嘅人嘅心又係點樣呢
[00:01:50.040 --> 00:01:52.240]  神又點樣幫助呢一班以色列人
[00:01:52.240 --> 00:01:53.880]  可能今日都幫助我哋
[00:01:53.880 --> 00:01:57.320]  佢點樣喺人生裏面去生命成長
[00:01:57.320 --> 00:02:01.320]  對於今日嘅我哋有咩功課要學習呢
[00:02:01.320 --> 00:02:05.040]  讓我哋艇姐妹一齊進入去出埃及記
[00:02:05.040 --> 00:02:09.080]  點解人要做自己人生嘅老闆呢
[00:02:09.080 --> 00:02:11.600]  因為人等唔切
[00:02:11.600 --> 00:02:13.080]  唔肯等
[00:02:13.080 --> 00:02:16.320]  有好多解經家認為出埃及記裏面
[00:02:16.320 --> 00:02:20.280]  神一共有八次呼召摩西上西乃山
[00:02:20.280 --> 00:02:21.840]  上呢個山做乜嘢呢
[00:02:21.840 --> 00:02:24.840]  領受十誡 領受律法
[00:02:24.840 --> 00:02:29.280]  領受點樣去建造呢個會幕嘅方式
[00:02:29.280 --> 00:02:32.880]  去領受設立呢個祭司嘅制度
[00:02:32.880 --> 00:02:37.480]  當上帝第六次呼召摩西上西乃山嘅時間
[00:02:37.480 --> 00:02:41.200]  摩西一去就去咗四十日
[00:02:41.200 --> 00:02:43.280]  山下面嗰班以色列人
[00:02:43.280 --> 00:02:45.080]  等吓有一日
[00:02:45.080 --> 00:02:46.560]  等吓有一日
[00:02:46.560 --> 00:02:48.000]  開頭臥高個頭等
[00:02:48.000 --> 00:02:50.400]  跟住就踩起條腰
[00:02:50.400 --> 00:02:54.400]  搓起個腮嚟等
[00:02:54.400 --> 00:02:55.560]  等吓一日
[00:02:55.560 --> 00:02:58.240]  開始有啲唔耐煩
[00:02:58.240 --> 00:03:00.840]  喂 你同摩西上咗山
[00:03:00.840 --> 00:03:02.000]  一日又一日
[00:03:02.000 --> 00:03:03.080]  去咗邊呢
[00:03:03.080 --> 00:03:05.760]  好似人好似消失咗
[00:03:05.760 --> 00:03:07.920]  人間蒸發咗咁樣
[00:03:07.920 --> 00:03:09.200]  電話都冇過
[00:03:09.200 --> 00:03:10.560]  超級唔啱
[00:03:10.560 --> 00:03:11.680]  究竟佢去咗邊呢
[00:03:11.680 --> 00:03:13.160]  唔到佢較左腳
[00:03:13.160 --> 00:03:14.840]  喂 帶咗我嚟呢度
[00:03:14.840 --> 00:03:17.160]  較左腳走咗去
[00:03:17.160 --> 00:03:18.600]  咁我哋點算呀
[00:03:18.600 --> 00:03:20.480]  於是呢班人驚起上嚟
[00:03:20.480 --> 00:03:22.560]  唔等摩西落山呀
[00:03:22.560 --> 00:03:23.800]  等都無謂呀
[00:03:23.800 --> 00:03:25.160]  行動最實際呀
[00:03:25.160 --> 00:03:27.440]  於是就搵咗個人
[00:03:27.440 --> 00:03:30.400]  代替摩西成為佢哋嘅領袖呀
[00:03:30.400 --> 00:03:31.280]  呢個人係邊個呢
[00:03:31.280 --> 00:03:33.240]  就係摩西個哥阿倫
[00:03:33.240 --> 00:03:35.040]  我一齊睇睇《春海急記》
[00:03:35.040 --> 00:03:36.600]  三十二章一節
[00:03:36.600 --> 00:03:37.320]  我一齊讀吓
[00:03:37.320 --> 00:03:38.440]  一二三
[00:03:38.440 --> 00:03:41.680]  百姓見摩西言辭不下山
[00:03:41.680 --> 00:03:44.760]  就大家聚集到阿倫那裡
[00:03:44.760 --> 00:03:45.840]  對他說
[00:03:45.840 --> 00:03:48.800]  起來為他們做神像
[00:03:48.800 --> 00:03:51.560]  可以在我們前面引路
[00:03:51.560 --> 00:03:55.800]  因為領我來出埃及地的哪個摩西
[00:03:55.800 --> 00:03:59.720]  我們不知道他遭了什麼事
[00:03:59.720 --> 00:04:01.240]  乜嘢係等候呢
[00:04:01.240 --> 00:04:03.320]  其實等候係好重要嘅意思
[00:04:03.320 --> 00:04:05.280]  等候係代表
[00:04:05.280 --> 00:04:08.680]  我哋將我哋人生嘅主權交畀神
[00:04:08.680 --> 00:04:10.120]  由神帶領我哋
[00:04:10.120 --> 00:04:11.400]  由神掌管
[00:04:11.400 --> 00:04:12.760]  由神話事
[00:04:12.760 --> 00:04:15.120]  呢個係一個學習嘅過程
[00:04:15.120 --> 00:04:16.200]  等候神
[00:04:16.200 --> 00:04:18.320]  係一個人生嘅學習過程
[00:04:18.320 --> 00:04:19.800]  但係我哋都知道
[00:04:19.800 --> 00:04:21.400]  我哋好多時間都好懸殃
[00:04:21.400 --> 00:04:22.680]  我哋唔肯等
[00:04:22.680 --> 00:04:23.240]  等唔切
[00:04:23.240 --> 00:04:24.480]  特別我哋香港人
