
[00:00:00.000 --> 00:00:02.240]  所以今年都不容易過
[00:00:02.240 --> 00:00:05.000]  是不是啊 反反覆覆 起起落落
[00:00:05.000 --> 00:00:06.120]  又好像好了一點
[00:00:06.120 --> 00:00:09.280]  誰知道又一波又一波這樣
[00:00:09.280 --> 00:00:11.480]  但是 眨下眼
[00:00:11.480 --> 00:00:13.440]  2020年
[00:00:13.440 --> 00:00:15.600]  過多幾天就12月了
[00:00:15.600 --> 00:00:17.600]  我仍然深信
[00:00:17.600 --> 00:00:20.320]  難關難過 關關過
[00:00:20.320 --> 00:00:24.200]  我們希望能夠神的恩典繼續與我們同在
[00:00:24.200 --> 00:00:26.000]  一踏入12月呢
[00:00:26.000 --> 00:00:28.600]  當我想起聖誕中
[00:00:28.600 --> 00:00:30.080]  對於香港人來說
[00:00:30.080 --> 00:00:31.360]  想起什麼
[00:00:31.360 --> 00:00:34.440]  買一隻香港的股票
[00:00:34.440 --> 00:00:36.160]  但是深想這隻股票
[00:00:36.160 --> 00:00:38.600]  我想想百年的基業在香港
[00:00:38.600 --> 00:00:40.440]  原先很蓬勃
[00:00:40.440 --> 00:00:42.960]  對好幾代的香港人來說
[00:00:42.960 --> 00:00:47.800]  都是不捨不棄 又愛又恨
[00:00:47.800 --> 00:00:51.080]  原先以爲是無數一代一代的人
[00:00:51.080 --> 00:00:52.440]  後顧無憂
[00:00:52.440 --> 00:00:59.280]  愛來真是靠它可以不用擔心的一樣東西
[00:00:59.280 --> 00:01:01.160]  結果 結果是怎樣呢
[00:01:01.160 --> 00:01:03.920]  今年大家可能都經歷到
[00:01:03.920 --> 00:01:05.720]  但是不知道
[00:01:05.720 --> 00:01:08.480]  狀況將來是怎樣 大家都不知道
[00:01:08.480 --> 00:01:10.520]  讓我想到的時候是
[00:01:10.520 --> 00:01:15.120]  真的在世上沒有一樣東西是永恆又靠得住的
[00:01:15.120 --> 00:01:18.240]  更加讓我想起的時候就是希伯來書所講
[00:01:18.240 --> 00:01:20.640]  感恩我們有耶穌
[00:01:20.640 --> 00:01:26.320]  耶穌是昨日今日一直到永遠都是一樣的
[00:01:26.320 --> 00:01:27.920]  所以聖誕節
[00:01:27.920 --> 00:01:29.600]  所以聖誕鐘響起
[00:01:29.600 --> 00:01:31.200]  對於我們一班基督徒來說
[00:01:31.200 --> 00:01:32.160]  我們都是香港人
[00:01:32.160 --> 00:01:36.120]  雖然留下那些投資顧問和你們說買不買
[00:01:36.120 --> 00:01:39.560]  但是聖誕鍾我想起的更加是
[00:01:39.560 --> 00:01:41.560]  我們要齊歌頌
