
[00:00:00.000 --> 00:00:09.500]  在這裏跟大家拜個年,祝大家新年快樂,身體健康,靈性興黃,新年進步!
[00:00:09.500 --> 00:00:12.500]  講到進步,今年是什麼年?
[00:00:12.500 --> 00:00:24.500]  兔呢,通常代表跳躍和躍進,兔子跳得很快,向前邁進。
[00:00:24.500 --> 00:00:29.500]  希望大家今年都像兔子一樣,新年進步,特飛猛進!
[00:00:29.500 --> 00:00:32.000]  有活潑的靈性。
[00:00:32.000 --> 00:00:39.500]  不知道你們小時候有沒有記得,我大概想起幼稚園。
[00:00:39.500 --> 00:00:44.500]  老師通常讚賞,做得好,功課交得好,這樣會吸個癮。
[00:00:44.500 --> 00:00:46.500]  吸個什麼?
[00:00:46.500 --> 00:00:49.500]  你們也是這樣?
[00:00:49.500 --> 00:00:58.500]  希望我們今年比神多多吸癮,吸多些兔子的癮,也像兔子一樣。
[00:00:59.500 --> 00:01:02.500]  能夠一路躍進。
[00:01:02.500 --> 00:01:11.500]  講到躍進,我們繼續講《老家福音》,就是講到耶穌基督的成長。
[00:01:11.500 --> 00:01:20.500]  希望我們都像基督一樣,能夠在今年裏面一起躍進成長。
[00:01:21.500 --> 00:01:33.500]  這段聖經很特別,因爲只有聖經中唯一一段記載耶穌從童年少年成長的記載。
[00:01:33.500 --> 00:01:42.500]  我們一起讀一讀我們很熟悉的經文,重新再次溫習,也一起提醒學象基督的成長。
[00:01:42.500 --> 00:01:48.500]  《老家福音》第二章40到52節,我們同聲讀出,好嗎?
[00:01:48.500 --> 00:01:50.500]  請大家一起讀。
[00:01:50.500 --> 00:01:59.500]  孩子漸漸長大,強健起來,充滿智慧,又有上帝的恩在他身上。
[00:01:59.500 --> 00:02:05.500]  每年到如月節,他父母就上耶路撒冷去。
[00:02:05.500 --> 00:02:13.500]  當他十二歲的時候,他們按着節期的規矩上去。
[00:02:14.500 --> 00:02:25.500]  手滿了節期,他們回去,還與耶穌仍舊在耶路撒冷,他的父母並不知道。
[00:02:25.500 --> 00:02:35.500]  以爲他在同行的人中間,走了一天的路程,就在親族和熟悉的人中找他。
[00:02:35.500 --> 00:02:40.500]  既找不着,就回耶路撒冷去找他。
[00:02:41.500 --> 00:02:50.500]  過了三天,就遇見他在殿裏,坐在教師中間,一邊聽,一邊聞。
[00:02:50.500 --> 00:02:56.500]  凡聽見他的都稀奇,他的聰明,和他的應對。
[00:02:56.500 --> 00:03:03.500]  他父母看見就很稀奇,他母親對他說:
[00:03:03.500 --> 00:03:11.500]  我兒,爲什麼向我們這樣行呢?看我父親和我傷心來找你。
[00:03:11.500 --> 00:03:19.500]  耶穌說:爲什麼找我呢?豈不知我應當以我父的事爲念嗎?
[00:03:19.500 --> 00:03:23.500]  他所說的這話,他們不明白。
[00:03:23.500 --> 00:03:30.500]  他就和他們下去,回到撒冷,並且信從他們。
[00:03:31.500 --> 00:03:36.500]  他母親把這一切的事都存在心裏。
[00:03:36.500 --> 00:03:49.500]  耶穌的智慧和新良,並上帝和人喜愛他的心,都一起增長。
