
[00:00:00.000 --> 00:00:03.480]  今日是教會所定的聖誕主日
[00:00:03.480 --> 00:00:07.440]  已經達到十二月份
[00:00:07.440 --> 00:00:09.560]  即將到來的二十五日
[00:00:09.560 --> 00:00:13.000]  我們亦有聖誕歌頌崇拜
[00:00:13.000 --> 00:00:14.040]  除此之外
[00:00:14.040 --> 00:00:20.080]  大家有沒有其他聖誕活動的安排?
[00:00:20.080 --> 00:00:26.680]  我覺得小時候最期望的其中一個就是學校
[00:00:26.680 --> 00:00:30.360]  學校通常都有一段時間考試
[00:00:30.360 --> 00:00:31.480]  考完試之後
[00:00:31.480 --> 00:00:35.040]  那一天可能是二十三日或二十二日
[00:00:35.040 --> 00:00:37.320]  就是聖誕聯歡會
[00:00:37.320 --> 00:00:40.600]  大家有沒有參加過學校的聖誕聯歡會?
[00:00:40.600 --> 00:00:41.480]  有吧?
[00:00:41.480 --> 00:00:45.360]  聖誕聯歡會你最喜歡哪個節目?
[00:00:45.360 --> 00:00:47.160]  抽獎?
[00:00:47.160 --> 00:00:49.520]  沒有,有獎要抽
[00:00:49.520 --> 00:00:50.720]  有沒有其他?
[00:00:50.720 --> 00:00:51.800]  有些人說吃東西
[00:00:51.800 --> 00:00:53.840]  我們就交換禮物
[00:00:53.840 --> 00:00:55.880]  交換禮物,要帶份禮物回來
[00:00:55.880 --> 00:00:57.800]  不過都是要抽的
[00:00:57.800 --> 00:00:59.200]  很開心的交換禮物
[00:00:59.200 --> 00:01:01.720]  因為都期待那份禮物
[00:01:01.720 --> 00:01:03.760]  抽了些甚麼回來呢?
[00:01:03.760 --> 00:01:09.560]  我們教會同工都會有一些聖誕聯歡
[00:01:09.560 --> 00:01:11.520]  我跟公公說會不會有交換禮物
[00:01:11.520 --> 00:01:13.120]  每個人都耍手拎頭
[00:01:13.120 --> 00:01:15.520]  因為都覺得
[00:01:15.520 --> 00:01:18.080]  有時都很怕拿些禮物都不合用
[00:01:18.080 --> 00:01:21.080]  還有我們都很物質豐富
[00:01:21.080 --> 00:01:23.880]  其實自己喜歡買甚麼就好了
[00:01:23.880 --> 00:01:26.120]  有些禮物太多
[00:01:26.120 --> 00:01:29.200]  最近我都在收拾房間
[00:01:29.200 --> 00:01:32.000]  都發覺大大小小的禮物在那裏
[00:01:32.000 --> 00:01:34.800]  有時擺設都擺不完
[00:01:34.800 --> 00:01:36.000]  書架都不是很多
[00:01:36.000 --> 00:01:37.200]  擺不到那麼多出來
[00:01:37.200 --> 00:01:39.760]  就擺在櫃裏面
[00:01:39.760 --> 00:01:42.440]  但是聖誕節交換禮物
[00:01:42.440 --> 00:01:45.720]  雖然都是一個很好的還義
[00:01:45.720 --> 00:01:49.720]  但其實都很有神學的意思在裏面
[00:01:49.720 --> 00:01:52.160]  曾經有個神學家就說
[00:01:52.160 --> 00:01:55.960]  交換禮物真的是聖誕節
[00:01:55.960 --> 00:02:00.880]  或者是神帶來給我們的活動
[00:02:00.880 --> 00:02:04.960]  原來這個禮物就是從天而來
[00:02:04.960 --> 00:02:09.760]  就是神賜下的獨生子賜給我們
[00:02:09.760 --> 00:02:11.000]  成為一個禮物
[00:02:11.000 --> 00:02:12.160]  賜給我們人類
[00:02:12.160 --> 00:02:13.800]  就是主耶穌基督
[00:02:13.800 --> 00:02:19.120]  但同時我們有些禮物送給我們的神
[00:02:19.120 --> 00:02:22.840]  就像羅馬書十二章所說
[00:02:22.840 --> 00:02:25.400]  我們將身體獻上
[00:02:25.400 --> 00:02:27.640]  當作活祭獻給神
[00:02:27.640 --> 00:02:29.200]  是一個交換禮物
[00:02:29.200 --> 00:02:32.400]  當然這個都是因為我們每個信徒
[00:02:32.400 --> 00:02:34.120]  得到這個救恩之後
[00:02:34.120 --> 00:02:38.800]  我們自己都知道可以這樣去回報我們的神
[00:02:38.800 --> 00:02:40.680]  將我們全人獻上
[00:02:40.680 --> 00:02:43.200]  今天在聖誕主日裏面
[00:02:43.200 --> 00:02:44.680]  我和大家分享一個題目
[00:02:44.680 --> 00:02:47.040]  叫「從上而來的平安」
[00:02:47.040 --> 00:02:51.880]  這個都是在當時來說
[00:02:51.880 --> 00:02:55.280]  昔日以色列地都是大地一片黑暗
[00:02:55.280 --> 00:02:57.080]  所謂黑暗就是在說
[00:02:57.080 --> 00:03:01.880]  他們在一個好像沒有什麼前景的方向
[00:03:01.880 --> 00:03:05.160]  因為他們已經先後南國、北國
