
[00:00:00.000 --> 00:00:04.260]  彼得這個人經歷神對他生命的改變
[00:00:04.260 --> 00:00:07.000]  以致他到死仍然忠心
[00:00:07.000 --> 00:00:09.700]  甚至他影響著很多不同的人
[00:00:09.700 --> 00:00:12.660]  成為教會的盤石
[00:00:12.660 --> 00:00:14.200]  弟兄姊妹
[00:00:14.200 --> 00:00:19.160]  今天和大家分享這一卷書
[00:00:19.160 --> 00:00:20.660]  希伯來書
[00:00:20.660 --> 00:00:22.360]  希伯來書的寫作背景
[00:00:22.360 --> 00:00:25.460]  講述當時有很多基督徒
[00:00:25.460 --> 00:00:28.360]  面對著不同類型的逼迫
[00:00:28.360 --> 00:00:34.500]  有些基督徒甚至不相信基督教
[00:00:34.500 --> 00:00:36.800]  相信猶太教
[00:00:36.800 --> 00:00:40.360]  所以希伯來書作者從祭司的積分
[00:00:40.360 --> 00:00:43.460]  憲制的角度證明基督是超越的
[00:00:43.460 --> 00:00:44.760]  基督是很強的
[00:00:44.760 --> 00:00:49.200]  基督教的信仰比其他猶太教的信仰更強更優越
[00:00:49.200 --> 00:00:52.600]  這就是希伯來書想告訴我們
[00:00:52.600 --> 00:00:55.300]  今天我們做基督徒
[00:00:55.300 --> 00:00:58.300]  我們在柏斯甚至在這個世界
[00:00:58.300 --> 00:01:00.300]  大部分我們所經歷到的
[00:01:00.300 --> 00:01:03.900]  都不是一些很大的逼迫
[00:01:03.900 --> 00:01:06.900]  但是我們在這個世界裡面
[00:01:06.900 --> 00:01:09.000]  我們面對著很多引誘
[00:01:09.000 --> 00:01:10.600]  很多試探
[00:01:10.600 --> 00:01:15.200]  叫我們離開愛我們的主耶穌基督
[00:01:15.200 --> 00:01:17.300]  這是真實的
[00:01:17.300 --> 00:01:19.400]  希伯來書第三章
[00:01:19.400 --> 00:01:24.400]  重新一次講到以色列人以前的黑歷史
[00:01:24.400 --> 00:01:26.400]  以色列人出名什麼
[00:01:26.400 --> 00:01:28.300]  不聽話
[00:01:28.300 --> 00:01:31.300]  以色列人不聽話背叛神
[00:01:31.300 --> 00:01:33.700]  所以他們舊過一輩
[00:01:33.700 --> 00:01:35.100]  很多就死在曠野
[00:01:35.100 --> 00:01:38.600]  進不了迦蘭安息的地方
[00:01:38.600 --> 00:01:42.500]  在剛才主席和大家一起讀的十二至十四節
[00:01:42.500 --> 00:01:45.400]  作者再一次將以色列人這一段的歷史
[00:01:45.400 --> 00:01:47.000]  這個經驗引用出來
[00:01:47.000 --> 00:01:49.700]  對當時希伯來書的作者講
[00:01:49.700 --> 00:01:51.900]  特別他們面對一些不信
[00:01:51.900 --> 00:01:56.300]  帶來一些什麼威脅有什麼危險
[00:01:56.300 --> 00:01:58.500]  今天我們的主題是
[00:01:58.500 --> 00:02:00.900]  團契高跌爬
[00:02:00.900 --> 00:02:02.000]  團契
[00:02:02.000 --> 00:02:04.300]  我們面對這個世界的引誘
[00:02:04.300 --> 00:02:06.800]  教會作為一個信仰的群體
[00:02:06.800 --> 00:02:09.800]  我們今天不只是一個人或者一個小組
[00:02:09.800 --> 00:02:13.000]  我們整個教會作為一個信仰的群體
[00:02:13.000 --> 00:02:16.200]  我們如何能夠靠著一位這麼厲害的
[00:02:16.200 --> 00:02:18.900]  這麼厲害這麼超越的耶穌基督
[00:02:18.900 --> 00:02:21.000]  去勝過這些引誘試探
[00:02:21.000 --> 00:02:23.200]  直到我們死的時候
[00:02:23.200 --> 00:02:25.800]  我們仍然可以堅信
