
[00:00:00.000 --> 00:00:06.000]  丁子梅平安
[00:00:06.000 --> 00:00:08.000]  我想如果你有參加晨島
[00:00:08.000 --> 00:00:10.000]  你跟隨教會晨島的腳步的話
[00:00:10.000 --> 00:00:12.000]  我們在過去一個多月的時間
[00:00:12.000 --> 00:00:14.000]  直到今天剛好我們讀完了
[00:00:14.000 --> 00:00:18.000]  使徒行傳的28章的經文
[00:00:18.000 --> 00:00:20.000]  真的鼓勵大家跟我們一起參與到
[00:00:20.000 --> 00:00:22.000]  晨島和一起讀經的行列
[00:00:22.000 --> 00:00:23.000]  疫情期間我們讀完了
[00:00:23.000 --> 00:00:25.000]  好幾卷寶貴的書信了
[00:00:25.000 --> 00:00:28.000]  所以鼓勵大家還有機會
[00:00:28.000 --> 00:00:30.000]  一起來參加
[00:00:30.000 --> 00:00:33.000]  一起來跟我們讀聖經
[00:00:33.000 --> 00:00:35.000]  領受神的信息
[00:00:35.000 --> 00:00:37.000]  今天是使徒行傳的最後一章
[00:00:37.000 --> 00:00:39.000]  但是我很希望
[00:00:39.000 --> 00:00:41.000]  從整個使徒行傳當中跟大家分享
[00:00:41.000 --> 00:00:43.000]  但是我今天挑了一個核心的人物
[00:00:43.000 --> 00:00:44.000]  就是保羅
[00:00:44.000 --> 00:00:45.000]  首先我們要看一下
[00:00:45.000 --> 00:00:48.000]  整個使徒行傳的分段
[00:00:48.000 --> 00:00:49.000]  講到最後一章了
[00:00:49.000 --> 00:00:50.000]  再講分段有一點晚
[00:00:50.000 --> 00:00:53.000]  但是我想明白這個分段
[00:00:53.000 --> 00:00:55.000]  對我們瞭解整本使徒行傳
[00:00:55.000 --> 00:00:58.000]  或者是教會的復興非常有意義
[00:00:58.000 --> 00:00:59.000]  非常重要
[00:00:59.000 --> 00:01:01.000]  使徒行傳最簡單的一種
[00:01:01.000 --> 00:01:03.000]  簡單粗暴的一種分法
[00:01:03.000 --> 00:01:04.000]  就叫做一刀兩斷
[00:01:04.000 --> 00:01:06.000]  使徒行傳顧名思義
[00:01:06.000 --> 00:01:07.000]  就是講使徒的
[00:01:07.000 --> 00:01:09.000]  但是他不是講12個使徒
