
[00:00:00.000 --> 00:00:03.000]  各位電影姊妹 各位朋友 早安
[00:00:03.000 --> 00:00:10.000]  今日我的講題是成為好man的父親
[00:00:10.000 --> 00:00:13.000]  不知道大家怎樣去解讀好man
[00:00:13.000 --> 00:00:17.000]  記得若干年前我在學校教書的時候
[00:00:17.000 --> 00:00:21.000]  如果碰著課堂的時間是跟著小息的話
[00:00:21.000 --> 00:00:25.000]  我就很喜歡在小息未完的時候就入定課室
[00:00:25.000 --> 00:00:32.000]  帶上雜作和教具 順便可以跟學生自然地聊天
[00:00:32.000 --> 00:00:36.000]  有一次在小息未完結的時候
[00:00:36.000 --> 00:00:38.000]  我入了一個六年級的課室
[00:00:38.000 --> 00:00:42.000]  在教員枱上整理了自己要用的東西
[00:00:42.000 --> 00:00:45.000]  這個時候有一個男學生走過來
[00:00:45.000 --> 00:00:48.000]  一隻手握著拳頭托著腮
[00:00:48.000 --> 00:00:50.000]  另一隻手插著腰
[00:00:50.000 --> 00:00:53.000]  好像很有型地問我
[00:00:53.000 --> 00:00:57.000]  陳姑娘 你覺得我夠不夠man
[00:00:57.000 --> 00:01:01.000]  我看這個十一、二歲的男生
[00:01:01.000 --> 00:01:03.000]  也不知道給他什麼反應
[00:01:03.000 --> 00:01:07.000]  接著他就說 我求婚成功了
[00:01:07.000 --> 00:01:10.000]  耶 就舉起了V字手勢
[00:01:10.000 --> 00:01:14.000]  我就很好奇地問他 你跟誰求婚
[00:01:14.000 --> 00:01:18.000]  他就很大方又不害羞地說了一個女同學的名字
[00:01:18.000 --> 00:01:22.000]  這個時候上課的鐘聲就響了
[00:01:22.000 --> 00:01:27.000]  其他的學生就湧進課室 預備上課
[00:01:27.000 --> 00:01:29.000]  我跟他的對話就結束了
[00:01:29.000 --> 00:01:33.000]  之後當然我們做老師當然會跟進這件事
[00:01:33.000 --> 00:01:37.000]  我想對於這個小小的男生來說
[00:01:37.000 --> 00:01:39.000]  原來求婚成功是很man的
[00:01:39.000 --> 00:01:42.000]  當時在教員室裏面
[00:01:42.000 --> 00:01:44.000]  我們已經有些老師回應
[00:01:44.000 --> 00:01:47.000]  班主任就說 他當然不夠man
[00:01:47.000 --> 00:01:49.000]  成了那些欠交功課的
[00:01:49.000 --> 00:01:51.000]  沒有責任感 怎會man呢
[00:01:52.000 --> 00:01:55.000]  有人認為很man就是很有男子氣概
[00:01:55.000 --> 00:01:58.000]  包括堅強 有責任感
