
[00:00:00.000 --> 00:00:04.760]  好,今天會和大家繼續看耶穌登山變象
[00:00:04.760 --> 00:00:06.980]  我們上次就看了三人行
[00:00:06.980 --> 00:00:13.260]  就說到耶穌帶著彼得、雅各、約翰上山
[00:00:13.260 --> 00:00:17.260]  那是否耶穌偏心特別帶這三個人上去呢?
[00:00:17.260 --> 00:00:20.600]  其他九個門徒就在山下面,是嗎?
[00:00:20.600 --> 00:00:24.180]  那我們在上一次大家就看回
[00:00:24.180 --> 00:00:27.320]  如果你沒有參加的時候,你可以上網
[00:00:27.320 --> 00:00:31.460]  就是在YouTube裡面,我已經把那個片段放上去了
[00:00:31.460 --> 00:00:34.960]  今天我們就會看「變臉」的正傳
[00:00:34.960 --> 00:00:37.960]  真的看到耶穌登山變象
[00:00:37.960 --> 00:00:41.560]  好,那我們先來看馬太福音
[00:00:41.560 --> 00:00:45.820]  第17章的第一到第三節,好嗎?
[00:00:45.820 --> 00:00:48.520]  好,我們請到Doris和我們讀出,好嗎?
[00:00:48.520 --> 00:00:49.520]  OK
[00:00:49.520 --> 00:00:50.780]  如果你要六天
[00:00:50.780 --> 00:00:55.820]  耶穌帶著彼得、雅各和雅各的兄弟約翰
[00:00:55.820 --> 00:00:57.820]  黯黯的上了高山
[00:00:57.820 --> 00:01:00.820]  就在他們面前變了形象
[00:01:00.820 --> 00:01:03.560]  這面明月如日頭
[00:01:03.560 --> 00:01:09.060]  以上跌白如光
[00:01:09.060 --> 00:01:13.320]  忽然由摩西、以利亞向他們顯現
[00:01:13.320 --> 00:01:15.560]  跟耶穌說話
[00:01:15.560 --> 00:01:17.560]  這裡我們很清楚看到
[00:01:17.560 --> 00:01:21.560]  耶穌帶著三個門徒上山
[00:01:21.560 --> 00:01:26.060]  上次特別有一個很清楚的教導給大家,就是怎樣呢?
[00:01:26.060 --> 00:01:29.560]  因為這三個人對主有特別的愛
[00:01:29.560 --> 00:01:32.060]  彼得特別愛著耶穌
[00:01:32.060 --> 00:01:33.560]  約翰也是
[00:01:33.560 --> 00:01:37.560]  所以耶穌特別寵愛,因為愛是互動的
[00:01:37.560 --> 00:01:42.560]  而我們都看到,我們有屬靈那種的雄心壯志
[00:01:42.560 --> 00:01:45.560]  原來今天神的那個獎賞
[00:01:45.560 --> 00:01:48.560]  不是在乎我們領受了多少的異象
[00:01:48.560 --> 00:01:52.560]  而最重要的是我們對這個異象有什麼回應
[00:01:52.560 --> 00:01:54.060]  這是上次所說的
[00:01:54.060 --> 00:01:57.560]  好了,今天我們就會帶大家去看
[00:01:57.560 --> 00:02:03.560]  為什麼這次出現在這個山上的兩個人物
[00:02:03.560 --> 00:02:06.060]  就是摩西和以利亞呢?
[00:02:06.060 --> 00:02:08.060]  為什麼不是以利沙呢?
[00:02:08.060 --> 00:02:12.060]  以利沙行神蹟不就比以利亞更多嗎?
[00:02:12.060 --> 00:02:16.060]  那不是其他人
[00:02:16.060 --> 00:02:17.560]  那有什麼原因呢?
[00:02:17.560 --> 00:02:19.560]  那我們就會看
[00:02:19.560 --> 00:02:25.560]  第一就是這兩個人其實都有很相似的地方
[00:02:25.560 --> 00:02:28.560]  你看看這個表你就會知道了
[00:02:28.560 --> 00:02:30.560]  摩西是什麼呢?
[00:02:30.560 --> 00:02:34.060]  摩西是代表了律法
[00:02:34.060 --> 00:02:37.560]  因為摩西在第二千多年出拉丘的時候
[00:02:37.560 --> 00:02:39.560]  在那個抗疫裡面
[00:02:39.560 --> 00:02:41.560]  神召了摩西上西賴山
[00:02:41.560 --> 00:02:45.560]  然後就將律法頒布給摩西
[00:02:45.560 --> 00:02:47.560]  所以摩西是律法的代表
[00:02:47.560 --> 00:02:49.560]  而以利亞呢?
[00:02:49.560 --> 00:02:52.560]  以利亞就是先知的代表了
[00:02:52.560 --> 00:02:56.560]  後來他還建立了先知門徒學校
[00:02:56.560 --> 00:02:59.560]  我說他是舊約第一間神學院的院長
[00:02:59.560 --> 00:03:03.560]  就訓練以利沙和一些先知門徒
[00:03:03.560 --> 00:03:07.560]  所以他們是律法和先知的代表
[00:03:07.560 --> 00:03:11.560]  好了,摩西是律法的頒布者
[00:03:11.560 --> 00:03:14.560]  他教導人要遵守神的律法
