
[00:00:00.000 --> 00:00:05.500]  就準備2019年盼望這是一個蒙福的一年 對不對
[00:00:05.500 --> 00:00:13.500]  這是一個蒙福的一年 要不要福氣 要不要蒙福
[00:00:13.500 --> 00:00:19.500]  我想我們中國人每次在過年的時候我們都會貼什麼東西呀
[00:00:19.500 --> 00:00:21.500]  貼福 是不是
[00:00:21.500 --> 00:00:24.500]  然後我們把這個福還要怎麼樣 還倒過來
[00:00:24.500 --> 00:00:27.500]  爲什麼 因爲表明福到了 是不是
[00:00:27.500 --> 00:00:31.500]  所以我們在這裏雖然不貼春聯 也許有的你家在還在貼
[00:00:31.500 --> 00:00:36.500]  但是呢 我們盼望這個福氣的來臨
[00:00:36.500 --> 00:00:41.500]  聖經裏面也充滿了許多蒙福的應許 是不是
[00:00:41.500 --> 00:00:47.500]  惟喜愛耶和華的律法 作業思想 這人便爲有福
[00:00:47.500 --> 00:00:52.500]  希伯來文應該把它倒在講 福哉 有福啊
[00:00:52.500 --> 00:00:55.500]  然後你要 這樣子你就有福
[00:00:55.500 --> 00:00:58.500]  所以要蒙福是有條件的
[00:00:58.500 --> 00:01:06.500]  聖經裏面的應許告訴我們說 你要蒙福是有條件的
[00:01:06.500 --> 00:01:09.500]  好 我們來看這段聖經
[00:01:09.500 --> 00:01:15.500]  首先我們看一福所述第五章 從十八節開始
[00:01:15.500 --> 00:01:19.500]  十八節開始 這段聖經你們注意看
[00:01:19.500 --> 00:01:22.500]  我們講到說 十八節 我們一起來唸好不好
[00:01:22.500 --> 00:01:27.500]  來 預備起 不要追求 九人之邦大
[00:01:27.500 --> 00:01:29.500]  乃要被聖靈充滿
[00:01:29.500 --> 00:01:36.500]  好 在這個地方 開始了被聖靈充滿的這個主題
[00:01:36.500 --> 00:01:40.500]  接着十九節到二十一節呢 就連續地
[00:01:40.500 --> 00:01:44.500]  好 我給大家看一下
[00:01:44.500 --> 00:01:48.500]  這個是用英文寫的
[00:01:48.500 --> 00:01:54.500]  你看喔 這個都是所謂的現在式
[00:01:54.500 --> 00:01:58.500]  然後接下來就帶來了這些所謂的分詞
[00:01:58.500 --> 00:02:01.500]  speaking singing 還有這個怎麼樣
[00:02:01.500 --> 00:02:06.500]  summing 還有give thanks 還有be subject to
[00:02:06.500 --> 00:02:11.500]  也就是說 從十八節被聖靈充滿了
[00:02:11.500 --> 00:02:15.500]  它接着十九節到二十一節就帶出來
[00:02:15.500 --> 00:02:18.500]  那我們看見一個被聖靈充滿的生活是什麼
[00:02:18.500 --> 00:02:23.500]  第一個 它說十九節就是要用詩歌 頌詩 臨歌
[00:02:23.500 --> 00:02:26.500]  彼此對說口大心和的怎麼樣
[00:02:26.500 --> 00:02:29.500]  讚美 換句話說 被聖靈充滿的一個生活
[00:02:29.500 --> 00:02:31.500]  是一個讚美的生活
[00:02:31.500 --> 00:02:33.500]  親愛的同事們 一個被聖靈充滿的教會
[00:02:33.500 --> 00:02:36.500]  是一個讚美的教會 Amen
[00:02:36.500 --> 00:02:38.500]  所以在臺上唱詩歌的時候
[00:02:38.500 --> 00:02:42.500]  親愛的同事們 是怎麼樣 是在讚美神
[00:02:42.500 --> 00:02:45.500]  你不是看我 下面的人看我 這個看得津津有味
[00:02:45.500 --> 00:02:46.500]  我就唱好一點
[00:02:46.500 --> 00:02:50.500]  不是 你看 你讚美神是爲什麼
[00:02:50.500 --> 00:02:52.500]  是配合我們讚美 對不對
[00:02:52.500 --> 00:02:57.500]  同樣的同事們 你是看臺上 perform 好不好
[00:02:57.500 --> 00:03:01.500]  還是你是來讚美神
[00:03:01.500 --> 00:03:04.500]  那應該怎麼讚美神
[00:03:04.500 --> 00:03:09.500]  口唱 手舞
[00:03:09.500 --> 00:03:12.500]  那你們有沒有知道
[00:03:12.500 --> 00:03:15.500]  就是唄 拜託
[00:03:15.500 --> 00:03:16.500]  我講了很多次
[00:03:16.500 --> 00:03:18.500]  不管你的年紀多大
[00:03:18.500 --> 00:03:19.500]  不管你的年齡
[00:03:19.500 --> 00:03:21.500]  親愛的同事們 讚美神沒有分年齡的
[00:03:21.500 --> 00:03:25.500]  Amen
