
[00:00:00.000 --> 00:00:01.760]  各位聽衆姐妹們晚安
[00:00:01.760 --> 00:00:05.740]  今天想起一個題目和大家分享
[00:00:05.740 --> 00:00:08.100]  我記得在我讀中學的時候
[00:00:08.100 --> 00:00:12.080]  有一天我在街上,應該還是穿着校服的
[00:00:12.080 --> 00:00:15.880]  放學了,在街上
[00:00:15.880 --> 00:00:18.220]  不知道在做什麼,可能在榴槤
[00:00:18.220 --> 00:00:20.860]  在土瓜園一帶榴槤
[00:00:20.860 --> 00:00:24.680]  當我在街上榴槤的時候,有個朋友走過來和我聊天
[00:00:24.680 --> 00:00:28.520]  他是一個外籍人士,因爲我一看他的樣子就知道他是外籍人士
[00:00:28.520 --> 00:00:30.300]  他跟我說廣東話
[00:00:30.300 --> 00:00:35.040]  他第一個問題就拍了拍我,同學
[00:00:35.040 --> 00:00:37.800]  你需不需要得到重生
[00:00:37.800 --> 00:00:39.340]  他是這樣說的
[00:00:39.340 --> 00:00:41.640]  你需不需要得到重生
[00:00:41.640 --> 00:00:42.800]  當然我不知道他說什麼
[00:00:42.800 --> 00:00:45.720]  一方面他的廣東話標準程度沒我剛纔那麼好
[00:00:45.720 --> 00:00:47.320]  第二個原因就是
[00:00:47.320 --> 00:00:50.060]  突然在街上有人拍你,就問一個問題
[00:00:50.060 --> 00:00:52.460]  你需不需要重生
[00:00:52.460 --> 00:00:53.980]  你會怎麼回答他
[00:00:53.980 --> 00:00:57.180]  考考大家,你會怎麼回答他
[00:00:57.180 --> 00:01:00.740]  你會怎麼回答他
[00:01:00.740 --> 00:01:02.040]  你會怎麼回答他
[00:01:02.040 --> 00:01:05.140]  先問一下
[00:01:05.140 --> 00:01:10.240]  Ken你會怎麼回答
[00:01:10.240 --> 00:01:12.500]  我的答案通常差不多是這樣
[00:01:12.500 --> 00:01:13.740]  雖然沒他那麼斯文
[00:01:13.740 --> 00:01:16.200]  另一個領頭,不知道呢
[00:01:16.200 --> 00:01:18.000]  他就說怎麼可以不知道呢
[00:01:18.000 --> 00:01:20.540]  你想就想,不想就不想
[00:01:20.540 --> 00:01:22.960]  我的答案就是,不知道
[00:01:22.960 --> 00:01:24.540]  因爲我不知道他想問什麼
[00:01:24.540 --> 00:01:27.660]  什麼叫你想不想得到重生
[00:01:27.660 --> 00:01:29.020]  我只是想起那些
[00:01:29.020 --> 00:01:32.080]  窮途末路,絕處逢生那些畫面第一時間
[00:01:32.080 --> 00:01:34.440]  我又不是去到窮途末路
[00:01:34.440 --> 00:01:36.520]  但他不想又好像
[00:01:36.520 --> 00:01:38.620]  好像不是,有些東西我都想
[00:01:38.620 --> 00:01:40.500]  日後來過都挺好的
[00:01:40.500 --> 00:01:42.720]  當然,接着看清楚
[00:01:42.720 --> 00:01:46.860]  說自己是教會,其實不是很教會的教會
[00:01:46.860 --> 00:01:48.780]  就派那些不是聖經的內容給我看
[00:01:48.780 --> 00:01:51.680]  跟我說很多關於他認爲福音的東西
[00:01:51.680 --> 00:01:53.320]  他的後話不說
[00:01:53.320 --> 00:01:55.460]  但令我想起一件事
[00:01:55.460 --> 00:01:57.040]  這個問題,我不知道你有沒有想過
[00:01:57.040 --> 00:02:00.140]  你想不想重生,或者重生這兩個字
[00:02:00.140 --> 00:02:02.020]  對他來說有什麼意思
[00:02:02.020 --> 00:02:04.060]  可能回到教會以後你都會熟悉
[00:02:04.060 --> 00:02:05.960]  今天講到這段經文
[00:02:05.960 --> 00:02:08.540]  又或者你對這段經文都有點印象
[00:02:08.540 --> 00:02:10.780]  因爲這段經文就是在講
[00:02:10.780 --> 00:02:14.280]  一個重生有關的故事
[00:02:14.280 --> 00:02:16.040]  又或者這麼說,當我看聖經的時候
[00:02:16.040 --> 00:02:18.120]  我小時候剛剛開始回教會,有人就說
[00:02:18.120 --> 00:02:22.720]  聖經裏面說有個人跟耶穌討論關於重生的故事
[00:02:22.720 --> 00:02:23.780]  有沒有印象
[00:02:23.780 --> 00:02:25.760]  有個人跟耶穌討論關於重生
[00:02:25.760 --> 00:02:26.800]  就是今天這段經文
[00:02:26.800 --> 00:02:28.380]  我們先看一看
[00:02:28.380 --> 00:02:29.000]  好
[00:02:29.000 --> 00:02:35.160]  今天這段聖經是《約翰福音》三章一到十七節
[00:02:35.160 --> 00:02:37.120]  哦,對了,一到十七節
[00:02:37.120 --> 00:02:39.480]  我們先慢慢讀,慢慢看着讀
[00:02:39.480 --> 00:02:40.480]  預備起
[00:02:40.480 --> 00:02:44.680]  有一個法尼塞人,名叫尼哥德姆
[00:02:44.680 --> 00:02:46.600]  是猶太人的官
[00:02:46.600 --> 00:02:49.120]  這人夜裏來見耶穌
[00:02:49.120 --> 00:02:50.280]  對他說
[00:02:50.280 --> 00:02:51.200]  拉比
[00:02:51.200 --> 00:02:55.440]  我們知道你是由上帝那裏來的老師的
[00:02:55.440 --> 00:02:57.800]  因爲你所行的神蹟
[00:02:57.800 --> 00:02:59.840]  若沒有上帝同在
[00:02:59.840 --> 00:03:01.360]  無人能行
[00:03:01.360 --> 00:03:03.200]  耶穌回答他說
[00:03:03.200 --> 00:03:05.480]  我實實在在地告訴你
[00:03:05.480 --> 00:03:07.000]  人若不重生
[00:03:07.000 --> 00:03:09.240]  就不能見上帝的國
[00:03:09.240 --> 00:03:11.240]  尼哥德姆對他說
[00:03:11.240 --> 00:03:12.680]  人已經老了
