
[00:00:00.000 --> 00:00:08.000]  上個月初我就教一個課程
[00:00:08.000 --> 00:00:14.500]  其中有15分鐘就是要帶學生一起集體聆聽
[00:00:14.500 --> 00:00:17.600]  聽聽究竟香港發生什麼事
[00:00:17.600 --> 00:00:20.000]  香港教會應該怎樣祈禱呢
[00:00:20.000 --> 00:00:21.200]  15分鐘而已
[00:00:21.200 --> 00:00:23.600]  15分鐘是連同敬拜在內的
[00:00:23.600 --> 00:00:26.300]  嘩!15分鐘裏面
[00:00:26.300 --> 00:00:28.100]  其實那班人不是很多人
[00:00:28.100 --> 00:00:31.200]  藥網我估計最多只有40人
[00:00:31.200 --> 00:00:34.400]  就有13項訊息
[00:00:34.400 --> 00:00:37.000]  13項訊息即是有13個人出來講話
[00:00:37.000 --> 00:00:38.000]  15分鐘而已
[00:00:38.000 --> 00:00:39.600]  還要有敬拜呢
[00:00:39.600 --> 00:00:44.800]  即是藥網每一分鐘就有一個人出來講
[00:00:44.800 --> 00:00:46.100]  或者不夠一分鐘
[00:00:46.100 --> 00:00:48.200]  因為他要講
[00:00:48.200 --> 00:00:51.200]  我就發覺很寶貴
[00:00:51.200 --> 00:00:52.600]  我看著那班人
[00:00:52.600 --> 00:00:54.600]  心裏面很感動
[00:00:54.600 --> 00:00:56.100]  感動的是什麼呢
[00:00:56.100 --> 00:00:59.500]  因為20年前在香港教會裏面
[00:00:59.500 --> 00:01:02.100]  如果我們要找一些人去聽神的聲音
[00:01:02.100 --> 00:01:04.200]  要教一大輪的
[00:01:04.200 --> 00:01:05.500]  什麼叫教一大輪
[00:01:05.500 --> 00:01:06.600]  第一問下你
[00:01:06.600 --> 00:01:11.800]  請問各位有哪些人是聽到神的聲音的
[00:01:11.800 --> 00:01:13.400]  請你舉手
[00:01:13.400 --> 00:01:15.400]  舉囉
[00:01:15.400 --> 00:01:17.000]  原來只有這麼少
[00:01:17.000 --> 00:01:19.400]  偉成哥麻煩你站起來看一下手
[00:01:19.400 --> 00:01:21.500]  你聽到神的聲音的請舉手
[00:01:21.500 --> 00:01:23.000]  只有這麼多
[00:01:23.000 --> 00:01:25.200]  所以真的要在這裏講
[00:01:25.200 --> 00:01:28.900]  20年前的手沒這麼多
[00:01:28.900 --> 00:01:31.300]  再20多年前還好玩
[00:01:31.300 --> 00:01:33.900]  麗偉亮在不在
[00:01:33.900 --> 00:01:35.200]  麗偉亮在
[00:01:35.200 --> 00:01:36.800]  你又不回覆我WhatsApp
[00:01:36.800 --> 00:01:39.800]  我今天問你在不在
[00:01:39.800 --> 00:01:41.000]  很重要的
[00:01:41.000 --> 00:01:43.300]  他有一天就走來問我
[00:01:43.300 --> 00:01:46.200]  王姐你整天都說主跟你講
[00:01:46.200 --> 00:01:47.600]  什麼來的
[00:01:47.600 --> 00:01:50.700]  我就說主沒跟你講什麼
[00:01:50.700 --> 00:01:53.100]  他問我主跟你講是什麼來的
[00:01:53.100 --> 00:01:55.900]  我就問他主沒跟你講什麼
[00:01:55.900 --> 00:01:58.000]  那是我人生第一次
[00:01:58.000 --> 00:02:03.100]  原來有些人聽不到主跟你講話的
[00:02:03.100 --> 00:02:05.200]  現在我再問清楚
[00:02:05.200 --> 00:02:07.500]  你信了耶穌到現在
[00:02:07.500 --> 00:02:10.700]  你有聽過主跟你講話的請你舉手
[00:02:10.700 --> 00:02:13.400]  林偉成你又站起來看一下
[00:02:13.400 --> 00:02:15.300]  這次像樣一點
[00:02:15.300 --> 00:02:16.900]  感謝主
[00:02:16.900 --> 00:02:20.900]  這樣才像樣的
[00:02:20.900 --> 00:02:23.900]  但是我很開心在那個班裏面
[00:02:23.900 --> 00:02:25.000]  為什麼
[00:02:25.000 --> 00:02:28.700]  因為那些人好像正話小小的跡象
[00:02:28.700 --> 00:02:30.000]  有些人在排隊
[00:02:30.000 --> 00:02:32.400]  他是排整條line來講話的
[00:02:32.400 --> 00:02:34.400]  所以他不浪費時間
[00:02:34.400 --> 00:02:35.400]  對不對
[00:02:35.400 --> 00:02:37.200]  而且集結起來
[00:02:37.200 --> 00:02:38.900]  我覺得那些信息是準確的
[00:02:38.900 --> 00:02:41.100]  當然也有一兩個不準確
[00:02:41.100 --> 00:02:43.500]  但絕大部分是準確的
[00:02:43.500 --> 00:02:47.500]  我心裏就覺得很感動
[00:02:47.500 --> 00:02:49.800]  其實20年前
[00:02:49.800 --> 00:02:57.200]  慈光堂是我們正話那一個鐘頭的敬拜方式
[00:02:57.200 --> 00:03:01.600]  那時候不是你出來的
[00:03:01.600 --> 00:03:05.100]  是有領袖請你舉手
[00:03:05.100 --> 00:03:06.700]  有沒有人記得
[00:03:06.700 --> 00:03:08.500]  然後我就拿著咪高峰
[00:03:08.500 --> 00:03:09.900]  我拿咪高峰
[00:03:09.900 --> 00:03:11.200]  就過去跟你講
[00:03:11.200 --> 00:03:12.300]  不給你拿咪高峰
[00:03:12.300 --> 00:03:14.700]  因為我怕你不給我咪高峰
[00:03:14.700 --> 00:03:16.500]  為什麼不給我咪高峰
[00:03:16.500 --> 00:03:17.500]  這麼緊張
[00:03:17.500 --> 00:03:18.800]  因為不給我咪高峰
[00:03:18.800 --> 00:03:20.100]  但你講錯話
[00:03:20.100 --> 00:03:22.400]  你繼續講下去就不行了
[00:03:22.400 --> 00:03:24.300]  為什麼這麼厲害
[00:03:24.300 --> 00:03:25.900]  是因為沒試過
[00:03:25.900 --> 00:03:28.100]  很緊張
