
[00:00:00.000 --> 00:00:04.000]  不知道大家小時候有沒有試過像我這樣做
[00:00:04.000 --> 00:00:08.000]  走在路上,有陽光在後面照著
[00:00:08.000 --> 00:00:10.000]  看到前面的影子
[00:00:10.000 --> 00:00:13.000]  於是我就很想跳過自己的影子
[00:00:13.000 --> 00:00:15.000]  有沒有試過?
[00:00:15.000 --> 00:00:16.000]  沒有
[00:00:16.000 --> 00:00:18.000]  沒有人像我這麼笨
[00:00:18.000 --> 00:00:20.000]  我就跳過影子
[00:00:20.000 --> 00:00:22.000]  為甚麼影子是在我前面的呢?
[00:00:22.000 --> 00:00:24.000]  跳過影子是跳不到的,為甚麼?
[00:00:24.000 --> 00:00:26.000]  一定有個影子在那裡
[00:00:26.000 --> 00:00:29.000]  影子是你自己在那裡投射出來的
[00:00:29.000 --> 00:00:35.000]  太陽照著,影子越低越長
[00:00:35.000 --> 00:00:37.000]  我們都知道
[00:00:37.000 --> 00:00:39.000]  德國有句諺語
[00:00:39.000 --> 00:00:43.000]  就是人是沒有辦法跳過自己的影子的
[00:00:43.000 --> 00:00:45.000]  意思就是說
[00:00:45.000 --> 00:00:47.000]  我們沒有辦法擺脫
[00:00:47.000 --> 00:00:51.000]  我們自己心靈裡面的陰影
[00:00:51.000 --> 00:00:54.000]  或者我們今天說的那個影子
[00:00:54.000 --> 00:00:56.000]  一個心靈裡面的影子
[00:00:56.000 --> 00:00:58.000]  甚麼是心靈的影子呢?
[00:00:58.000 --> 00:01:00.000]  意思就是說
[00:01:00.000 --> 00:01:02.000]  用一個相對來說
[00:01:02.000 --> 00:01:05.000]  就像我剛才所說的
[00:01:05.000 --> 00:01:07.000]  我們在太陽底下
[00:01:07.000 --> 00:01:09.000]  有光芒照著我們
[00:01:09.000 --> 00:01:12.000]  但是我們背後一定有個影子在那裡
[00:01:12.000 --> 00:01:14.000]  事物都是會這樣
[00:01:14.000 --> 00:01:16.000]  有前面光芒的一面
[00:01:16.000 --> 00:01:20.000]  亦有後面那個陰影的部分在那裡
[00:01:20.000 --> 00:01:24.000]  譬如
[00:01:24.000 --> 00:01:26.000]  你有些朋友
[00:01:26.000 --> 00:01:28.000]  突然間來到你家
[00:01:28.000 --> 00:01:30.000]  家裡亂亂亂的
[00:01:30.000 --> 00:01:32.000]  於是趕不及
[00:01:32.000 --> 00:01:34.000]  立刻把垃圾掃到地毯底下
[00:01:34.000 --> 00:01:36.000]  地毯表面上很漂亮
[00:01:36.000 --> 00:01:38.000]  但是一揭開地毯
[00:01:38.000 --> 00:01:40.000]  污糟、邋遢
[00:01:40.000 --> 00:01:42.000]  是會有這樣的情況
[00:01:42.000 --> 00:01:46.000]  因為我們每個人都想把自己好的一面呈現出來
[00:01:46.000 --> 00:01:48.000]  自己不好的一面
[00:01:48.000 --> 00:01:50.000]  就會收起來
[00:01:50.000 --> 00:01:52.000]  都是會有這樣的情況
[00:01:52.000 --> 00:01:54.000]  但是我們仍然人都是會的
[00:01:54.000 --> 00:01:56.000]  有一面好的
