
[00:00:00.000 --> 00:00:03.080]  好,我們另有神的話要知先,我先低頭我們圖告,好嗎?
[00:00:03.080 --> 00:00:06.400]  懇求主祢親自祝福我們每一個在祢面前敬拜的人
[00:00:06.400 --> 00:00:10.040]  上海慶生節的時候,我們要想一首很傳統的歌
[00:00:10.040 --> 00:00:12.880]  就是一些宗主信徒來帶去敬拜主祢
[00:00:12.880 --> 00:00:15.600]  我們現在就是正正一班忠於主祢的
[00:00:15.600 --> 00:00:20.720]  屬祢的人,我們都是屬於祢自己的兒女,我們來敬拜祢
[00:00:20.720 --> 00:00:22.960]  求主祢,祢有使用今天我們所講的
[00:00:22.960 --> 00:00:24.960]  是都使用到我們每一個的人
[00:00:24.960 --> 00:00:27.880]  叫我們有領受,但是不只是這些道理
[00:00:27.880 --> 00:00:29.680]  是實踐在我們的生活上面
[00:00:29.680 --> 00:00:31.920]  求主祢眷顧,帶領以下的時間
[00:00:31.920 --> 00:00:34.640]  祈禱拉奉主德聖一命,Amen
[00:00:34.640 --> 00:00:39.000]  在聖誕節裡面,很多人都會著緊的就是有假期了
[00:00:39.000 --> 00:00:40.800]  怎樣去容許那個假期
[00:00:40.800 --> 00:00:45.880]  小朋友,他們的焦點就是有什麼禮物可以拿到
[00:00:45.880 --> 00:00:52.320]  甚至一些家人就想一下怎樣來帶去消閒,去旅行
[00:00:52.320 --> 00:00:55.880]  他們往往就會將這些代替了
[00:00:55.880 --> 00:00:59.200]  聖誕節真真正正的主角,就是耶穌基督
[00:00:59.200 --> 00:01:01.600]  我相信今天彩樂當中的每一個基督徒
[00:01:01.600 --> 00:01:03.280]  我們都不會犯這個錯
[00:01:03.280 --> 00:01:06.280]  但是我又在想,有時候我們都無意地
[00:01:06.280 --> 00:01:09.200]  都會將一些硬品來代替真品
[00:01:09.200 --> 00:01:12.440]  很簡單,有時候我們會將目者的講道
[00:01:12.440 --> 00:01:15.920]  就代替了我們自己個人在神面前的領受
[00:01:15.920 --> 00:01:18.680]  有時候我們看一些靈修的書籍
[00:01:18.680 --> 00:01:22.920]  教我們,但是就代替了我們自己好的思考神的話語
[00:01:22.920 --> 00:01:24.640]  這個我們都需要反省的
[00:01:24.640 --> 00:01:28.600]  當然我們回來來敬拜,我們來看一些靈修小品
[00:01:28.600 --> 00:01:30.520]  都好過完全沒有去
[00:01:30.520 --> 00:01:33.800]  但我仍然很強調一個基督徒,我們要生命成長
[00:01:33.800 --> 00:01:37.160]  一定要自己個人好地鑽研神的話語
[00:01:37.160 --> 00:01:38.880]  和來到好地親近神
[00:01:38.880 --> 00:01:41.440]  這個才可以有生命上面的突破
[00:01:41.440 --> 00:01:43.840]  好,今天我們就會來探索一下
[00:01:43.840 --> 00:01:47.000]  聖誕節,究竟背後的意義是什麼
[00:01:47.000 --> 00:01:52.240]  聖誕節真正的意義就是體恤代替了冷漠
[00:01:52.240 --> 00:01:57.160]  其實我想每一個國家的人民都渴求他們的掌權者
[00:01:57.160 --> 00:02:01.240]  能夠去體恤他們的需要,了解民情
[00:02:01.240 --> 00:02:03.280]  黃岡雅都是這樣說的
[00:02:03.280 --> 00:02:07.840]  他說民望就像股票一樣,有上有落的
[00:02:07.840 --> 00:02:10.440]  最重要就是要體恤到民情
[00:02:10.440 --> 00:02:12.440]  其實我發覺這句話是有矛盾的
[00:02:12.440 --> 00:02:15.240]  即是你體恤到民情,民望自然會高的
[00:02:15.240 --> 00:02:17.520]  但至少後面那句是對的
[00:02:17.520 --> 00:02:21.400]  一個領導者是要體恤民間的疾苦
[00:02:21.400 --> 00:02:25.720]  但有時候我們見到不同的國家,甚至有些領導人
[00:02:25.720 --> 00:02:29.640]  可能他們出身於低下階層,他們受過苦
[00:02:29.640 --> 00:02:34.800]  但當他們一有權的時候,他們就只會為自己來謀福利
[00:02:34.800 --> 00:02:37.120]  甚至來壓制人民
[00:02:37.120 --> 00:02:39.720]  有哪一個國家,有哪一個社會裏面的人民
[00:02:39.720 --> 00:02:42.680]  真是很甘心拜服他們的領導者
[00:02:42.680 --> 00:02:46.560]  但今天我們所相信的神,祂是怎樣的神呢?
[00:02:46.560 --> 00:02:50.120]  我們的神絕對不是在白雲深處
[00:02:50.120 --> 00:02:53.200]  高高在上,不聞不問的神
[00:02:53.200 --> 00:02:56.560]  我們的神了解我們,聖經怎樣來描繪我們的神呢?
[00:02:56.560 --> 00:02:59.760]  在《義不所恕》第四章第六節裏面這樣說
[00:02:59.760 --> 00:03:03.400]  我們所相信的神是超乎眾人之上
[00:03:03.400 --> 00:03:08.320]  貫乎眾人之中,也住在眾人之內
[00:03:08.320 --> 00:03:12.320]  大家有沒有留意到這三個說話是甚麼意思?
[00:03:12.320 --> 00:03:14.320]  神是超越我們的
[00:03:14.320 --> 00:03:16.640]  是超越我們每一個的人
[00:03:16.640 --> 00:03:21.320]  但祂也將我們連繫在一起
[00:03:21.320 --> 00:03:24.400]  最重要祂就是要住在眾人之內
[00:03:24.400 --> 00:03:26.400]  我們的主是超然
[00:03:26.400 --> 00:03:30.160]  但是祂甘心的降世成為人
[00:03:30.160 --> 00:03:32.960]  入到人的當中,目的是甚麼呢?
[00:03:32.960 --> 00:03:34.320]  讓我們一起了讀
[00:03:34.320 --> 00:03:36.560]  《楊瀚福音》第一章第十八節
[00:03:36.560 --> 00:03:38.920]  《楊瀚福音》第一章十八節我們一起了讀出來
[00:03:38.920 --> 00:03:41.600]  從來沒有人看見神
[00:03:41.600 --> 00:03:46.320]  只有在乎懷裡的獨生子將祂表明出來
[00:03:46.320 --> 00:03:49.760]  這裏很清楚講到,神是看不到的
[00:03:49.760 --> 00:03:52.640]  但我們的主降世為人的時候
[00:03:52.640 --> 00:03:54.640]  就將我們看不見的神
[00:03:54.640 --> 00:03:58.360]  入到人的歷史裏面,讓我們看見
[00:03:58.360 --> 00:04:00.520]  因為有些東西是很抽象的
[00:04:00.520 --> 00:04:03.520]  愛,愛可以是很抽象的
[00:04:03.520 --> 00:04:08.000]  照X光磁力共振看不到你身體哪部分有愛
[00:04:08.000 --> 00:04:12.440]  但你見到一個人他犯錯
[00:04:12.440 --> 00:04:15.840]  你難過,甚至你為他流淚
[00:04:15.840 --> 00:04:17.840]  或者你很愛一個人
[00:04:17.840 --> 00:04:20.320]  你送了一些禮物給他的時候
[00:04:20.320 --> 00:04:23.320]  這個眼淚,這份禮物
[00:04:23.320 --> 00:04:26.120]  就是具體將一個抽象的愛
[00:04:26.120 --> 00:04:28.480]  你帶去表明出來,是不是?
[00:04:28.480 --> 00:04:30.480]  美麗是怎樣呢?
[00:04:30.480 --> 00:04:32.720]  美麗都很難去描繪
[00:04:32.720 --> 00:04:35.520]  但可能你看看那個,那個不是很美麗嗎?
[00:04:35.520 --> 00:04:39.600]  這個人就實際地可能將一個抽象的美麗
[00:04:39.600 --> 00:04:41.600]  你帶去表現出來
[00:04:41.600 --> 00:04:43.200]  所以我們的主
[00:04:43.200 --> 00:04:48.240]  真理、愛就是從耶穌身上,你帶去表現出來
[00:04:48.240 --> 00:04:50.480]  耶穌基督來到這個世界的時候
[00:04:50.480 --> 00:04:53.440]  面對一些被視為罪人的麻瘋病者
[00:04:53.440 --> 00:04:56.000]  一些妓女,耶穌都會關心他們
[00:04:56.000 --> 00:04:58.480]  這個就是將愛,很抽象
[00:04:58.480 --> 00:05:01.080]  實際地你帶去表現出來
[00:05:01.080 --> 00:05:03.920]  主耶穌基督,祂來到這個世界的時候
[00:05:03.920 --> 00:05:05.920]  就是對人那份憐憫
[00:05:05.920 --> 00:05:08.440]  對人那份愛,就是活靈活現
[00:05:08.440 --> 00:05:12.200]  將那些抽象的事,你帶去實際地流露出來
[00:05:12.200 --> 00:05:15.200]  神祂超然,滿有榮耀
[00:05:15.200 --> 00:05:18.920]  但因為愛的緣故,祂甘心來到這個世界
[00:05:18.920 --> 00:05:22.760]  祂經歷人世間最大的痛楚
[00:05:22.760 --> 00:05:26.320]  祂面對魔鬼最厲害的攻擊
[00:05:26.320 --> 00:05:29.480]  很真有歷史歷代,有哪一個人
[00:05:29.480 --> 00:05:32.480]  可以好像耶穌那樣
[00:05:32.480 --> 00:05:34.480]  被魔鬼攻擊得那麼厲害
[00:05:34.480 --> 00:05:36.480]  因為有時候我們都很軟弱
[00:05:36.480 --> 00:05:39.120]  我們都會抗拒魔鬼的引誘
[00:05:39.120 --> 00:05:41.120]  有時候我們都會有成功
[00:05:41.120 --> 00:05:44.520]  但可能在很厲害的攻擊下,我們會有失敗
[00:05:44.520 --> 00:05:47.960]  我相信歷史歷代最受攻擊得緊要的
[00:05:47.960 --> 00:05:49.960]  就是我們的主
[00:05:49.960 --> 00:05:52.520]  但可能有些人不是很服
[00:05:52.520 --> 00:05:55.280]  我十多歲的時候,我堪信主我都不是很服
[00:05:55.280 --> 00:05:59.040]  當我帶人去讀書,面對著功課的壓力
[00:05:59.040 --> 00:06:01.680]  會考那些辛苦的時候
[00:06:01.680 --> 00:06:04.240]  我就在想,耶穌祢真是好
[00:06:04.240 --> 00:06:06.960]  你活在那個年代裡面,你根本就不用怎樣來讀書
[00:06:06.960 --> 00:06:09.240]  你根本就不用怎樣來面對考試
[00:06:09.240 --> 00:06:11.640]  根本不會被媽媽罵,你真是好
[00:06:11.640 --> 00:06:14.200]  當我的初戀失敗了的時候
[00:06:14.200 --> 00:06:16.920]  稍為一點點痛苦,又跟耶穌說
[00:06:16.920 --> 00:06:19.640]  你有沒有談過戀愛?你有失戀過嗎?
[00:06:19.640 --> 00:06:21.640]  你說你要解我?浪費唇舌
[00:06:21.640 --> 00:06:23.640]  我真的有這些感受
[00:06:23.640 --> 00:06:25.640]  但是
[00:06:25.640 --> 00:06:28.600]  用另一個比喻,歷代可以說
[00:06:28.600 --> 00:06:31.280]  有一個小女孩,割傷了手
[00:06:31.280 --> 00:06:33.280]  流了兩滴血,很痛
[00:06:33.280 --> 00:06:36.920]  哭著跟媽媽說,哎呀,很辛苦,流血了,很痛
[00:06:36.920 --> 00:06:40.200]  媽媽看了之後,哎呀,十歲了,小事了
[00:06:40.200 --> 00:06:43.360]  我比你還厲害,女兒說,你又割傷了手嗎?
