
[00:00:00.000 --> 00:00:03.120]  我們要講講聖誕節的故事
[00:00:03.120 --> 00:00:09.200]  聖誕節的故事是講到基督的降生
[00:00:09.200 --> 00:00:11.320]  在聖經裏面只有兩個地方
[00:00:11.320 --> 00:00:13.120]  如果你第一次接觸聖經的話
[00:00:13.120 --> 00:00:15.640]  去看聖誕的故事只有兩個地方
[00:00:15.640 --> 00:00:18.480]  新約聖經裏面第一本書叫《瑪達福音》
[00:00:18.480 --> 00:00:22.320]  第三本書叫《盧伽福音》
[00:00:22.320 --> 00:00:24.680]  講到基督的降生
[00:00:24.680 --> 00:00:27.600]  降生的故事、一些情節等等
[00:00:27.600 --> 00:00:30.000]  我們通常看這個故事的時候
[00:00:30.000 --> 00:00:33.200]  我們會想起一些聖誕卡
[00:00:33.200 --> 00:00:37.480]  或者在城市裏面走
[00:00:37.480 --> 00:00:39.160]  或者看到一些相片
[00:00:39.160 --> 00:00:42.680]  有些比較溫馨的畫面
[00:00:42.680 --> 00:00:45.320]  我們今天想去看這段聖經
[00:00:45.320 --> 00:00:46.680]  《瑪達福音》第二章
[00:00:46.680 --> 00:00:49.920]  我們看看怎樣去看這個聖誕的故事
[00:00:49.920 --> 00:00:54.800]  我相信作者是刻意將某些事情去對照
[00:00:54.800 --> 00:00:58.720]  這段聖經《瑪達福音》第二章十二節
[00:00:58.720 --> 00:01:00.800]  就是講到所謂東方的博士
[00:01:00.800 --> 00:01:09.040]  來到去朝見新生的丹夏來做猶太王的耶穌基督
[00:01:09.040 --> 00:01:11.960]  這是《瑪達福音》第二章
[00:01:11.960 --> 00:01:14.200]  對照了有兩組的人
[00:01:14.200 --> 00:01:23.920]  第一組的人就是博士和所謂的經學家
[00:01:23.920 --> 00:01:25.320]  所謂的經學家
[00:01:25.320 --> 00:01:27.320]  Power point not work
[00:01:27.320 --> 00:01:29.840]  為什麼呢
[00:01:29.840 --> 00:01:31.120]  OK, here we go
[00:01:31.120 --> 00:01:34.560]  就是所謂博士和經學家之間的對比
[00:01:34.560 --> 00:01:38.800]  這個故事我們試一試用這樣一個人物的方法來看
[00:01:38.800 --> 00:01:41.360]  這一段聖誕的故事
[00:01:41.360 --> 00:01:44.280]  裏面講到首先兩組的人
[00:01:44.280 --> 00:01:45.880]  第一組就是叫做博士
[00:01:45.880 --> 00:01:46.800]  Magi
[00:01:46.800 --> 00:01:48.800]  第二組就是叫做Scribes
[00:01:48.800 --> 00:01:52.760]  就是當時的經學家或者法師等等
[00:01:52.760 --> 00:01:53.960]  經文是怎樣講呢
[00:01:53.960 --> 00:01:55.960]  二章第一至第二節
[00:01:55.960 --> 00:01:57.600]  他說當大希律王
[00:01:57.600 --> 00:01:59.000]  在這裏講的是大希律王
[00:01:59.000 --> 00:02:00.000]  有好幾個希律王
[00:02:00.000 --> 00:02:00.880]  這是第一個
[00:02:00.880 --> 00:02:02.480]  並且叫做大希律王
[00:02:02.480 --> 00:02:03.720]  希律王的時候
[00:02:03.720 --> 00:02:06.400]  耶穌身在猶太的伯利行
[00:02:06.400 --> 00:02:07.400]  在Bethlehem
[00:02:07.400 --> 00:02:10.840]  有幾個博士從東方來到耶路撒冷說
[00:02:10.840 --> 00:02:14.520]  那生下來作猶太人之王在哪裏
[00:02:14.520 --> 00:02:16.760]  我們在東方看見他的聖
[00:02:16.760 --> 00:02:18.520]  特來拜他
[00:02:18.520 --> 00:02:21.680]  這裏講到在大希律王執政的時候
[00:02:21.680 --> 00:02:25.640]  耶穌基督出生在猶太地的伯利行
[00:02:25.640 --> 00:02:26.640]  Bethlehem
[00:02:26.640 --> 00:02:29.000]  然後講到東方一個遙遠的地方
[00:02:29.000 --> 00:02:31.000]  大概是今天伊拉克的地方
[00:02:31.000 --> 00:02:32.360]  巴比倫的地方
[00:02:32.360 --> 00:02:34.120]  有幾個所謂的博士
[00:02:34.120 --> 00:02:35.480]  就從東方來到
[00:02:35.480 --> 00:02:36.160]  為甚麼
[00:02:36.160 --> 00:02:38.320]  因為他純粹是看見一顆星
[00:02:38.320 --> 00:02:39.760]  一個特別的啟示
[00:02:39.760 --> 00:02:41.560]  一個很小的特別的啟示
[00:02:41.560 --> 00:02:45.960]  然後他們就遠路的來到耶路撒冷
[00:02:45.960 --> 00:02:53.160]  去找這個所謂生下來作猶太人之王的耶穌基督
[00:02:53.160 --> 00:02:55.160]  博士是誰呢
[00:02:55.160 --> 00:02:55.880]  博士
[00:02:55.880 --> 00:02:59.840]  我們英文譯做Magi或者Wiseman
[00:02:59.840 --> 00:03:02.160]  這裡講了幾個博士
[00:03:02.160 --> 00:03:04.560]  新的中文翻譯是幾個博士
[00:03:04.560 --> 00:03:07.680]  雖然我兒子病了
[00:03:07.680 --> 00:03:09.680]  他昨天
[00:03:09.680 --> 00:03:12.280]  不知甚麼事和我聊天
[00:03:12.280 --> 00:03:13.920]  戴著口罩和我聊天
[00:03:13.920 --> 00:03:16.520]  他說是不是有三個博士
[00:03:16.520 --> 00:03:20.200]  我說你這麼有家教你都不記得
[00:03:20.200 --> 00:03:25.320]  我說聖經裡面沒有講三個博士
[00:03:25.320 --> 00:03:27.320]  聖經裡面從來沒有講三個博士
[00:03:27.320 --> 00:03:29.560]  只不過是眾數幾個博士
[00:03:29.560 --> 00:03:31.120]  因為他看見這幅圖
[00:03:31.120 --> 00:03:33.560]  為甚麼不是三隻駱駝
