
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹,平安,可以回到祖堂,感不感恩?
[00:00:06.000 --> 00:00:09.000]  很感恩,因為要衝破很多困難
[00:00:09.000 --> 00:00:19.000]  牧師今早在你們祖堂當中,講的一個題目叫做不可思議的戰爭
[00:00:19.000 --> 00:00:22.000]  其實如果你讀以色列人的歷史
[00:00:22.000 --> 00:00:31.000]  你就會發現到很少有一場仗打成這樣的樣子
[00:00:31.000 --> 00:00:36.000]  這一場仗真的是一場不可思議的戰爭
[00:00:36.000 --> 00:00:39.000]  或者我們讀幾次聖經
[00:00:39.000 --> 00:00:41.000]  因為經文較為長一點
[00:00:41.000 --> 00:00:44.000]  這兩節我就省略了
[00:00:44.000 --> 00:00:46.000]  不如由十六節開始讀吧
[00:00:46.000 --> 00:00:48.000]  預備起
[00:00:48.000 --> 00:00:51.000]  明日你們要下去迎敵
[00:00:51.000 --> 00:00:55.000]  看啊,他們從洗屍波上來
[00:00:55.000 --> 00:01:02.000]  你們必在耶路爾納曠野的谷口,遇見他們
[00:01:02.000 --> 00:01:05.000]  猶大和耶路撒冷人啊
[00:01:05.000 --> 00:01:11.000]  這次你們不要爭戰,要擺陣站著
[00:01:11.000 --> 00:01:15.000]  看耶和華為你們施行拯救
[00:01:15.000 --> 00:01:19.000]  不要恐懼,也不要驚慌
[00:01:19.000 --> 00:01:22.000]  明日當出去迎敵
[00:01:22.000 --> 00:01:26.000]  因為耶和華與你們同在
[00:01:26.000 --> 00:01:30.000]  若沙發屈身,面伏於地
[00:01:30.000 --> 00:01:34.000]  猶大眾人和耶路撒冷的居民
[00:01:34.000 --> 00:01:39.000]  也撫服在耶和華的面前,敬拜耶和華
[00:01:39.000 --> 00:01:45.000]  戈赫子孫和赫拉子孫的利美人都起來
[00:01:45.000 --> 00:01:51.000]  用極大的聲音讚美耶和華以色列的神
[00:01:51.000 --> 00:01:57.000]  稱神,眾人早起往提哥亞的曠野
[00:01:57.000 --> 00:02:01.000]  出去的時候,若沙發站著說
