
[00:00:00.000 --> 00:00:05.600]  我今天的題目不是這樣安排的
[00:00:05.600 --> 00:00:08.600]  不過其實都可以拉長一點點關係的
[00:00:08.600 --> 00:00:10.000]  補一點點門票
[00:00:10.000 --> 00:00:10.800]  為什麼呢?
[00:00:10.800 --> 00:00:13.200]  因為這個神跡的出現
[00:00:13.200 --> 00:00:17.000]  其實都跟瑪利亞有關係的
[00:00:17.000 --> 00:00:20.200]  耶穌在參與這個婚宴的時候
[00:00:20.200 --> 00:00:23.200]  那個玄籍已經走用了
[00:00:23.200 --> 00:00:25.200]  有一個人走出來
[00:00:25.200 --> 00:00:26.400]  這個是婦女來的
[00:00:26.400 --> 00:00:28.200]  這個是耶穌的母親
[00:00:28.200 --> 00:00:34.200]  祂很熱心地說:他們不要走了
[00:00:34.200 --> 00:00:37.200]  耶穌就回答了她一句話
[00:00:37.200 --> 00:00:39.600]  那句話都不容易理解的
[00:00:39.600 --> 00:00:42.800]  為什麼耶穌會這樣回答祂的母親呢?
[00:00:42.800 --> 00:00:47.800]  這個也是有很多讓我們去想像的空間
[00:00:47.800 --> 00:00:49.800]  其實《新約聖經》裡面記載到
[00:00:49.800 --> 00:00:53.800]  耶穌跟祂母親的最早兩句對話
[00:00:53.800 --> 00:00:55.800]  都是這樣的
[00:00:55.800 --> 00:00:57.800]  第一次就是十二歲的時候
[00:00:57.800 --> 00:01:01.200]  祂的母親回去找祂
[00:01:01.200 --> 00:01:04.400]  祂就說:你為什麼來找我呢?
[00:01:04.400 --> 00:01:05.800]  是很不客氣的
[00:01:05.800 --> 00:01:07.400]  你為什麼來找我呢?
[00:01:07.400 --> 00:01:10.200]  豈不知我應當以我父的事為念
[00:01:10.200 --> 00:01:14.800]  第二次就是這裡了
[00:01:14.800 --> 00:01:18.400]  祂的母親說:他們都走用了
[00:01:18.400 --> 00:01:22.600]  我跟祢有什麼關係呢?
[00:01:22.600 --> 00:01:25.200]  我們從一個負面去看
[00:01:25.200 --> 00:01:29.000]  就是耶穌對祂母親好像不太客氣
[00:01:29.000 --> 00:01:32.200]  你可以這樣看
[00:01:32.200 --> 00:01:35.200]  但是從正面去看
[00:01:35.200 --> 00:01:37.600]  就是兩次
[00:01:37.600 --> 00:01:43.200]  耶穌都聽了祂母親的說話
[00:01:43.200 --> 00:01:46.000]  第一次跟了祂回達賴
[00:01:46.000 --> 00:01:49.400]  第二次就照做
[00:01:49.400 --> 00:01:53.200]  所以不要只看負面那一邊
[00:01:53.200 --> 00:01:56.200]  學習看正面那一邊
[00:01:56.200 --> 00:01:58.400]  耶穌其實是很尊敬
[00:01:58.400 --> 00:02:00.600]  也很聽母親的話
[00:02:00.600 --> 00:02:06.800]  這是事實
[00:02:06.800 --> 00:02:09.800]  這次是我連續第三次講道
[00:02:09.800 --> 00:02:10.800]  連續四講了一次
[00:02:10.800 --> 00:02:12.800]  上星期講了一次
[00:02:12.800 --> 00:02:13.800]  這次又講一次
[00:02:13.800 --> 00:02:15.800]  就是連續三次
[00:02:15.800 --> 00:02:21.200]  講完這次就要到復活節才出現了
[00:02:21.200 --> 00:02:24.400]  今天我選了這個題目
[00:02:24.400 --> 00:02:26.600]  叫做《平凡的神蹟》
[00:02:26.600 --> 00:02:29.400]  這段聖經我相信很多人都熟悉
[00:02:29.400 --> 00:02:31.000]  未必在講壇裡面聽過
[00:02:31.000 --> 00:02:33.600]  但是這個聖經故事實在太出名了
[00:02:33.600 --> 00:02:37.600]  就是耶穌將水變酒
[00:02:37.600 --> 00:02:43.400]  我其實好像設宴的窮新郎
[00:02:43.400 --> 00:02:46.800]  擺酒竟然不夠酒
[00:02:46.800 --> 00:02:49.600]  有錢也有限
[00:02:49.600 --> 00:02:52.000]  飲飲下個筵席都未散
[00:02:52.000 --> 00:02:54.600]  酒已經用盡了
[00:02:54.600 --> 00:02:57.800]  我也有一點像他
[00:02:57.800 --> 00:03:01.000]  好幾篇講章都講完了
[00:03:01.000 --> 00:03:04.600]  以後大家就要喝水了
[00:03:04.600 --> 00:03:06.800]  如果大家今天也嘗到一點滋味
[00:03:06.800 --> 00:03:10.400]  可能也有神蹟在當中
[00:03:10.400 --> 00:03:13.800]  我們一起有個祈禱
[00:03:13.800 --> 00:03:15.400]  求天父幫助我們
[00:03:15.400 --> 00:03:17.600]  讓我們從聖經的話語裡面
[00:03:17.600 --> 00:03:24.800]  真的得到從祢而來的那種滋味
[00:03:24.800 --> 00:03:26.400]  那種喜樂
