
[00:00:00.000 --> 00:00:05.240]  我們讀一串的聖經在彌加蘇第二章第十二到十三節
[00:00:05.240 --> 00:00:12.000]  這說:雅各加,我必聚集你們,必要召聚以色列剩下的人安置在一處。
[00:00:12.000 --> 00:00:19.380]  如波斯拉的羊,又如草場上的羊群,因為人數眾多,就必大大喧嘩。
[00:00:19.380 --> 00:00:25.660]  開路的在他們前面上去,他們直闖過城門,從城門出去。
[00:00:25.840 --> 00:00:30.340]  他們的王在前面行,耶和華引導他們。
[00:00:30.340 --> 00:00:35.860]  我們就讀到這裡,今天是二零二一年第一個主日,
[00:00:35.860 --> 00:00:42.260]  所以首先在這裡恭喜大家,新年非常非常快樂,哈利路亞!
[00:00:42.260 --> 00:00:45.760]  當我們回頭看過去這一年,
[00:00:45.760 --> 00:00:50.400]  二零二零年的確是一個非常特別的一年,不是嗎?
[00:00:50.400 --> 00:00:55.700]  我們經歷過許許多多我們從來沒有經歷過的事情,
[00:00:56.360 --> 00:01:02.660]  但另一方面,我們也同時經歷過許多我們所沒有經歷過的神的恩典,
[00:01:02.660 --> 00:01:07.060]  而且那是超乎所求所想的恩典,哈利路亞!
[00:01:07.060 --> 00:01:12.660]  我們正在要說,我們就像聖經所說,雖然經過水火,
[00:01:12.660 --> 00:01:19.460]  但我們也是經歷了神在水火當中與我們同在的恩典,Amen!
[00:01:19.460 --> 00:01:24.660]  聖經上說我們的神是一位獨行其事的真神,
[00:01:25.560 --> 00:01:28.960]  我好喜歡這個名詞,獨行其事,
[00:01:28.960 --> 00:01:37.560]  意思就是我們神的作為,神的工作,永遠是超過我們所求所想的。
[00:01:37.560 --> 00:01:43.960]  今天很多時候我們人常常被我們自己所看見的所限制,
[00:01:43.960 --> 00:01:47.760]  被我們所能夠想像的所限制,
[00:01:47.760 --> 00:01:53.760]  但我們所能夠看見,人所能夠想像是這樣的有限。
[00:01:54.360 --> 00:02:00.360]  我們常常就是按照我們所能夠看見,所能夠想像的來限制神的作為,
[00:02:00.360 --> 00:02:05.360]  以為神只能夠按照我們所以為的方式來工作,
[00:02:05.360 --> 00:02:11.760]  但事實上,始終神的意念還是高過我們的意念,
[00:02:11.760 --> 00:02:15.560]  神的道路還是高過我們的道路。
[00:02:15.560 --> 00:02:20.560]  特別在過去這一年,當我們在教會當中服事的時候,
[00:02:20.560 --> 00:02:29.560]  我們真的親眼見證,神怎麼樣能夠讓我們教會在過去一年當中仍然向左向右來開展。
[00:02:29.560 --> 00:02:36.160]  祂果然是在曠野為我們開道路,在沙漠為我們開江河的神。
[00:02:36.160 --> 00:02:43.560]  在人所不能的地方,神總是能夠成就一切超乎我們所求所想的。
[00:02:43.560 --> 00:02:48.360]  我們就最大的掌聲要歸給我們的神,謝謝我們的主。
[00:02:50.360 --> 00:02:57.360]  面對2021年,擺在我們面前還是一條未知的道路,不是嗎?
[00:02:57.360 --> 00:03:06.360]  雖然疫苗已經發展出來,已經開始接種,但是現在疫情還是十分的嚴重。
[00:03:06.360 --> 00:03:17.360]  而且就算疫情過去,那種對疫情、對死亡的恐懼仍然深深的籠罩在人心中。
[00:03:18.360 --> 00:03:23.360]  弟兄姊妹,一方面我們深深的相信,在這一切苦難的背後,
[00:03:23.360 --> 00:03:28.360]  神一定有個恢復的恩典要帶領我們進入。
[00:03:28.360 --> 00:03:36.360]  但不可否認的,另一方面我們也看見在每一個神要帶領我們進入的一個屬靈的季節當中,
[00:03:36.360 --> 00:03:40.360]  也都有一些獨特的挑戰在那裡。
[00:03:41.360 --> 00:03:50.360]  而要突破這種挑戰,要進入神新的領域裡面,我們就需要從神那裡領受一個新的恩綱。
[00:03:50.360 --> 00:03:55.360]  因為只有恩綱能夠斷開沉重惡。
[00:03:55.360 --> 00:04:05.360]  那麼今年,當我們要準備進入神恢復的恩典當中的時候,我們需要領受一個怎麼樣的恩綱呢?
[00:04:06.360 --> 00:04:12.360]  我們看見從去年年底開始,神就讓我領受了一個新鮮的恩綱。
[00:04:12.360 --> 00:04:18.360]  所以從去年年底,我就開始不斷的分享到這樣一個恩綱。
[00:04:18.360 --> 00:04:23.360]  在群組中分享,在各地的牧者當中我也來分享。
[00:04:23.360 --> 00:04:33.360]  讓我們一同領受這個新鮮的恩綱,好讓我們能夠突破一切的逆境,能夠進入到神恢復的恩典當中。
[00:04:34.360 --> 00:04:37.360]  那這個新鮮的恩綱是什麼恩綱呢?
[00:04:37.360 --> 00:04:40.360]  那就是突破者的恩綱。
[00:04:40.360 --> 00:04:43.360]  什麼是突破者的恩綱?
[00:04:43.360 --> 00:04:47.360]  是跟突破的恩綱不一樣,是突破者的恩綱。
[00:04:47.360 --> 00:04:50.360]  什麼是突破者的恩綱?
[00:04:50.360 --> 00:05:00.360]  那就是神要以突破者的身份降臨,與我們同在所帶出來特別的恩典。
[00:05:01.360 --> 00:05:13.360]  我再次說,那就是神要以突破者的身份降臨,與我們同在所帶來特別的一個恩典。
[00:05:13.360 --> 00:05:18.360]  所以今天早上我們從三方面來講到這個突破者的恩綱。
[00:05:18.360 --> 00:05:22.360]  第一,我們的神是一位突破者。
[00:05:22.360 --> 00:05:25.360]  我們的神是一位突破者。
[00:05:26.360 --> 00:05:32.360]  我們看見彌加蘇二章十三節裡面,這條開路在他們前面上去,他們直闖過城門。
[00:05:32.360 --> 00:05:43.360]  我們看見這個開路者,其實我們看見在原文,在正確的翻譯,是那位能夠斷開的,那位能夠打破的。
[00:05:43.360 --> 00:05:48.360]  我們看見正確的翻譯就是那個突破者。
[00:05:48.360 --> 00:05:53.360]  為什麼說我們的神是一位突破者呢?
[00:05:54.360 --> 00:05:58.360]  首先第一個,我們看見因為祂是坐在寶座上的君王。
[00:05:58.360 --> 00:06:01.360]  因為祂是坐在寶座上的君王。
[00:06:01.360 --> 00:06:07.360]  我們看見十三節裡面講到說,這個突破者是一位君王。
[00:06:07.360 --> 00:06:12.360]  這講到他們的王在前面行,耶和華引導他們。
[00:06:12.360 --> 00:06:15.360]  我們的神是一位君王。
[00:06:15.360 --> 00:06:23.360]  第二點,今天無論這個世界怎麼樣的動盪,無論我們的環境是多麼的混亂,
